,Topic,Count,Name,Representation
0,-1,2637,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'with', 'it', 'that']"
1,0,197,0_paneer_indian_is_and,"['paneer', 'indian', 'is', 'and', 'it', 'add', 'in', 'recipe', 'curry', 'the']"
2,1,157,1_soup_and_the_to,"['soup', 'and', 'the', 'to', 'in', 'add', 'of', 'for', 'is', 'it']"
3,2,136,2_chicken_the_and_of,"['chicken', 'the', 'and', 'of', 'in', 'to', 'minutes', 'until', 'with', 'for']"
4,3,133,3_cake_the_and_it,"['cake', 'the', 'and', 'it', 'to', 'of', 'chocolate', 'with', 'cakes', 'in']"
5,4,131,4_cookies_cookie_chocolate_my,"['cookies', 'cookie', 'chocolate', 'my', 'these', 'dough', 'them', 'to', 'for', 'the']"
6,5,105,5_pasta_italian_the_and,"['pasta', 'italian', 'the', 'and', 'of', 'to', 'with', 'sauce', 'in', 'is']"
7,6,92,6_potatoes_potato_and_to,"['potatoes', 'potato', 'and', 'to', 'the', 'sweet', 'of', 'it', 'in', 'with']"
8,7,88,7_salad_dressing_and_salads,"['salad', 'dressing', 'and', 'salads', 'pearls', 'of', 'vinegar', 'the', 'with', 'to']"
9,8,86,8_turkey_he_to_the,"['turkey', 'he', 'to', 'the', 'and', 'on', 'in', 'is', 'of', 'his']"
10,9,84,9_your_you_diet_weight,"['your', 'you', 'diet', 'weight', 'plan', 'healthy', 'to', 'protein', 'fat', 'foods']"
11,10,80,10_served_topped_sauce_with,"['served', 'topped', 'sauce', 'with', 'chicken', 'cheese', 'grilled', 'fresh', 'lettuce', 'our']"
12,11,79,11_fish_the_and_mining,"['fish', 'the', 'and', 'mining', 'in', 'flounder', 'with', 'to', 'is', 'it']"
13,12,65,12_juice_juicing_smoothie_you,"['juice', 'juicing', 'smoothie', 'you', 'your', 'fruit', 'juicer', 'fruits', 'to', 'can']"
14,13,62,13_oats_granola_oatmeal_and,"['oats', 'granola', 'oatmeal', 'and', 'glutenfree', 'you', 'to', 'the', 'for', 'breakfast']"
15,14,59,14_bread_dough_starter_flour,"['bread', 'dough', 'starter', 'flour', 'sourdough', 'yeast', 'loaf', 'the', 'it', 'of']"
16,15,58,15_pizza_dough_the_and,"['pizza', 'dough', 'the', 'and', 'to', 'of', 'for', 'crust', 'on', 'is']"
17,16,57,16_eggs_egg_hatfield_the,"['eggs', 'egg', 'hatfield', 'the', 'in', 'deviled', 'water', 'and', 'to', 'of']"
18,17,56,17_apple_apples_the_pie,"['apple', 'apples', 'the', 'pie', 'and', 'to', 'for', 'you', 'this', 'with']"
19,18,52,18_pancakes_pancake_batter_flour,"['pancakes', 'pancake', 'batter', 'flour', 'waffles', 'these', 'recipe', 'coconut', 'keto', 'butter']"
20,19,48,19_coffee_espresso_you_brew,"['coffee', 'espresso', 'you', 'brew', 'your', 'maker', 'beans', 'brewing', 'cup', 'water']"
21,20,48,20_cheese_bread_that_my,"['cheese', 'bread', 'that', 'my', 'it', 'sandwich', 'and', 'the', 'to', 'have']"
22,21,48,21_salmon_iom_un_fish,"['salmon', 'iom', 'un', 'fish', 'goa', 'and', 'with', 'it', 'the', 'of']"
23,22,47,22_squash_draft_butternut_the,"['squash', 'draft', 'butternut', 'the', 'was', 'crusher', 'in', 'and', 'of', 'soup']"
24,23,46,23_beans_green_bean_them,"['beans', 'green', 'bean', 'them', 'peas', 'salad', 'my', 'this', 'and', 'so']"
25,24,46,24_that_of_in_to,"['that', 'of', 'in', 'to', 'as', 'and', 'are', 'be', 'can', 'is']"
26,25,46,25_disability_retirement_opm_federal,"['disability', 'retirement', 'opm', 'federal', 'medical', 'fers', 'strawberries', 'employee', 'camara', 'strawberry']"
27,26,44,26_steak_steaks_meat_beef,"['steak', 'steaks', 'meat', 'beef', 'the', 'minutes', 'to', 'and', 'with', 'is']"
28,27,44,27_cocktail_vodka_drink_of,"['cocktail', 'vodka', 'drink', 'of', 'to', 'that', 'the', 'and', 'in', 'is']"
29,28,43,28_pie_pies_crust_for,"['pie', 'pies', 'crust', 'for', 'and', 'the', 'it', 'to', 'you', 'chef']"
30,29,42,29_noodles_kimchi_chinese_korean,"['noodles', 'kimchi', 'chinese', 'korean', 'with', 'and', 'rice', 'it', 'of', 'the']"
31,30,41,30_lamb_art_levis_and,"['lamb', 'art', 'levis', 'and', 'the', 'open', 'of', 'to', 'jcc', 'kobi']"
32,31,40,31_cookies_dough_cookie_sugar,"['cookies', 'dough', 'cookie', 'sugar', 'until', 'baking', 'bus', 'buses', 'on', 'into']"
33,32,38,32_shrimp_grill_sausages_minutes,"['shrimp', 'grill', 'sausages', 'minutes', 'cook', 'with', 'and', 'the', 'oil', 'them']"
34,33,38,33_bacon_quarter_we_in,"['bacon', 'quarter', 'we', 'in', 'that', 'the', 'to', 'million', 'think', 'on']"
35,34,38,34_banana_bananas_bread_recipe,"['banana', 'bananas', 'bread', 'recipe', 'lemmings', 'you', 'this', 'and', 'it', 'for']"
36,35,38,35_pork_seating_tenderloin_shrinkage,"['pork', 'seating', 'tenderloin', 'shrinkage', 'the', 'meat', 'casting', 'bleachair', 'in', 'plaster']"
37,36,38,36_cheesecake_the_to_and,"['cheesecake', 'the', 'to', 'and', 'in', 'you', 'cheese', 'of', 'cream', 'it']"
38,37,36,37_chocolate_fudge_brownies_brownie,"['chocolate', 'fudge', 'brownies', 'brownie', 'cocoa', 'hot', 'it', 'recipe', 'to', 'you']"
39,38,36,38_zucchini_dating_pane_his,"['zucchini', 'dating', 'pane', 'his', 'windows', 'explorer', 'navigation', 'and', 'to', 'the']"
40,39,36,39_muffins_muffin_that_the,"['muffins', 'muffin', 'that', 'the', 'for', 'to', 'was', 'and', 'but', 'so']"
41,40,36,40_hummus_chickpeas_and_with,"['hummus', 'chickpeas', 'and', 'with', 'to', 'your', 'oil', 'them', 'the', 'for']"
42,41,35,41_mushrooms_mushroom_matsutake_risotto,"['mushrooms', 'mushroom', 'matsutake', 'risotto', 'the', 'soup', 'and', 'add', 'for', 'until']"
43,42,34,42_sausage_sausages_overtime_the,"['sausage', 'sausages', 'overtime', 'the', 'and', 'for', 'in', 'to', 'on', 'with']"
44,43,33,43_cauliflower_information_personal_florets,"['cauliflower', 'information', 'personal', 'florets', 'we', 'your', 'you', 'to', 'and', 'the']"
45,44,33,44_wine_wines_you_rewriter,"['wine', 'wines', 'you', 'rewriter', 'your', 'pinot', 'bottle', 'article', 'to', 'is']"
46,45,33,45_tortilla_cheese_with_tortillas,"['tortilla', 'cheese', 'with', 'tortillas', 'lettuce', 'and', 'you', 'the', 'onions', 'beans']"
47,46,31,46_ice_cream_the_milling,"['ice', 'cream', 'the', 'milling', 'ros', 'to', 'and', 'of', 'in', 'cones']"
48,47,30,47_eggplant_eggplants_pepper_and,"['eggplant', 'eggplants', 'pepper', 'and', 'the', 'in', 'to', 'salt', 'with', 'sport']"
49,48,29,48_cupcakes_cupcake_haiti_frosting,"['cupcakes', 'cupcake', 'haiti', 'frosting', 'electoral', 'the', 'dinkins', 'koch', 'of', 'city']"
50,49,29,49_rice_topps_chinese_fried,"['rice', 'topps', 'chinese', 'fried', 'her', 'the', 'of', 'is', 'as', 'hoon']"
51,50,29,50_to_that_you_game,"['to', 'that', 'you', 'game', 'it', 'spurs', 'the', 'and', 'of', 'for']"
52,51,28,51_avocado_guacamole_avocados_galway,"['avocado', 'guacamole', 'avocados', 'galway', 'of', 'and', 'malignancy', 'you', 'with', 'in']"
53,52,27,52_tomatoes_tomato_bear_them,"['tomatoes', 'tomato', 'bear', 'them', 'of', 'the', 'and', 'my', 'to', 'soil']"
54,53,27,53_ribs_sauce_pork_meat,"['ribs', 'sauce', 'pork', 'meat', 'the', 'to', 'heat', 'and', 'in', 'beer']"
55,54,25,54_tea_kombucha_water_kratom,"['tea', 'kombucha', 'water', 'kratom', 'lake', 'the', 'teas', 'to', 'or', 'and']"
56,55,25,55_christmas_redbooth_eid_cisco,"['christmas', 'redbooth', 'eid', 'cisco', 'candy', 'for', 'to', 'and', 'tasks', 'you']"
57,56,23,56_cake_lemon_the_of,"['cake', 'lemon', 'the', 'of', 'vermont', 'to', 'orange', 'in', 'and', 'that']"
58,57,23,57_peaches_peach_nbc_bletchley,"['peaches', 'peach', 'nbc', 'bletchley', 'the', 'its', 'that', 'trump', 'iran', 'of']"
59,58,23,58_eater_soul_series_coconut,"['eater', 'soul', 'series', 'coconut', 'manga', 'dates', 'characters', 'the', 'original', 'and']"
60,59,22,59_car_valuation_quinoa_and,"['car', 'valuation', 'quinoa', 'and', 'cars', 'the', 'to', 'your', 'oil', 'valuations']"
61,60,22,60_garlic_cloves_organic_the,"['garlic', 'cloves', 'organic', 'the', 'my', 'you', 'wf4730', 'and', 'is', 'it']"
62,61,21,61_honey_sugar_your_weight,"['honey', 'sugar', 'your', 'weight', 'syrup', 'cane', 'is', 'diet', 'cinnamon', 'jaggery']"
63,62,21,62_tofu_his_opgeleiden_voor,"['tofu', 'his', 'opgeleiden', 'voor', 'lager', 'and', 'it', 'your', 'the', 'dating']"
64,63,21,63_tacos_tattoo_healthstylesnet_pozole,"['tacos', 'tattoo', 'healthstylesnet', 'pozole', 'tattoos', 'taco', 'web', 'mexican', 'or', 'you']"
65,64,21,64_cooking_grill_you_your,"['cooking', 'grill', 'you', 'your', 'meat', 'will', 'can', 'food', 'grills', 'when']"
66,65,20,65_cranberry_cranberries_coffee_vietnamese,"['cranberry', 'cranberries', 'coffee', 'vietnamese', 'it', 'the', 'annual', 'for', 'fee', 'to']"
67,66,20,66_broccoli_funds_realty_fund,"['broccoli', 'funds', 'realty', 'fund', 'eat', 'dividend', 'flowers', 'flowerscan', 'rabe', 'and']"
68,67,20,67_ham_is_arsenal_the,"['ham', 'is', 'arsenal', 'the', 'to', 'glaze', 'and', 'it', 'this', 'of']"
69,68,19,68_asparagus_viagra_generic_cheap,"['asparagus', 'viagra', 'generic', 'cheap', 'her', 'she', 'to', 'spears', 'the', 'or']"
70,69,19,69_patch_goat_cheese_quilt,"['patch', 'goat', 'cheese', 'quilt', 'until', 'olive', 'oil', 'and', 'the', 'but']"
71,70,19,70_waffle_waffles_iron_bed,"['waffle', 'waffles', 'iron', 'bed', 'brass', 'batter', 'maker', 'nuc', 'irons', 'oil']"
72,71,19,71_led_fixtures_garage_burger,"['led', 'fixtures', 'garage', 'burger', 'burgers', 'light', 'ball', 'bbq', 'lighting', 'shot']"
73,72,19,72_heat_minutes_couscous_add,"['heat', 'minutes', 'couscous', 'add', 'simmer', 'until', 'lacrosse', 'nalax', 'carrots', 'code']"
74,73,18,73_brie_puppies_camembert_with,"['brie', 'puppies', 'camembert', 'with', 'cheese', 'sale', 'for', 'love', 'this', 'and']"
