,Topic,Count,Name,Representation
0,-1,2555,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'is', 'in', 'you', 'for', 'that', 'it']"
1,0,185,0_router_network_to_the,"['router', 'network', 'to', 'the', 'and', 'is', 'ip', 'of', 'address', 'in']"
2,1,179,1_tv_the_to_of,"['tv', 'the', 'to', 'of', 'and', 'you', 'antenna', 'for', 'is', 'in']"
3,2,122,2_and_the_of_to,"['and', 'the', 'of', 'to', 'for', 'wood', 'with', 'you', 'is', 'table']"
4,3,101,3_printer_hp_driver_print,"['printer', 'hp', 'driver', 'print', 'epson', 'the', 'pcl', 'paper', 'windows', 'to']"
5,4,97,4_driver_drivers_windows_download,"['driver', 'drivers', 'windows', 'download', 'device', 'manager', 'pc', 'usb', 'update', 'for']"
6,5,91,5_audio_sound_mp3_to,"['audio', 'sound', 'mp3', 'to', 'you', 'the', 'is', 'and', 'it', 'that']"
7,6,87,6_led_light_primaquine_strip,"['led', 'light', 'primaquine', 'strip', 'lighting', 'the', 'lights', 'of', 'to', 'in']"
8,7,73,7_air_your_filter_conditioner,"['air', 'your', 'filter', 'conditioner', 'ac', 'the', 'conditioning', 'system', 'unit', 'and']"
9,8,73,8_3d_autocad_this_the,"['3d', 'autocad', 'this', 'the', 'drawing', 'we', 'geometry', 'to', 'and', 'in']"
10,9,71,9_the_hair_motherboard_ribbon,"['the', 'hair', 'motherboard', 'ribbon', 'screen', 'screws', 'spudger', 'cable', 'remove', 'phillips']"
11,10,67,10_camera_image_the_to,"['camera', 'image', 'the', 'to', 'you', 'images', 'of', 'that', 'is', 'in']"
12,11,64,11_battery_charge_charging_batteries,"['battery', 'charge', 'charging', 'batteries', 'phone', 'laptop', 'power', 'device', 'the', 'is']"
13,12,64,12_home_your_window_you,"['home', 'your', 'window', 'you', 'curtain', 'to', 'of', 'middleburg', 'and', 'are']"
14,13,64,13_code_the_to_this,"['code', 'the', 'to', 'this', 'for', 'is', 'you', 'in', 'and', 'that']"
15,14,63,14_engine_crankshaft_the_clutch,"['engine', 'crankshaft', 'the', 'clutch', 'crank', 'valve', 'and', 'oil', 'bearing', 'bolts']"
16,15,60,15_oracle_database_file_the,"['oracle', 'database', 'file', 'the', 'is', 'in', 'to', 'support', 'and', 'of']"
17,16,56,16_firmware_rom_device_flash,"['firmware', 'rom', 'device', 'flash', 'usb', 'the', 'update', 'in', 'red', 'is']"
18,17,56,17_kitchen_cabinets_cabinet_mcclellan,"['kitchen', 'cabinets', 'cabinet', 'mcclellan', 'to', 'and', 'that', 'the', 'you', 'your']"
19,18,53,18_boat_and_the_you,"['boat', 'and', 'the', 'you', 'to', 'diving', 'of', 'in', 'for', 'your']"
20,19,52,19_of_in_fender_for,"['of', 'in', 'fender', 'for', 'the', '20142018', 'and', 'de', 'to', 'loan']"
21,20,47,20_drive_recovery_bios_hard,"['drive', 'recovery', 'bios', 'hard', 'data', 'disk', 'drives', 'computer', 'scsi', 'the']"
22,21,45,21_pin_ecu_engine_the,"['pin', 'ecu', 'engine', 'the', 'sensor', 'this', 'side', 'position', 'control', 'belt']"
23,22,45,22_error_windows_or_computer,"['error', 'windows', 'or', 'computer', 'adaptec', 'errors', 'file', 'to', 'this', 'is']"
24,23,43,23_car_you_vehicle_your,"['car', 'you', 'vehicle', 'your', 'to', 'cars', 'the', 'for', 'of', 'that']"
25,24,41,24_your_to_you_and,"['your', 'to', 'you', 'and', 'of', 'that', 'business', 'their', 'they', 'in']"
26,25,39,25_bathroom_shower_countertop_your,"['bathroom', 'shower', 'countertop', 'your', 'granite', 'to', 'sink', 'and', 'tile', 'in']"
27,26,38,26_we_sites_websites_here,"['we', 'sites', 'websites', 'here', 'beneath', 'ours', 'inverter', 'web', 'worth', 'really']"
28,27,38,27_roof_roofing_your_shingles,"['roof', 'roofing', 'your', 'shingles', 'et', 'al', 'and', 'you', 'of', 'to']"
29,28,36,28_gps_currency_exchange_map,"['gps', 'currency', 'exchange', 'map', 'foreign', 'garmin', 'and', 'maps', 'in', 'rates']"
30,29,36,29_gun_shooting_target_rifle,"['gun', 'shooting', 'target', 'rifle', 'sight', 'the', 'holster', 'is', 'shooters', 'and']"
31,30,36,30_ssc_2012_mining_bitcoin,"['ssc', '2012', 'mining', 'bitcoin', 'list', 'waiting', 'ki', 'gpu', 'in', 'regiment']"
32,31,34,31_printer_canon_cups_print,"['printer', 'canon', 'cups', 'print', 'printers', 'driver', 'pixma', 'printing', 'the', 'to']"
33,32,33,32_heat_air_heating_home,"['heat', 'air', 'heating', 'home', 'your', 'energy', 'and', 'thermostat', 'the', 'at']"
34,33,32,33_laboratory_testing_view_needed,"['laboratory', 'testing', 'view', 'needed', 'water', 'plastics', 'astm', 'damage', 'for', 'flood']"
35,34,32,34_repair_car_auto_you,"['repair', 'car', 'auto', 'you', 'mechanic', 'your', 'repairs', 'vehicle', 'to', 'it']"
36,35,31,35_fence_fencing_panels_wood,"['fence', 'fencing', 'panels', 'wood', 'vinyl', 'deck', 'posts', 'recommending', 'or', 'privacy']"
37,36,31,36_virtual_server_to_the,"['virtual', 'server', 'to', 'the', 'data', 'that', 'for', 'on', 'servers', 'ec2']"
38,37,30,37_concrete_pavers_asphalt_bricks,"['concrete', 'pavers', 'asphalt', 'bricks', 'sand', 'patio', 'paver', 'brick', 'road', 'of']"
39,38,30,38_emitting_and_receiving_in,"['emitting', 'and', 'receiving', 'in', 'integrated', 'of', 'the', 'for', 'with', 'carbide']"
40,39,30,39_glass_mercury_it_and,"['glass', 'mercury', 'it', 'and', 'gold', 'of', 'the', 'sun', 'earth', 'fire']"
41,40,30,40_items_storage_warehouse_your,"['items', 'storage', 'warehouse', 'your', 'containers', 'slotting', 'container', 'you', 'and', 'to']"
42,41,30,41_cleaning_clean_cloth_car,"['cleaning', 'clean', 'cloth', 'car', 'with', 'and', 'the', 'paint', 'it', 'wipe']"
43,42,29,42_vcenter_host_vmware_esxi,"['vcenter', 'host', 'vmware', 'esxi', 'vsphere', 'click', 'vsan', 'to', 'the', 'virtual']"
44,43,29,43_deck_decking_wood_composite,"['deck', 'decking', 'wood', 'composite', 'of', 'railing', 'the', 'to', 'that', 'and']"
45,44,28,44_snow_winter_tires_driving,"['snow', 'winter', 'tires', 'driving', 'your', 'car', 'and', 'tire', 'you', 'to']"
46,45,28,45_garage_door_opener_springs,"['garage', 'door', 'opener', 'springs', 'hempstead', 'doors', 'spring', 'the', 'your', 'torsion']"
47,46,27,46_solar_energy_panels_power,"['solar', 'energy', 'panels', 'power', 'you', 'home', 'your', 'electricity', 'to', 'are']"
48,47,25,47_guitar_amplifier_guitars_pedals,"['guitar', 'amplifier', 'guitars', 'pedals', 'amplifiers', 'neck', 'output', 'pedal', 'electric', 'amp']"
49,48,25,48_pdf_adobe_reader_manual,"['pdf', 'adobe', 'reader', 'manual', 'files', 'acrobat', 'file', 'avhx2600bt', 'documents', 'form']"
50,49,25,49_septic_drain_tank_plumbing,"['septic', 'drain', 'tank', 'plumbing', 'dating', 'water', 'pipes', 'mzuzu', 'sewer', 'your']"
51,50,23,50_shed_plans_storage_garden,"['shed', 'plans', 'storage', 'garden', 'building', 'build', 'barn', 'your', 'sheds', 'you']"
52,51,22,51_bike_bicycle_bow_bikes,"['bike', 'bicycle', 'bow', 'bikes', 'you', 'brakes', 'cycling', 'ride', 'wheel', 'wheels']"
53,52,22,52_students_student_fda_ay,"['students', 'student', 'fda', 'ay', 'loan', 'guidance', 'data', 'for', 'of', 'hospital']"
54,53,21,53_floor_sanding_floors_finish,"['floor', 'sanding', 'floors', 'finish', 'hardwood', 'wood', 'sander', 'surface', 'protest', 'refinishing']"
55,54,21,54_exam_server_dumps_sql,"['exam', 'server', 'dumps', 'sql', '300206', '31250v9', 'questions', 'eccouncil', 'microsoft', 'access']"
56,55,20,55_paint_painting_and_home,"['paint', 'painting', 'and', 'home', 'primer', 'of', 'you', 'walls', 'in', 'the']"
57,56,20,56_inventory_quantity_customs_item,"['inventory', 'quantity', 'customs', 'item', 'shopify', 'the', 'rfq', 'grep', 'line', 'you']"
58,57,20,57_pool_swimming_water_pools,"['pool', 'swimming', 'water', 'pools', 'the', 'of', 'and', 'to', 'your', 'aquarium']"
59,58,20,58_lock_door_buick_dumpster,"['lock', 'door', 'buick', 'dumpster', 'management', 'the', 'is', 'locks', 'of', 'your']"
60,59,19,59_update_that_to_garibaldi,"['update', 'that', 'to', 'garibaldi', 'in', 'we', 'test', 'scrum', 'the', 'workers']"
61,60,19,60_tally_invoice_mounds_erp,"['tally', 'invoice', 'mounds', 'erp', 'adult', 'for', 'sex', 'payment', 'data', 'shoper']"
62,61,18,61_tire_tires_pressure_tiger,"['tire', 'tires', 'pressure', 'tiger', 'her', 'of', 'wheel', 'they', 'the', 'in']"
63,62,18,62_threads_thread_io_gc,"['threads', 'thread', 'io', 'gc', 'concurrent', 'the', 'is', 'application', 'object', 'server']"
64,63,18,63_oil_engine_diesel_engines,"['oil', 'engine', 'diesel', 'engines', 'treadmill', 'fuel', 'piston', 'synthetic', 'your', 'change']"
65,64,17,64_fire_that_of_and,"['fire', 'that', 'of', 'and', 'in', 'to', 'people', 'we', 'the', 'aids']"
66,65,17,65_cubic_dial_caliper_the,"['cubic', 'dial', 'caliper', 'the', 'feet', 'calculator', 'micrometer', 'of', 'to', 'is']"
67,66,17,66_sauce_database_recipe_and,"['sauce', 'database', 'recipe', 'and', 'cosmic', 'thai', 'the', 'for', 'of', 'with']"
68,67,16,67_permit_hastings_city_department,"['permit', 'hastings', 'city', 'department', 'county', 'or', 'property', 'application', 'land', 'survey']"
69,68,16,68_memory_rdram_data_eeprom,"['memory', 'rdram', 'data', 'eeprom', 'address', 'pins', 'bus', 'ram', 'ram32x1s1', 'aligned']"
70,69,16,69_water_heater_hot_tank,"['water', 'heater', 'hot', 'tank', 'drain', 'valve', 'pressure', 'boiler', 'your', 'sediment']"
71,70,16,70_chart_excel_charts_radar,"['chart', 'excel', 'charts', 'radar', 'interactive', 'pie', 'unity', 'data', '3d', 'tutorial']"
72,71,15,71_blynk_insteon_we_camera,"['blynk', 'insteon', 'we', 'camera', 'devices', 'our', 'wiring', 'alarm', 'system', 'pi']"
73,72,15,72_trailer_weight_hitch_towing,"['trailer', 'weight', 'hitch', 'towing', 'tow', 'gravity', 'you', 'vehicle', 'the', 'travel']"
74,73,14,73_plumbing_pipes_pet_water,"['plumbing', 'pipes', 'pet', 'water', 'your', 'carrier', 'pipe', 'home', 'can', 'you']"
75,74,14,74_license_disabled_plate_vehicle,"['license', 'disabled', 'plate', 'vehicle', 'plates', 'placard', 'audi', 'depotkitchenaid', 'lights', 'convection']"
76,75,14,75_compass_paper_recovery_direction,"['compass', 'paper', 'recovery', 'direction', 'locator', 'pencil', 'magnet', 'airplane', 'qibla', 'magnetic']"
77,76,14,76_driving_bolshoi_you_road,"['driving', 'bolshoi', 'you', 'road', 'lessons', 'traffic', 'tickets', 'car', 'to', 'the']"
78,77,13,77_app_mobile_siemens_google,"['app', 'mobile', 'siemens', 'google', 'to', 'and', 'the', 'karate', 'phonegap', 'of']"
