,Topic,Count,Name,Representation
0,-1,1535,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'you', 'in', 'for', 'it', 'is', 'that']"
1,0,561,0_the_of_and_to,"['the', 'of', 'and', 'to', 'with', 'in', 'card', 'for', 'is', 'my']"
2,1,142,1_the_and_of_in,"['the', 'and', 'of', 'in', 'his', 'to', 'was', 'is', 'that', 'it']"
3,2,98,2_to_and_the_for,"['to', 'and', 'the', 'for', 'of', 'in', 'your', 'you', 'room', 'with']"
4,3,98,3_the_you_is_and,"['the', 'you', 'is', 'and', 'to', 'will', 'of', 'in', 'are', 'that']"
5,4,94,4_guitar_the_chords_play,"['guitar', 'the', 'chords', 'play', 'chord', 'and', 'of', 'in', 'you', 'to']"
6,5,78,5_the_dress_pattern_it,"['the', 'dress', 'pattern', 'it', 'skirt', 'to', 'and', 'fabric', 'for', 'my']"
7,6,74,6_airport_road_the_to,"['airport', 'road', 'the', 'to', 'left', 'station', 'right', 'london', 'on', 'street']"
8,7,68,7_music_to_the_and,"['music', 'to', 'the', 'and', 'you', 'your', 'of', 'theme', 'for', 'is']"
9,8,68,8_the_and_of_to,"['the', 'and', 'of', 'to', 'it', 'beads', 'with', 'on', 'you', 'for']"
10,9,65,9_writing_essay_the_of,"['writing', 'essay', 'the', 'of', 'to', 'and', 'in', 'is', 'that', 'write']"
11,10,60,10_look_to_your_you,"['look', 'to', 'your', 'you', 'and', 'for', 'with', 'or', 'the', 'of']"
12,11,56,11_dating_you_to_online,"['dating', 'you', 'to', 'online', 'your', 'and', 'the', 'is', 'for', 'of']"
13,12,54,12_the_yarn_of_and,"['the', 'yarn', 'of', 'and', 'knitting', 'to', 'in', 'it', 'knit', 'is']"
14,13,48,13_your_you_survival_to,"['your', 'you', 'survival', 'to', 'rules', 'the', 'of', 'email', 'in', 'hack']"
15,14,45,14_halloween_the_and_for,"['halloween', 'the', 'and', 'for', 'to', 'you', 'pumpkin', 'of', 'with', 'this']"
16,15,45,15_quilt_the_and_to,"['quilt', 'the', 'and', 'to', 'quilting', 'of', 'in', 'for', 'pillow', 'it']"
17,16,42,16_bankruptcy_you_to_your,"['bankruptcy', 'you', 'to', 'your', 'and', 'is', 'of', 'the', 'sex', 'in']"
18,17,42,17_and_the_wedding_to,"['and', 'the', 'wedding', 'to', 'of', 'in', 'for', 'that', 'your', 'with']"
19,18,36,18_costume_halloween_and_you,"['costume', 'halloween', 'and', 'you', 'of', 'to', 'the', 'your', 'costumes', 'is']"
20,19,36,19_the_you_path_to,"['the', 'you', 'path', 'to', 'in', 'points', 'emblem', 'on', 'rings', 'can']"
21,20,31,20_reading_language_words_students,"['reading', 'language', 'words', 'students', 'strategies', 'articles', 'tata', 'english', 'and', 'the']"
