,Topic,Count,Name,Representation
0,-1,73,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'you', 'is', 'in', 'for', 'your', 'that']"
1,0,178,0_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'is', 'you', 'for', 'that', 'or']"
2,1,127,1_the_your_and_to,"['the', 'your', 'and', 'to', 'of', 'you', 'in', 'is', 'back', 'on']"
3,2,125,2_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'you', 'that', 'it', 'for']"
4,3,118,3_skin_and_the_to,"['skin', 'and', 'the', 'to', 'of', 'your', 'it', 'is', 'in', 'for']"
5,4,70,4_teeth_to_your_the,"['teeth', 'to', 'your', 'the', 'and', 'you', 'of', 'is', 'in', 'for']"
6,5,47,5_to_the_and_you,"['to', 'the', 'and', 'you', 'of', 'your', 'in', 'for', 'is', 'baby']"
7,6,26,6_you_to_the_your,"['you', 'to', 'the', 'your', 'sleep', 'and', 'of', 'in', 'is', 'that']"
8,7,22,7_penis_the_and_to,"['penis', 'the', 'and', 'to', 'of', 'in', 'you', 'your', 'can', 'that']"
9,8,22,8_the_to_and_of,"['the', 'to', 'and', 'of', 'your', 'be', 'is', 'pet', 'for', 'you']"
10,9,19,9_hair_your_scalp_to,"['hair', 'your', 'scalp', 'to', 'the', 'and', 'of', 'is', 'you', 'loss']"
11,10,15,10_feet_the_to_fungus,"['feet', 'the', 'to', 'fungus', 'toenail', 'of', 'and', 'foot', 'your', 'with']"
12,11,13,11_bed_the_to_and,"['bed', 'the', 'to', 'and', 'bugs', 'lice', 'you', 'of', 'your', 'it']"
13,12,12,12_eyes_the_to_eye,"['eyes', 'the', 'to', 'eye', 'and', 'of', 'you', 'your', 'for', 'that']"
14,13,10,13_you_to_your_and,"['you', 'to', 'your', 'and', 'the', 'of', 'it', 'stress', 'is', 'in']"
