,Topic,Count,Name,Representation
0,-1,10126,-1_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'that', 'it', 'is', 'you', 'for']"
1,0,1458,0_hotel_room_we_was,"['hotel', 'room', 'we', 'was', 'and', 'very', 'the', 'our', 'stay', 'staff']"
2,1,373,1_game_games_it_the,"['game', 'games', 'it', 'the', 'that', 'of', 'to', 'you', 'but', 'is']"
3,2,351,2_thank_your_dear_review,"['thank', 'your', 'dear', 'review', 'stay', 'we', 'our', 'feedback', 'you', 'enjoyed']"
4,3,300,3_god_of_the_lord,"['god', 'of', 'the', 'lord', 'that', 'and', 'in', 'to', 'is', 'his']"
5,4,267,4_english_in_is_you,"['english', 'in', 'is', 'you', 'the', 'it', 'to', 'this', 'language', 'of']"
6,5,245,5_he_the_in_of,"['he', 'the', 'in', 'of', 'season', 'players', 'we', 'to', 'team', 'and']"
7,6,208,6_twentiethcentury_firstperson_novel_unreliability,"['twentiethcentury', 'firstperson', 'novel', 'unreliability', 'hundred', 'post', 'reading', 'novelunreliability', 'ppt', 'displaying']"
8,7,187,7_blog_site_web_your,"['blog', 'site', 'web', 'your', 'website', 'this', 'you', 'google', 'bookmarked', 'content']"
9,8,180,8_movie_film_films_the,"['movie', 'film', 'films', 'the', 'of', 'it', 'and', 'in', 'movies', 'was']"
10,9,175,9_co_born_hancock_tn,"['co', 'born', 'hancock', 'tn', 'married', 'died', 'mullins', 'collins', 'his', 'was']"
11,10,168,10_can_to_you_is,"['can', 'to', 'you', 'is', 'and', 'the', 'if', 'with', 'it', 'damage']"
12,11,158,11_wa_custer_distance_from,"['wa', 'custer', 'distance', 'from', 'banned', 'or', 'to', 'of', 'that', 'you']"
13,12,157,12_the_batman_for_to,"['the', 'batman', 'for', 'to', 'and', 'of', 'it', 'price', 'is', 'they']"
14,13,154,13_art_painting_and_it,"['art', 'painting', 'and', 'it', 'of', 'the', 'my', 'is', 'drawing', 'to']"
15,14,152,14_album_song_of_the,"['album', 'song', 'of', 'the', 'songs', 'band', 'and', 'it', 'that', 'on']"
16,15,137,15_anime_the_that_it,"['anime', 'the', 'that', 'it', 'manga', 'her', 'to', 'is', 'of', 'but']"
17,16,132,16_he_him_me_she,"['he', 'him', 'me', 'she', 'my', 'her', 'you', 'to', 'and', 'that']"
18,17,123,17_game_folder_the_it,"['game', 'folder', 'the', 'it', 'file', 'star', 'to', 'files', 'have', 'is']"
19,18,123,18_bass_guitar_amp_the,"['bass', 'guitar', 'amp', 'the', 'sound', 'with', 'it', 'guitars', 'and', 'for']"
20,19,108,19_ring_the_glass_of,"['ring', 'the', 'glass', 'of', 'it', 'to', 'in', 'on', 'at', 'that']"
21,20,102,20_dogs_dog_she_her,"['dogs', 'dog', 'she', 'her', 'and', 'pets', 'his', 'care', 'cat', 'my']"
22,21,98,21_looking_sex_women_woman,"['looking', 'sex', 'women', 'woman', 'seeking', 'im', 'horny', 'am', 'for', 'me']"
23,22,88,22_dating_online_free_singles,"['dating', 'online', 'free', 'singles', 'sites', 'site', 'women', 'men', 'meet', 'single']"
24,23,81,23_forum_faith_forums_jesus,"['forum', 'faith', 'forums', 'jesus', 'god', 'sins', 'man', 'be', 'members', 'this']"
25,24,78,24_song_she_tarot_her,"['song', 'she', 'tarot', 'her', 'psychic', 'gaga', 'it', 'its', 'lyrics', 'track']"
26,25,76,25_creatine_the_in_was,"['creatine', 'the', 'in', 'was', 'of', 'and', 'church', 'it', 'to', 'is']"
27,26,75,26_bean_green_coffee_extract,"['bean', 'green', 'coffee', 'extract', 'colon', 'garcinia', 'figures', 'cleanse', 'cambogia', 'diet']"
28,27,73,27_my_she_life_her,"['my', 'she', 'life', 'her', 'publicprivate', 'partnership', 'was', 'me', 'you', 'so']"
29,28,72,28_cialis_5mg_tomar_909,"['cialis', '5mg', 'tomar', '909', 'youtube', 'video', 'videos', 'poker', 'butler', 'korg']"
30,29,67,29_logo_tafinlar_mekinist_design,"['logo', 'tafinlar', 'mekinist', 'design', 'font', 'furniture', 'need', 'patients', 'braf', 'business']"
31,30,67,30_clan_and_to_in,"['clan', 'and', 'to', 'in', 'yelp', 'you', 'quinns', 'for', 'of', 'we']"
32,31,63,31_comics_marvel_the_of,"['comics', 'marvel', 'the', 'of', 'that', 'was', 'in', 'to', 'they', 'and']"
33,32,60,32_staff_was_room_very,"['staff', 'was', 'room', 'very', 'were', 'friendly', 'location', 'helpful', 'excellent', 'we']"
34,33,58,33_pokemon_bond_it_tiberium,"['pokemon', 'bond', 'it', 'tiberium', 'surety', 'pokmon', 'the', 'you', 'will', 'game']"
35,34,58,34_pacquiao_he_fight_mayweather,"['pacquiao', 'he', 'fight', 'mayweather', 'match', 'win', 'him', 'the', 'pwg', 'was']"
