,Topic,Count,Name,Representation
0,-1,366,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'for', 'that', 'it', 'with']"
1,0,160,0_the_to_and_you,"['the', 'to', 'and', 'you', 'of', 'it', 'is', 'in', 'that', 'for']"
2,1,95,1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'you', 'is', 'for', 'it', 'with']"
3,2,67,2_the_and_to_my,"['the', 'and', 'to', 'my', 'of', 'is', 'in', 'it', 'that', 'for']"
4,3,62,3_and_000000_patient_the,"['and', '000000', 'patient', 'the', 'to', 'is', 'since', 'teeth', 'dental', 'of']"
5,4,57,4_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'with', 'on', 'you']"
6,5,40,5_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'for', 'is', 'with', 'you', 'that']"
7,6,39,6_the_it_and_to,"['the', 'it', 'and', 'to', 'of', 'my', 'mirvaso', 'is', 'that', 'in']"
8,7,38,7_and_the_to_vet,"['and', 'the', 'to', 'vet', 'is', 'her', 'she', 'of', 'in', 'for']"
9,8,36,8_the_and_to_is,"['the', 'and', 'to', 'is', 'of', 'you', 'read', 'your', 'in', 'or']"
10,9,34,9_the_and_of_to,"['the', 'and', 'of', 'to', 'you', 'it', 'is', 'in', 'be', 'for']"
11,10,31,10_to_of_and_the,"['to', 'of', 'and', 'the', 'is', 'in', 'diabetes', 'have', 'my', 'that']"
12,11,28,11_the_of_to_in,"['the', 'of', 'to', 'in', 'and', 'gene', 'is', 'expression', 'for', 'this']"
13,12,27,12_my_and_to_the,"['my', 'and', 'to', 'the', 'of', 'for', 'have', 'this', 'was', 'that']"
14,13,27,13_the_to_and_that,"['the', 'to', 'and', 'that', 'is', 'it', 'you', 'of', 'have', 'in']"
15,14,26,14_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'that', 'on', 'for', 'list']"
16,15,21,15_you_to_and_the,"['you', 'to', 'and', 'the', 'of', 'my', 'that', 'is', 'for', 'it']"
17,16,20,16_hip_the_flexors_and,"['hip', 'the', 'flexors', 'and', 'to', 'of', 'your', 'you', 'ache', 'in']"
18,17,16,17_reiki_to_the_and,"['reiki', 'to', 'the', 'and', 'of', 'in', 'for', 'it', 'certified', 'practice']"
19,18,16,18_the_to_is_it,"['the', 'to', 'is', 'it', 'of', 'and', 'be', 'in', 'for', 'with']"
20,19,13,19_to_the_of_penis,"['to', 'the', 'of', 'penis', 'and', 'approaches', 'that', 'report', 'is', 'this']"
21,20,13,20_the_to_and_of,"['the', 'to', 'and', 'of', 'hp0756', 'you', 'in', 'for', 'my', 'it']"
22,21,12,21_sleep_to_the_and,"['sleep', 'to', 'the', 'and', 'that', 'is', 'it', 'in', 'you', 'as']"
23,22,12,22_the_to_that_and,"['the', 'to', 'that', 'and', 'of', 'we', 'her', 'it', 'in', 'you']"
24,23,11,23_hair_the_loss_it,"['hair', 'the', 'loss', 'it', 'is', 'my', 'you', 'that', 'of', 'chemo']"
25,24,11,24_kidney_kashmir_the_of,"['kidney', 'kashmir', 'the', 'of', 'in', 'to', 'one', 'and', 'is', 'for']"
