,Topic,Count,Name,Representation
0,-1,4028,-1_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'is', 'that', 'you', 'for', 'it']"
1,0,261,0_wa_custer_distance_the,"['wa', 'custer', 'distance', 'the', 'to', 'of', 'forum', 'and', 'you', 'that']"
2,1,187,1_church_god_catholic_of,"['church', 'god', 'catholic', 'of', 'the', 'and', 'in', 'that', 'he', 'to']"
3,2,167,2_windows_computer_it_files,"['windows', 'computer', 'it', 'files', 'to', 'your', 'the', 'file', 'and', 'you']"
4,3,140,3_you_school_law_in,"['you', 'school', 'law', 'in', 'to', 'for', 'is', 'the', 'students', 'of']"
5,4,134,4_hotel_room_was_we,"['hotel', 'room', 'was', 'we', 'and', 'the', 'to', 'in', 'very', 'for']"
6,5,123,5_league_cup_the_he,"['league', 'cup', 'the', 'he', 'in', 'of', 'and', 'players', 'to', 'is']"
7,6,115,6_her_he_she_me,"['her', 'he', 'she', 'me', 'my', 'him', 'you', 'and', 'to', 'with']"
8,7,93,7_logo_design_website_need,"['logo', 'design', 'website', 'need', 'for', 'company', 'url', 'we', 'to', 'brand']"
9,8,90,8_that_of_white_the,"['that', 'of', 'white', 'the', 'to', 'people', 'in', 'and', 'is', 'are']"
10,9,88,9_bitcoin_forex_trading_mining,"['bitcoin', 'forex', 'trading', 'mining', 'is', 'the', 'to', 'it', 'of', 'currency']"
11,10,85,10_is_of_that_buddhism,"['is', 'of', 'that', 'buddhism', 'to', 'the', 'not', 'it', 'in', 'and']"
12,11,72,11_syria_israel_jews_the,"['syria', 'israel', 'jews', 'the', 'of', 'in', 'syrian', 'that', 'and', 'is']"
13,12,70,12_visa_passport_for_my,"['visa', 'passport', 'for', 'my', 'to', 'in', 'the', 'and', 'embassy', 'you']"
14,13,66,13_qb_he_draft_pick,"['qb', 'he', 'draft', 'pick', 'the', 'and', 'in', 'is', 'him', 'to']"
15,14,66,14_trump_the_of_that,"['trump', 'the', 'of', 'that', 'and', 'is', 'to', 'in', 'he', 'for']"
16,15,64,15_gun_the_guns_to,"['gun', 'the', 'guns', 'to', 'that', 'in', 'of', 'and', 'not', 'are']"
17,16,61,16_of_the_in_and,"['of', 'the', 'in', 'and', 'company', 'is', 'to', 'for', 'his', 'bacon']"
18,17,60,17_the_that_of_is,"['the', 'that', 'of', 'is', 'more', 'money', 'in', 'to', 'rich', 'tax']"
19,18,59,18_co_hancock_born_tn,"['co', 'hancock', 'born', 'tn', 'birth', 'was', 'mullins', 'married', 'died', 'collins']"
20,19,54,19_funds_fund_bonds_the,"['funds', 'fund', 'bonds', 'the', 'of', 'you', 'is', 'portfolio', 'in', 'market']"
21,20,52,20_disney_park_the_at,"['disney', 'park', 'the', 'at', 'parks', 'resort', 'of', 'and', 'to', 'for']"
22,21,51,21_app_android_ios_mobile,"['app', 'android', 'ios', 'mobile', 'need', 'project', 'design', 'application', 'developer', 'website']"
23,22,51,22_vitamin_search_website_google,"['vitamin', 'search', 'website', 'google', 'of', 'to', 'and', 'traffic', 'for', 'site']"
24,23,50,23_email_gmail_it_to,"['email', 'gmail', 'it', 'to', 'emails', 'my', 'mail', 'the', 'and', 'on']"
25,24,49,24_paypal_products_website_need,"['paypal', 'products', 'website', 'need', 'cart', 'payment', 'amazon', 'url', 'add', 'site']"
26,25,49,25_coach_game_team_he,"['coach', 'game', 'team', 'he', 'the', 'year', 'in', 'that', 'to', 'is']"
27,26,48,26_dating_singles_online_free,"['dating', 'singles', 'online', 'free', 'site', 'women', 'sites', 'meet', 'men', 'single']"
28,27,45,27_school_students_to_the,"['school', 'students', 'to', 'the', 'and', 'in', 'they', 'is', 'of', 'learning']"
29,28,45,28_of_the_in_is,"['of', 'the', 'in', 'is', 'and', 'tamil', 'to', 'that', 'as', 'by']"
30,29,44,29_vote_scotland_uk_of,"['vote', 'scotland', 'uk', 'of', 'the', 'that', 'brexit', 'be', 'would', 'in']"
31,30,44,30_iphone_phone_itunes_my,"['iphone', 'phone', 'itunes', 'my', 'sync', 'ipod', 'to', 'on', 'it', 'the']"
32,31,43,31_islam_muslims_quran_allah,"['islam', 'muslims', 'quran', 'allah', 'of', 'that', 'is', 'the', 'and', 'israaf']"
33,32,42,32_loan_loans_payday_mortgage,"['loan', 'loans', 'payday', 'mortgage', 'credit', 'you', 'your', 'to', 'and', 'are']"
34,33,42,33_guard_security_the_officer,"['guard', 'security', 'the', 'officer', 'was', 'police', 'to', 'and', 'you', 'in']"
35,34,41,34_it_the_to_and,"['it', 'the', 'to', 'and', 'on', 'you', 'is', 'your', 'page', 'that']"
36,35,40,35_land_lodge_of_the,"['land', 'lodge', 'of', 'the', 'masonic', 'you', 'in', 'and', 'to', 'your']"
37,36,39,36_outlook_mail_email_my,"['outlook', 'mail', 'email', 'my', 'emails', 'windows', 'folder', 'to', 'it', 'and']"
38,37,39,37_website_need_jewelry_url,"['website', 'need', 'jewelry', 'url', 'form', 'script', 'php', 'project', 'to', 'for']"
39,38,38,38_to_and_the_tenant,"['to', 'and', 'the', 'tenant', 'in', 'my', 'of', 'on', 'property', 'with']"
40,39,38,39_website_template_wordpress_page,"['website', 'template', 'wordpress', 'page', 'design', 'need', 'site', 'html', 'css', 'theme']"
41,40,37,40_2001_11_september_salt,"['2001', '11', 'september', 'salt', 'he', 'the', 'of', 'that', 'his', 'brunswick']"
42,41,36,41_english_translation_need_language,"['english', 'translation', 'need', 'language', 'kannada', 'spanish', 'translate', 'to', 'urgent', 'google']"
43,42,36,42_password_ussr_soviet_nuclear,"['password', 'ussr', 'soviet', 'nuclear', 'was', 'had', 'the', 'to', 'that', 'communist']"
44,43,35,43_of_the_in_is,"['of', 'the', 'in', 'is', 'agorecommends', 'and', 'by', 'tiger', 'people', 'soros']"
45,44,35,44_film_ravenell_movie_the,"['film', 'ravenell', 'movie', 'the', 'of', 'and', 'his', 'vs', 'films', 'that']"
46,45,34,45_vpn_pfsense_hannah_server,"['vpn', 'pfsense', 'hannah', 'server', 'connect', 'network', 'to', 'montana', 'access', 'can']"
47,46,33,46_her_she_and_tiny,"['her', 'she', 'and', 'tiny', 'sex', 'you', 'me', 'to', 'with', 'floor']"
48,47,32,47_blog_this_need_what,"['blog', 'this', 'need', 'what', 'bidding', 'do', 'to', 'your', 'my', 'im']"
49,48,32,48_website_design_need_company,"['website', 'design', 'need', 'company', 'freelance', 'looking', 'for', 'work', 'job', 'project']"
50,49,32,49_account_bank_td_my,"['account', 'bank', 'td', 'my', 'money', 'dating', 'to', 'is', 'the', 'payment']"
51,50,31,50_tmobile_oroquieta_vudu_order,"['tmobile', 'oroquieta', 'vudu', 'order', 'customer', 'your', 'to', 'the', 'and', 'my']"
52,51,30,51_poker_casino_gambling_bet,"['poker', 'casino', 'gambling', 'bet', 'jackpot', 'bonus', 'play', 'slot', 'you', 'betsoft']"
