,Topic,Count,Name,Representation
0,-1,123,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'that', 'for', 'it', 'with']"
1,0,307,0_the_of_to_is,"['the', 'of', 'to', 'is', 'and', 'in', 'that', 'you', 'it', 'for']"
2,1,130,1_to_the_and_of,"['to', 'the', 'and', 'of', 'is', 'in', 'you', 'it', 'for', 'have']"
3,2,113,2_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'on', 'for', 'is', 'it', 'with']"
4,3,105,3_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'tank', 'for', 'is', 'it', 'have']"
5,4,45,4_the_to_and_it,"['the', 'to', 'and', 'it', 'in', 'of', 'on', 'for', 'is', 'with']"
6,5,33,5_plants_and_the_to,"['plants', 'and', 'the', 'to', 'you', 'in', 'of', 'for', 'arrived', 'my']"
7,6,31,6_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'you', 'for', 'it', 'have', 'is']"
8,7,31,7_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'on', 'this', 'are', 'we']"
9,8,26,8_the_to_hive_bees,"['the', 'to', 'hive', 'bees', 'and', 'of', 'it', 'in', 'is', 'with']"
10,9,18,9_the_to_it_tree,"['the', 'to', 'it', 'tree', 'and', 'is', 'you', 'bonsai', 'of', 'trees']"
11,10,16,10_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'are', 'it', 'you', 'on', 'that']"
12,11,12,11_ants_the_to_nest,"['ants', 'the', 'to', 'nest', 'and', 'it', 'fear', 'of', 'in', 'they']"
13,12,11,12_the_to_and_you,"['the', 'to', 'and', 'you', 'of', 'in', 'that', 'your', 'they', 'are']"
