,Topic,Count,Name,Representation
0,-1,747,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'are', 'with', 'that']"
1,0,86,0_juice_fruit_and_the,"['juice', 'fruit', 'and', 'the', 'to', 'of', 'you', 'in', 'for', 'with']"
2,1,82,1_coffee_the_of_espresso,"['coffee', 'the', 'of', 'espresso', 'to', 'is', 'and', 'in', 'with', 'that']"
3,2,73,2_cooking_and_the_to,"['cooking', 'and', 'the', 'to', 'with', 'of', 'in', 'for', 'you', 'on']"
4,3,67,3_wine_the_ebook_of,"['wine', 'the', 'ebook', 'of', 'revisiting', 'and', 'in', 'foundations', 'to', 'relativistic']"
5,4,65,4_blade_grinder_the_and,"['blade', 'grinder', 'the', 'and', 'steel', 'grinding', 'for', 'mill', 'to', 'with']"
6,5,59,5_plant_vegetables_in_to,"['plant', 'vegetables', 'in', 'to', 'the', 'and', 'broccoli', 'can', 'of', 'tomatoes']"
7,6,58,6_and_to_of_the,"['and', 'to', 'of', 'the', 'foods', 'in', 'gluten', 'for', 'are', 'we']"
8,7,51,7_milk_ice_cream_extract,"['milk', 'ice', 'cream', 'extract', 'product', 'is', 'yogurt', 'and', 'dairy', 'in']"
9,8,48,8_tea_the_teas_of,"['tea', 'the', 'teas', 'of', 'to', 'and', 'green', 'is', 'in', 'that']"
10,9,47,9_rice_the_in_of,"['rice', 'the', 'in', 'of', 'and', 'to', 'is', 'that', 'as', 'with']"
11,10,47,10_chocolate_the_and_to,"['chocolate', 'the', 'and', 'to', 'of', 'until', 'in', 'with', 'is', 'for']"
12,11,44,11_alcohol_beer_yeast_vodka,"['alcohol', 'beer', 'yeast', 'vodka', 'you', 'to', 'the', 'is', 'that', 'of']"
13,12,35,12_cake_cakes_the_in,"['cake', 'cakes', 'the', 'in', 'and', 'is', 'dough', 'of', 'with', 'to']"
14,13,35,13_or_other_of_and,"['or', 'other', 'of', 'and', 'beef', 'meat', 'the', 'than', 'not', 'for']"
15,14,33,14_olive_oil_the_virgin,"['olive', 'oil', 'the', 'virgin', 'of', 'olives', 'and', 'lesvos', 'to', 'in']"
16,15,33,15_oil_oils_and_is,"['oil', 'oils', 'and', 'is', 'the', 'of', 'to', 'it', 'that', 'in']"
17,16,32,16_diet_plan_you_weight,"['diet', 'plan', 'you', 'weight', 'your', 'meal', 'to', 'eat', 'healthy', 'kcal']"
18,17,30,17_cheese_the_to_cheeses,"['cheese', 'the', 'to', 'cheeses', 'of', 'that', 'in', 'and', 'her', 'is']"
19,18,30,18_cooking_oven_the_induction,"['cooking', 'oven', 'the', 'induction', 'hob', 'with', 'to', 'grill', 'you', 'and']"
20,19,29,19_flour_wheat_bread_and,"['flour', 'wheat', 'bread', 'and', 'milling', 'the', 'is', 'federal', 'of', 'corn']"
21,20,28,20_we_our_to_and,"['we', 'our', 'to', 'and', 'farm', 'the', 'csa', 'organic', 'supplies', 'shares']"
22,21,27,21_calories_fat_protein_sizzler,"['calories', 'fat', 'protein', 'sizzler', 'grams', 'menu', 'of', 'product', 'gthe', 'carbs']"
23,22,27,22_food_to_and_the,"['food', 'to', 'and', 'the', 'freezer', 'be', 'foods', 'in', 'of', 'or']"
24,23,22,23_bowl_assorted_teas_bowls,"['bowl', 'assorted', 'teas', 'bowls', 'ceramic', 'mixing', 'spindle', 'set', 'white', 'glass']"
25,24,20,24_indian_curry_of_and,"['indian', 'curry', 'of', 'and', 'the', 'in', 'maggi', 'is', 'dishes', 'south']"
26,25,18,25_peppers_plants_plant_are,"['peppers', 'plants', 'plant', 'are', 'leaves', 'in', 'pepper', 'chard', 'they', 'the']"
27,26,18,26_nonstick_cookware_crisper_steel,"['nonstick', 'cookware', 'crisper', 'steel', 'pan', 'cooking', 'aluminum', 'gotham', 'with', 'it']"
28,27,17,27_fish_tuna_liver_cod,"['fish', 'tuna', 'liver', 'cod', 'the', 'and', 'to', 'oil', 'of', 'fatty']"
29,28,17,28_peanuts_peanut_nuts_butter,"['peanuts', 'peanut', 'nuts', 'butter', 'pili', 'quest', 'you', 'bar', 'almonds', 'and']"
