,Topic,Count,Name,Representation
0,-1,8128,-1_and_of_the_in,"['and', 'of', 'the', 'in', 'to', 'for', 'is', 'with', 'that', 'as']"
1,0,1115,0_dental_teeth_tooth_dentist,"['dental', 'teeth', 'tooth', 'dentist', 'your', 'dentistry', 'oral', 'smile', 'you', 'can']"
2,1,435,1_eye_vision_lasik_eyes,"['eye', 'vision', 'lasik', 'eyes', 'lenses', 'lens', 'glaucoma', 'the', 'to', 'laser']"
3,2,280,2_addiction_alcohol_drug_abuse,"['addiction', 'alcohol', 'drug', 'abuse', 'substance', 'recovery', 'treatment', 'drugs', 'opioid', 'methadone']"
4,3,214,3_cancer_breast_alliance_women,"['cancer', 'breast', 'alliance', 'women', 'alliances', 'new', 'and', 'of', 'strategic', 'was']"
5,4,211,4_cells_protein_cell_proteins,"['cells', 'protein', 'cell', 'proteins', 'content', 'expression', 'al', 'signaling', 'dll3', 'et']"
6,5,196,5_travel_vaccine_virus_vaccination,"['travel', 'vaccine', 'virus', 'vaccination', 'vaccines', 'flu', 'cases', 'influenza', 'ebola', 'health']"
7,6,161,6_medicines_mg_supplies_buy,"['medicines', 'mg', 'supplies', 'buy', 'generic', 'erectile', 'extremophilic', 'online', 'dysfunction', 'cyanobacteria']"
8,7,156,7_chiropractic_chiropractor_chiropractors_pain,"['chiropractic', 'chiropractor', 'chiropractors', 'pain', 'care', 'spinal', 'back', 'coast', 'your', 'our']"
9,8,149,8_valve_heart_union_credit,"['valve', 'heart', 'union', 'credit', 'coronary', 'aortic', 'valves', 'patients', 'cardiac', 'ventricular']"
10,9,147,9_serotonergic_serotonin_5ht_dose,"['serotonergic', 'serotonin', '5ht', 'dose', 'lexapro', 'neurons', 'effects', 'mg', 'drug', 'levetiracetam']"
11,10,142,10_wspr_care_nursing_house,"['wspr', 'care', 'nursing', 'house', 'health', 'hospital', 'ridge', 'cosponsors', 'home', 'services']"
12,11,137,11_physical_therapy_rehabilitation_robotic,"['physical', 'therapy', 'rehabilitation', 'robotic', 'sports', 'physiotherapy', 'exercise', 'pilates', 'program', 'and']"
13,12,133,12_massage_therapist_body_grip,"['massage', 'therapist', 'body', 'grip', 'therapy', 'deep', 'muscle', 'strength', 'your', 'swedish']"
14,13,130,13_shall_board_or_drug,"['shall', 'board', 'or', 'drug', 'pursuant', 'any', 'such', 'company', 'research', 'of']"
15,14,125,14_viagra_generic_online_buy,"['viagra', 'generic', 'online', 'buy', 'cialis', 'sildenafil', 'erectile', 'dysfunction', 'cheap', 'penis']"
16,15,121,15_stem_cells_cell_mscs,"['stem', 'cells', 'cell', 'mscs', 'bone', 'tissue', 'meniscus', 'marrow', 'msc', 'cardiomyocyte']"
17,16,121,16_sleep_night_insomnia_asleep,"['sleep', 'night', 'insomnia', 'asleep', 'sleeping', 'you', 'your', 'it', 'can', 'to']"
18,17,116,17_maca_medicinal_herb_used,"['maca', 'medicinal', 'herb', 'used', 'extract', 'turmeric', 'cinnamon', 'helps', 'it', 'plants']"
19,18,108,18_cancer_patients_tumor_cells,"['cancer', 'patients', 'tumor', 'cells', 'motesanib', 'subfunctionalization', 'erlotinib', 'study', 'cns', 'aml']"
20,19,103,19_vitamin_vitamins_b12_niacin,"['vitamin', 'vitamins', 'b12', 'niacin', 'deficiency', 'supplements', 'folic', 'acid', 'supplementation', 'biotin']"
21,20,97,20_pet_veterinary_pets_animal,"['pet', 'veterinary', 'pets', 'animal', 'owners', 'puppy', 'vet', 'cat', 'care', 'our']"
22,21,96,21_kidney_renal_dialysis_pm,"['kidney', 'renal', 'dialysis', 'pm', 'kidneys', 'blood', 'disease', 'creatinine', 'urea', 'ckd']"
23,22,95,22_hair_transplant_loss_scalp,"['hair', 'transplant', 'loss', 'scalp', 'propecia', 'alopecia', 'follicles', 'baldness', 'you', 'thinning']"
24,23,95,23_constitution_jurisdiction_court_state,"['constitution', 'jurisdiction', 'court', 'state', 'power', 'congress', 'states', 'shall', 'laws', 'courts']"
25,24,92,24_moral_bacteria_beliefs_antibiotics,"['moral', 'bacteria', 'beliefs', 'antibiotics', 'infection', 'antibiotic', 'infections', 'planning', 'debunking', 'argument']"
26,25,91,25_fertility_sperm_infertility_ivf,"['fertility', 'sperm', 'infertility', 'ivf', 'reproductive', 'egg', 'pregnancy', 'surrogacy', 'you', 'embryo']"
27,26,89,26_acupuncture_chinese_qi_medicine,"['acupuncture', 'chinese', 'qi', 'medicine', 'deqi', 'needles', 'gong', 'qigong', 'yin', 'pain']"
28,27,85,27_market_god_he_word,"['market', 'god', 'he', 'word', 'thats', 'now', 'jesus', 'said', 'nrc', 'it']"
29,28,84,28_episode_birth_doula_abortion,"['episode', 'birth', 'doula', 'abortion', 'pregnancy', 'baby', 'childbirth', 'women', 'labor', 'birthing']"
30,29,83,29_hiv_aids_sexual_ipv,"['hiv', 'aids', 'sexual', 'ipv', 'hivaids', 'men', 'sex', 'prevention', 'perpetration', 'health']"
31,30,81,30_dna_illusion_genetic_test,"['dna', 'illusion', 'genetic', 'test', 'ponzo', 'testing', 'monocular', 'clabsi', 'mutation', 'the']"
32,31,81,31_autism_asd_autistic_2d4d,"['autism', 'asd', 'autistic', '2d4d', 'spectrum', 'children', 'asds', 'disorder', 'ratios', 'behavior']"
33,32,80,32_breast_breasts_implants_augmentation,"['breast', 'breasts', 'implants', 'augmentation', 'surgery', 'implant', 'silicone', 'enhancement', 'nipple', 'scars']"
34,33,79,33_therapy_counselling_therapist_mental,"['therapy', 'counselling', 'therapist', 'mental', 'psychotherapy', 'eft', 'you', 'trauma', 'clients', 'my']"
35,34,79,34_dementia_alzheimers_download_subregionalism,"['dementia', 'alzheimers', 'download', 'subregionalism', 'atrophy', 'cardiac', 'intensive', 'memory', 'cromwell', 'factor']"
36,35,77,35_hearing_ait_ear_aids,"['hearing', 'ait', 'ear', 'aids', 'loss', 'sound', 'tinnitus', 'auditory', 'aid', 'speech']"
37,36,72,36_psoriasis_eczema_dermatitis_skin,"['psoriasis', 'eczema', 'dermatitis', 'skin', 'scalp', 'atopic', 'itchy', 'dandruff', 'can', 'condition']"
38,37,68,37_cholesterol_ldl_added_2014page,"['cholesterol', 'ldl', 'added', '2014page', 'item', 'heart', 'fat', '2013page', 'sentence', 'levels']"
39,38,66,38_foot_toe_shoes_feet,"['foot', 'toe', 'shoes', 'feet', 'ankle', 'shoe', 'nail', 'toes', 'ingrown', 'your']"
40,39,66,39_nutrition_aco_weight_eating,"['nutrition', 'aco', 'weight', 'eating', 'food', 'nutritional', 'health', 'ultrasound', 'eat', 'you']"
41,40,65,40_hepatitis_liver_fluency_statements,"['hepatitis', 'liver', 'fluency', 'statements', 'true', 'selenium', 'nafld', 'truth', 'hbv', 'virus']"
42,41,63,41_skin_oil_moisturiser_natural,"['skin', 'oil', 'moisturiser', 'natural', 'ingredients', 'face', 'it', 'dry', 'helps', 'skins']"
43,42,63,42_antibody_antibodies_protein_antiidiotypic,"['antibody', 'antibodies', 'protein', 'antiidiotypic', 'antigen', 'polyclonal', 'rabbit', 'proteins', 'epitope', 'monoclonal']"
44,43,62,43_doxycycline_zithromax_cipro_infections,"['doxycycline', 'zithromax', 'cipro', 'infections', 'tetracycline', 'hyclate', 'antibiotic', 'azithromycin', 'minocycline', 'chlamydia']"
45,44,61,44_brain_perceptual_human_cortex,"['brain', 'perceptual', 'human', 'cortex', 'visual', 'task', 'neural', 'al', 'et', 'temporal']"
46,45,60,45_nursing_nurse_college_degree,"['nursing', 'nurse', 'college', 'degree', 'program', 'cna', 'bsn', 'programs', 'courses', 'nurses']"
47,46,60,46_care_dementia_home_caregivers,"['care', 'dementia', 'home', 'caregivers', 'alzheimers', 'seniors', 'mental', 'residents', 'loved', 'methane']"
48,47,59,47_pancreatic_cancer_drawing_drawings,"['pancreatic', 'cancer', 'drawing', 'drawings', 'speech', 'language', 'patients', 'pancreatitis', 'figures', 'children']"
49,48,58,48_marijuana_cannabis_medical_cbd,"['marijuana', 'cannabis', 'medical', 'cbd', 'thc', 'use', 'cannabinoids', 'you', 'card', 'it']"
50,49,57,49_allergy_allergies_allergic_anaphylaxis,"['allergy', 'allergies', 'allergic', 'anaphylaxis', 'asthma', 'jia', 'food', 'pollen', 'allergen', 'reactions']"
51,50,57,50_tea_green_coffee_caffeine,"['tea', 'green', 'coffee', 'caffeine', 'egcg', 'cups', 'ec', 'drinking', 'polyphenols', 'sulindac']"
