,Topic,Count,Name,Representation
0,-1,5491,-1_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'is', 'for', 'on', 'that', 'with']"
1,0,445,0_is_if_that_be,"['is', 'if', 'that', 'be', 'function', 'it', 'the', 'to', 'an', 'value']"
2,1,429,1_flowers_avocado_plant_fruit,"['flowers', 'avocado', 'plant', 'fruit', 'leaves', 'it', 'tree', 'in', 'or', 'with']"
3,2,287,2_of_in_the_gene,"['of', 'in', 'the', 'gene', 'and', 'evolution', 'to', 'that', 'genes', 'were']"
4,3,277,3_birds_bird_they_are,"['birds', 'bird', 'they', 'are', 'and', 'species', 'to', 'nest', 'the', 'in']"
5,4,242,4_cows_cattle_milk_dairy,"['cows', 'cattle', 'milk', 'dairy', 'and', 'for', 'to', 'the', 'with', 'of']"
6,5,200,5_forest_and_of_conservation,"['forest', 'and', 'of', 'conservation', 'the', 'forests', 'to', 'biodiversity', 'in', 'on']"
7,6,185,6_bees_bee_honey_hive,"['bees', 'bee', 'honey', 'hive', 'beekeeping', 'to', 'and', 'the', 'that', 'you']"
8,7,164,7_ga_rocks_volcanic_et,"['ga', 'rocks', 'volcanic', 'et', 'al', 'of', 'the', 'and', 'crust', 'in']"
9,8,155,8_bearing_whereas_galac_galft,"['bearing', 'whereas', 'galac', 'galft', 'lha', 'lm', 'distance', 'averages', 'climate', 'precipitation']"
10,9,143,9_students_thermal_download_bsci,"['students', 'thermal', 'download', 'bsci', 'course', 'power', 'science', 'learning', 'will', 'and']"
11,10,141,10_farmers_rice_agricultural_and,"['farmers', 'rice', 'agricultural', 'and', 'of', 'organic', 'in', 'gafta', 'to', 'food']"
12,11,139,11_fish_device_video_the,"['fish', 'device', 'video', 'the', 'or', 'and', 'to', 'are', 'in', 'species']"
13,12,129,12_lawn_turf_grass_your,"['lawn', 'turf', 'grass', 'your', 'weeds', 'you', 'weed', 'spray', 'soil', 'to']"
14,13,124,13_space_lie_is_of,"['space', 'lie', 'is', 'of', 'spaces', 'groups', 'point', 'the', 'that', 'algebras']"
15,14,114,14_students_equations_solve_algebra,"['students', 'equations', 'solve', 'algebra', 'worksheet', 'equation', 'problems', 'worksheets', 'numbers', 'will']"
16,15,110,15_fish_aquarium_tank_water,"['fish', 'aquarium', 'tank', 'water', 'filter', 'your', 'you', 'filtration', 'pond', 'to']"
17,16,98,16_soil_fertilizer_compost_plant,"['soil', 'fertilizer', 'compost', 'plant', 'organic', 'nutrients', 'soils', 'humate', 'plants', 'liquid']"
18,17,92,17_dog_dogs_breed_puppies,"['dog', 'dogs', 'breed', 'puppies', 'club', 'kennel', 'he', 'his', 'to', 'shall']"
19,18,90,18_equations_differential_dental_cells,"['equations', 'differential', 'dental', 'cells', 'orville', 'stem', 'equation', 'emscs', 'solutions', 'neural']"
20,19,90,19_bait_fishing_line_hook,"['bait', 'fishing', 'line', 'hook', 'fish', 'rig', 'hooks', 'weight', 'you', 'baits']"
21,20,86,20_water_groundwater_river_flow,"['water', 'groundwater', 'river', 'flow', 'landslide', 'rivers', 'bathymetry', 'aquifer', 'wallpaper', 'and']"
22,21,85,21_pion_higgs_energy_qqd,"['pion', 'higgs', 'energy', 'qqd', 'the', 'cross', 'mev', 'caruz', 'perception', 'pions']"
23,22,83,22_deer_hunting_hunt_hunters,"['deer', 'hunting', 'hunt', 'hunters', 'season', 'elk', 'you', 'archery', 'hunter', 'hunts']"
24,23,79,23_planets_planet_jupiter_comet,"['planets', 'planet', 'jupiter', 'comet', 'star', 'mrs', 'solar', 'the', 'it', 'sun']"
