,Topic,Count,Name,Representation
0,-1,465,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'with', 'it', 'you']"
1,0,177,0_with_and_served_sauce,"['with', 'and', 'served', 'sauce', 'of', 'to', 'cheese', 'the', 'chicken', 'in']"
2,1,71,1_to_you_and_the,"['to', 'you', 'and', 'the', 'of', 'for', 'in', 'your', 'recipes', 'food']"
3,2,64,2_nonstick_and_pan_the,"['nonstick', 'and', 'pan', 'the', 'for', 'with', 'to', 'is', 'you', 'this']"
4,3,61,3_coffee_the_of_to,"['coffee', 'the', 'of', 'to', 'and', 'in', 'is', 'it', 'for', 'you']"
5,4,58,4_the_and_for_with,"['the', 'and', 'for', 'with', 'to', 'of', 'in', 'is', 'cutting', 'blade']"
6,5,43,5_tea_the_of_and,"['tea', 'the', 'of', 'and', 'to', 'is', 'in', 'that', 'for', 'with']"
7,6,42,6_bowl_the_of_for,"['bowl', 'the', 'of', 'for', 'and', 'to', 'bowls', 'containers', 'mixing', 'board']"
8,7,42,7_chocolate_the_of_cocoa,"['chocolate', 'the', 'of', 'cocoa', 'and', 'to', 'in', 'is', 'milk', 'are']"
9,8,38,8_wine_the_and_of,"['wine', 'the', 'and', 'of', 'to', 'in', 'for', 'is', 'by', 'with']"
10,9,31,9_grill_the_and_to,"['grill', 'the', 'and', 'to', 'of', 'for', 'cooking', 'you', 'is', 'charcoal']"
11,10,30,10_of_our_and_we,"['of', 'our', 'and', 'we', 'the', 'products', 'in', 'is', 'rice', 'are']"
12,11,29,11_oven_the_cooking_to,"['oven', 'the', 'cooking', 'to', 'and', 'it', 'you', 'is', 'this', 'convection']"
13,12,28,12_fruit_with_tonic_the,"['fruit', 'with', 'tonic', 'the', 'and', 'of', 'is', 'to', 'vodka', 'juice']"
14,13,25,13_the_of_extradition_peanut,"['the', 'of', 'extradition', 'peanut', 'chocolate', 'to', 'shall', 'state', 'requested', 'for']"
15,14,23,14_cake_and_the_cakes,"['cake', 'and', 'the', 'cakes', 'in', 'of', 'is', 'to', 'with', 'for']"
16,15,23,15_protein_extract_is_milk,"['protein', 'extract', 'is', 'milk', 'product', 'whey', 'and', 'commonly', 'of', 'powder']"
17,16,19,16_income_child_the_ftb,"['income', 'child', 'the', 'ftb', 'subsection', 'of', 'to', 'act', 'rate', 'under']"
18,17,19,17_candy_cinnamon_caramel_sugar,"['candy', 'cinnamon', 'caramel', 'sugar', 'free', 'favorite', 'flavors', 'these', 'flavor', 'from']"
19,18,18,18_oil_olive_the_virgin,"['oil', 'olive', 'the', 'virgin', 'and', 'of', 'extra', 'olives', 'in', 'to']"
20,19,16,19_oil_and_is_it,"['oil', 'and', 'is', 'it', 'to', 'skin', 'as', 'oils', 'the', 'in']"
21,20,15,20_blender_the_and_blade,"['blender', 'the', 'and', 'blade', 'for', 'to', 'smoothies', 'juicer', 'juice', 'with']"
22,21,13,21_indian_curry_book_recipes,"['indian', 'curry', 'book', 'recipes', 'and', 'the', 'cooking', 'to', 'in', 'of']"
23,22,12,22_pasta_the_and_in,"['pasta', 'the', 'and', 'in', 'gluten', 'to', 'free', 'of', 'is', 'wheat']"
24,23,12,23_grinder_mill_pepper_grinding,"['grinder', 'mill', 'pepper', 'grinding', 'salt', 'mills', 'spice', 'steel', 'spices', 'stainless']"
25,24,11,24_the_to_of_in,"['the', 'to', 'of', 'in', 'and', 'that', 'his', 'he', 'for', 'it']"
26,25,11,25_are_these_with_gelato,"['are', 'these', 'with', 'gelato', 'and', 'the', 'made', 'in', 'cookies', 'of']"
