,Topic,Count,Name,Representation
0,-1,7475,-1_and_the_of_to,"['and', 'the', 'of', 'to', 'for', 'is', 'in', 'with', 'are', 'on']"
1,0,586,0_led_light_lighting_lights,"['led', 'light', 'lighting', 'lights', 'lamp', 'bulbs', 'bulb', 'lamps', 'outdoor', 'the']"
2,1,425,1_would_software_data_business,"['would', 'software', 'data', 'business', 'management', 'seconds', 'match', 'team', 'and', 'minutes']"
3,2,389,2_insurance_furniture_storage_car,"['insurance', 'furniture', 'storage', 'car', 'wood', 'outdoor', 'auto', 'in', 'for', 'to']"
4,3,368,3_sound_audio_midi_speaker,"['sound', 'audio', 'midi', 'speaker', 'music', 'bass', 'amplifier', 'organ', 'speakers', 'the']"
5,4,288,4_temperature_measurement_the_is,"['temperature', 'measurement', 'the', 'is', 'of', 'and', 'data', 'in', 'to', 'for']"
6,5,256,5_bike_bikes_carbon_ride,"['bike', 'bikes', 'carbon', 'ride', 'trail', 'yamaha', 'the', 'frame', 'motorcycle', 'santa']"
7,6,255,6_boat_yacht_boats_dumpster,"['boat', 'yacht', 'boats', 'dumpster', 'magnesium', 'yachts', 'the', 'grains', 'ad', 'in']"
8,7,228,7_construction_project_home_building,"['construction', 'project', 'home', 'building', 'we', 'design', 'house', 'our', 'proton', 'to']"
9,8,223,8_holster_shoulder_gun_rifle,"['holster', 'shoulder', 'gun', 'rifle', 'holsters', 'rig', 'barrel', 'shooting', 'ab', 'carry']"
10,9,189,9_repair_auto_vehicle_service,"['repair', 'auto', 'vehicle', 'service', 'shop', 'car', 'owner', 'vehicles', 'repairs', 'we']"
11,10,179,10_kubota_mower_tractor_lawn,"['kubota', 'mower', 'tractor', 'lawn', 'diet', 'tractors', 'skid', 'mowers', 'journals', 'fat']"
12,11,156,11_products_quality_our_we,"['products', 'quality', 'our', 'we', 'of', 'company', 'in', 'market', 'and', 'customers']"
13,12,151,12_bathroom_faucet_shower_toilet,"['bathroom', 'faucet', 'shower', 'toilet', 'faucets', 'tub', 'bathtub', 'sink', 'tubs', 'toilets']"
14,13,141,13_camera_cameras_video_surveillance,"['camera', 'cameras', 'video', 'surveillance', 'security', 'cctv', 'recording', 'ip', 'image', 'dvr']"
15,14,140,14_car_pontiac_corvette_engine,"['car', 'pontiac', 'corvette', 'engine', 'cars', 'bel', 'interior', 'this', 'was', 'transmission']"
16,15,140,15_internet_voip_vpn_phone,"['internet', 'voip', 'vpn', 'phone', 'mountain', 'network', 'business', 'providers', 'ip', 'voice']"
17,16,129,16_limar_rod_wire_rope,"['limar', 'rod', 'wire', 'rope', 'strap', 'fishing', 'hook', 'solitary', 'the', 'steel']"
18,17,129,17_pump_pumps_piston_hydraulic,"['pump', 'pumps', 'piston', 'hydraulic', 'water', 'series', 'pressure', 'vacuum', 'rexroth', 'air']"
19,18,125,18_plumbing_drain_plumbers_water,"['plumbing', 'drain', 'plumbers', 'water', 'plumber', 'drains', 'septic', 'heater', 'emergency', 'sewer']"
20,19,124,19_bearing_bearings_skf_nsk,"['bearing', 'bearings', 'skf', 'nsk', 'fag', 'ntn', 'industrial', 'timken', 'koyo', 'ina']"
21,20,124,20_windows_doors_window_glazing,"['windows', 'doors', 'window', 'glazing', 'double', 'sash', 'london', 'door', 'glass', 'upvc']"
22,21,124,21_stone_tile_tiles_granite,"['stone', 'tile', 'tiles', 'granite', 'marble', 'natural', 'grout', 'porcelain', 'surface', 'ceramic']"
23,22,124,22_locksmith_locks_lock_locksmiths,"['locksmith', 'locks', 'lock', 'locksmiths', 'keys', 'key', 'security', 'services', 'emergency', 'we']"
24,23,123,23_rv_trailer_trailers_chaparral,"['rv', 'trailer', 'trailers', 'chaparral', 'fifth', 'uhaul', 'truck', 'rvs', 'coachmen', 'bed']"
25,24,120,24_flooring_floors_hardwood_laminate,"['flooring', 'floors', 'hardwood', 'laminate', 'floor', 'carpet', 'wood', 'tile', 'vinyl', 'epoxy']"
26,25,119,25_cable_connectors_cables_connector,"['cable', 'connectors', 'cables', 'connector', 'wire', 'one27', 'male', 'female', 'connection', 'hangleton']"
27,26,119,26_tracing_tracking_usps_worldwide,"['tracing', 'tracking', 'usps', 'worldwide', 'shipments', 'sendings', 'shipmentsworldwide', 'packages', 'global', 'your']"
