,Topic,Count,Name,Representation
0,-1,6740,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'with', 'you', 'it']"
1,0,3533,0_the_and_in_with,"['the', 'and', 'in', 'with', 'room', 'home', 'is', 'of', 'to', 'located']"
2,1,1413,1_music_the_of_and,"['music', 'the', 'of', 'and', 'to', 'in', 'album', 'for', 'with', 'that']"
3,2,608,2_her_she_his_the,"['her', 'she', 'his', 'the', 'to', 'of', 'he', 'and', 'is', 'that']"
4,3,483,3_shoes_leather_heel_shoe,"['shoes', 'leather', 'heel', 'shoe', 'boot', 'boots', 'upper', 'comfort', 'these', 'with']"
5,4,329,4_bag_leather_pocket_laptop,"['bag', 'leather', 'pocket', 'laptop', 'bags', 'zippered', 'backpack', 'wallet', 'shoulder', 'strap']"
6,5,245,5_dress_dresses_skirt_gown,"['dress', 'dresses', 'skirt', 'gown', 'neckline', 'wedding', 'lace', 'size', 'with', 'back']"
7,6,219,6_pillow_fabric_cotton_congo,"['pillow', 'fabric', 'cotton', 'congo', 'un', 'drc', 'congolese', 'the', 'of', 'duvet']"
8,7,207,7_tshirt_tshirts_shirt_loans,"['tshirt', 'tshirts', 'shirt', 'loans', 'tee', 'credit', 'shirts', 'payday', 'cotton', 'cafepress']"
9,8,195,8_dating_singles_site_online,"['dating', 'singles', 'site', 'online', 'women', 'meet', 'free', 'single', 'find', 'men']"
10,9,183,9_of_the_anderson_and,"['of', 'the', 'anderson', 'and', 'in', 'his', 'book', 'as', 'by', 'poetry']"
11,10,180,10_necklace_bracelet_jewelry_silver,"['necklace', 'bracelet', 'jewelry', 'silver', 'pendant', 'chain', 'beads', 'gold', 'sterling', 'bracelets']"
12,11,167,11_crystalline_download_alpha_book,"['crystalline', 'download', 'alpha', 'book', 'beta', 'methyl', 'you', 'your', 'to', 'and']"
13,12,163,12_am_im_my_me,"['am', 'im', 'my', 'me', 'you', 'sensual', 'sexy', 'name', 'gentlemen', 'massage']"
14,13,157,13_game_archery_games_players,"['game', 'archery', 'games', 'players', 'your', 'you', 'play', 'the', 'to', 'and']"
15,14,144,14_spine_dust_jacket_pages,"['spine', 'dust', 'jacket', 'pages', 'copy', 'edition', 'condition', 'first', 'cover', 'good']"
16,15,144,15_denim_jeans_waist_fit,"['denim', 'jeans', 'waist', 'fit', 'leg', 'shorts', 'trousers', 'pockets', 'these', 'size']"
17,16,132,16_tickets_ticket_seats_concert,"['tickets', 'ticket', 'seats', 'concert', 'event', 'events', 'are', 'we', 'you', 'buy']"
18,17,120,17_flowers_flower_delivery_florist,"['flowers', 'flower', 'delivery', 'florist', 'floral', 'bouquet', 'florists', 'gifts', 'arrangements', 'gift']"
19,18,115,18_tchalla_panther_the_indigenous,"['tchalla', 'panther', 'the', 'indigenous', 'to', 'that', 'aboriginal', 'of', 'wakanda', 'as']"
20,19,111,19_adopt_adoption_social_worker,"['adopt', 'adoption', 'social', 'worker', 'child', 'you', 'please', 'if', 'shipping', 'we']"
21,20,111,20_chair_furniture_chairs_sofa,"['chair', 'furniture', 'chairs', 'sofa', 'furnishings', 'outdoor', 'design', 'seat', 'modern', 'with']"
22,21,111,21_casino_bingo_slots_games,"['casino', 'bingo', 'slots', 'games', 'slot', 'online', 'bonus', 'play', 'poker', 'free']"
23,22,109,22_codes_coupons_code_patients,"['codes', 'coupons', 'code', 'patients', 'coupon', 'clot', 'cts', 'discount', 'flow', 'promo']"
24,23,103,23_her_she_feet_you,"['her', 'she', 'feet', 'you', 'him', 'slave', 'sexy', 'ass', 'his', 'to']"
25,24,100,24_escort_escorts_you_girls,"['escort', 'escorts', 'you', 'girls', 'call', 'our', 'will', 'are', 'to', 'aurangabad']"
26,25,100,25_jacket_material_coat_pockets,"['jacket', 'material', 'coat', 'pockets', 'wool', 'warm', 'is', 'it', 'the', 'fleece']"
27,26,100,26_dog_dogs_she_her,"['dog', 'dogs', 'she', 'her', 'he', 'cat', 'his', 'loves', 'is', 'cats']"
28,27,99,27_god_bible_christian_of,"['god', 'bible', 'christian', 'of', 'book', 'faith', 'the', 'to', 'in', 'that']"
29,28,94,28_wedding_your_you_event,"['wedding', 'your', 'you', 'event', 'dumpster', 'we', 'planning', 'our', 'day', 'weddings']"
30,29,93,29_vase_candle_glass_tall,"['vase', 'candle', 'glass', 'tall', 'hell', 'blue', 'or', 'is', 'brass', 'of']"
31,30,91,30_fashion_clothing_clothes_santaquin,"['fashion', 'clothing', 'clothes', 'santaquin', 'and', 'styles', 'accessories', 'our', 'of', 'in']"
32,31,91,31_print_canvas_art_hang,"['print', 'canvas', 'art', 'hang', 'ready', 'hanging', 'framed', 'arrives', 'textured', 'finish']"
33,32,86,32_hat_hats_brim_straw,"['hat', 'hats', 'brim', 'straw', 'trilby', 'fedora', 'cap', 'crown', 'wool', 'sun']"
34,33,86,33_earrings_fendi_gold_logo,"['earrings', 'fendi', 'gold', 'logo', 'earring', 'shape', 'hoop', 'made', 'metal', 'goldfinish']"
35,34,85,34_painting_paintings_art_canvas,"['painting', 'paintings', 'art', 'canvas', 'gallery', 'artists', 'oil', 'prints', 'artist', 'our']"
36,35,84,35_boiler_of_act_art,"['boiler', 'of', 'act', 'art', 'the', 'was', 'in', 'shall', 'jabra', 'inspector']"
37,36,83,36_ring_diamond_engagement_diamonds,"['ring', 'diamond', 'engagement', 'diamonds', 'gold', 'rings', 'cut', 'wedding', 'carat', '14k']"
38,37,82,37_fragrance_scent_eau_candle,"['fragrance', 'scent', 'eau', 'candle', 'notes', 'perfume', 'his', 'parfum', 'musk', 'de']"
39,38,80,38_watch_watches_dial_stainless,"['watch', 'watches', 'dial', 'stainless', 'steel', 'case', 'quartz', 'replica', 'gold', 'strap']"
40,39,63,39_glasses_sunglasses_eyeglasses_cavalli,"['glasses', 'sunglasses', 'eyeglasses', 'cavalli', 'shipping', 'roberto', 'glasseslove', 'canadadear', 'pair', 'propecia']"
41,40,62,40_movie_lambada_movies_film,"['movie', 'lambada', 'movies', 'film', 'video', 'download', 'dvd', 'full', 'or', 'hindi']"
42,41,60,41_table_dining_understanding_mcewan,"['table', 'dining', 'understanding', 'mcewan', 'ian', 'outdoor', 'set', 'traditions', 'hanover', 'coffee']"
43,42,60,42_play_toys_kids_children,"['play', 'toys', 'kids', 'children', 'fun', 'inflatable', 'for', 'squishy', 'can', 'squinkies']"
44,43,59,43_designer_item_sales_fashions,"['designer', 'item', 'sales', 'fashions', 'shopper', 'specifications', 'online', 'promotions', 'latest', 'ordering']"
45,44,59,44_sex_vibrator_dildo_toy,"['sex', 'vibrator', 'dildo', 'toy', 'toys', 'vibrating', 'realistic', 'rabbit', 'cock', 'dildos']"
46,45,55,45_lamp_cialis_light_shade,"['lamp', 'cialis', 'light', 'shade', 'fountain', 'cheap', 'active', 'pendant', 'super', 'glass']"
