,Topic,Count,Name,Representation
0,-1,1316,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'that', 'with', 'it']"
1,0,314,0_viagra_buy_online_to,"['viagra', 'buy', 'online', 'to', 'the', 'male', 'you', 'sexual', 'is', 'of']"
2,1,185,1_skin_and_it_oil,"['skin', 'and', 'it', 'oil', 'the', 'is', 'of', 'to', 'with', 'cream']"
3,2,132,2_dental_dentistry_dentist_we,"['dental', 'dentistry', 'dentist', 'we', 'our', 'to', 'and', 'you', 'your', 'care']"
4,3,130,3_rna_cell_antibody_cells,"['rna', 'cell', 'antibody', 'cells', 'protein', 'of', 'and', 'the', 'for', 'proteins']"
5,4,126,4_massage_download_the_healing,"['massage', 'download', 'the', 'healing', 'of', 'and', 'to', 'flow', 'in', 'artistic']"
6,5,122,5_chiropractic_pain_back_to,"['chiropractic', 'pain', 'back', 'to', 'you', 'and', 'the', 'your', 'of', 'our']"
7,6,90,6_fertility_to_and_you,"['fertility', 'to', 'and', 'you', 'the', 'pregnancy', 'birth', 'of', 'baby', 'for']"
8,7,73,7_eye_vision_lenses_laser,"['eye', 'vision', 'lenses', 'laser', 'lens', 'our', 'to', 'and', 'the', 'of']"
9,8,64,8_medical_you_to_care,"['medical', 'you', 'to', 'care', 'and', 'in', 'insurance', 'the', 'your', 'of']"
10,9,60,9_testosterone_hormone_iowa_the,"['testosterone', 'hormone', 'iowa', 'the', 'of', 'hgh', 'to', 'in', 'is', 'you']"
11,10,59,10_weight_fat_loss_keto,"['weight', 'fat', 'loss', 'keto', 'garcinia', 'diet', 'supplement', 'body', 'cambogia', 'you']"
12,11,59,11_and_of_the_download,"['and', 'of', 'the', 'download', 'with', 'in', 'to', 'you', 'for', 'that']"
13,12,58,12_vitamin_supplements_products_and,"['vitamin', 'supplements', 'products', 'and', 'product', 'vitamins', 'it', 'this', 'to', 'the']"
14,13,57,13_the_imaging_and_to,"['the', 'imaging', 'and', 'to', 'of', 'with', 'he', 'in', 'or', 'dog']"
15,14,56,14_weight_nutrition_loss_and,"['weight', 'nutrition', 'loss', 'and', 'to', 'you', 'daisy', 'of', 'health', 'the']"
16,15,54,15_cholesterol_muscle_amino_of,"['cholesterol', 'muscle', 'amino', 'of', 'the', 'and', 'in', 'is', 'to', 'for']"
17,16,50,16_filler_fillers_skin_lines,"['filler', 'fillers', 'skin', 'lines', 'the', 'dermal', 'and', 'treatment', 'to', 'facial']"
18,17,47,17_pet_veterinary_animal_pets,"['pet', 'veterinary', 'animal', 'pets', 'hospital', 'dog', 'your', 'dogs', 'we', 'care']"
19,18,42,18_braces_invisalign_orthodontic_teeth,"['braces', 'invisalign', 'orthodontic', 'teeth', 'color', 'dress', 'aligners', 'orthodontics', 'gender', 'treatment']"
20,19,41,19_coolsculpting_fat_body_the,"['coolsculpting', 'fat', 'body', 'the', 'viagra', 'procedure', 'liposuction', 'to', 'cells', 'of']"
21,20,41,20_implant_implants_dlt_dental,"['implant', 'implants', 'dlt', 'dental', 'teeth', 'dentures', 'any', 'or', 'the', 'to']"
22,21,39,21_and_patient_health_management,"['and', 'patient', 'health', 'management', 'software', 'medication', 'the', 'to', 'billing', 'care']"
23,22,38,22_book_cancer_by_of,"['book', 'cancer', 'by', 'of', 'the', 'and', 'guide', 'to', 'you', 'this']"
24,23,37,23_knee_compression_foot_stockings,"['knee', 'compression', 'foot', 'stockings', 'socks', 'pain', 'toe', 'feet', 'and', 'for']"
25,24,36,24_the_healing_is_to,"['the', 'healing', 'is', 'to', 'of', 'and', 'in', 'that', 'health', 'asthma']"
26,25,35,25_aed_monitor_cpr_usb,"['aed', 'monitor', 'cpr', 'usb', 'and', 'app', 'pre', 'ecg', 'palm', 'with']"
27,26,35,26_skin_facial_treatment_and,"['skin', 'facial', 'treatment', 'and', 'your', 'the', 'to', 'you', 'will', 'is']"
28,27,35,27_yoga_to_the_and,"['yoga', 'to', 'the', 'and', 'of', 'you', 'in', 'it', 'will', 'for']"
29,28,34,28_whitening_teeth_womens_correspondence,"['whitening', 'teeth', 'womens', 'correspondence', 'collective', 'smile', 'bodies', 'folders', 'ourselves', 'health']"
30,29,33,29_resume_physical_amplifier_sports,"['resume', 'physical', 'amplifier', 'sports', 'and', 'orthopedic', 'the', 'rehabilitation', 'to', 'in']"
31,30,33,30_hearing_speech_ear_ent,"['hearing', 'speech', 'ear', 'ent', 'aids', 'auditory', 'the', 'aid', 'sound', 'is']"
32,31,32,31_sleep_snoring_apnea_the,"['sleep', 'snoring', 'apnea', 'the', 'to', 'of', 'bjp', 'and', 'is', 'pm']"
33,32,31,32_cbd_hemp_oil_payment,"['cbd', 'hemp', 'oil', 'payment', 'cannabis', 'are', 'products', 'to', 'and', 'you']"
34,33,30,33_hair_transplant_the_forklift,"['hair', 'transplant', 'the', 'forklift', 'in', 'and', 'loss', 'for', 'of', 'with']"
35,34,28,34_chocolate_medicine_courtesy_herbal,"['chocolate', 'medicine', 'courtesy', 'herbal', 'natural', 'and', 'of', 'in', 'sandwich', 'the']"
36,35,28,35_vitasprings_or_and_this,"['vitasprings', 'or', 'and', 'this', 'cold', 'products', 'product', 'relief', 'any', 'allergy']"
37,36,27,36_eye_anti_aging_cream,"['eye', 'anti', 'aging', 'cream', 'crusher', 'skin', 'products', 'wrinkle', 'wrinkles', 'eyes']"
38,37,26,37_dressing_wound_loan_business,"['dressing', 'wound', 'loan', 'business', 'dressings', 'wounds', 'adhesive', 'burns', 'gauze', 'bandage']"
39,38,25,38_and_you_medical_to,"['and', 'you', 'medical', 'to', 'the', 'clinic', 'in', 'at', 'laser', 'for']"
40,39,24,39_acupuncture_susan_medicine_my,"['acupuncture', 'susan', 'medicine', 'my', 'chinese', 'pain', 'and', 'for', 'to', 'in']"
41,40,24,40_addiction_recovery_treatment_drug,"['addiction', 'recovery', 'treatment', 'drug', 'alcohol', 'detox', 'addictions', 'and', 'to', 'rehab']"
42,41,23,41_breast_breasts_implants_surgery,"['breast', 'breasts', 'implants', 'surgery', 'augmentation', 'shape', 'buckland', 'the', 'implant', 'size']"
43,42,23,42_probiotic_bacteria_probiotics_gut,"['probiotic', 'bacteria', 'probiotics', 'gut', 'digestive', 'the', 'lactobacillus', '40', 'of', 'in']"
44,43,23,43_pilates_training_barre_fitness,"['pilates', 'training', 'barre', 'fitness', 'and', 'the', 'your', 'to', 'will', 'mv']"
45,44,22,44_diabetes_insulin_glucose_blood,"['diabetes', 'insulin', 'glucose', 'blood', 'to', 'type', 'the', 'and', 'of', 'with']"
46,45,22,45_acsm_course_cift_training,"['acsm', 'course', 'cift', 'training', 'students', 'nursing', 'skills', 'clinical', 'to', 'you']"
47,46,22,46_morethis_course_read_examines,"['morethis', 'course', 'read', 'examines', 'practice', 'health', 'morethe', 'and', 'of', 'physiology']"
48,47,22,47_to_the_you_of,"['to', 'the', 'you', 'of', 'and', 'that', 'cleanse', 'is', 'body', 'it']"
49,48,20,48_care_home_loved_dementia,"['care', 'home', 'loved', 'dementia', 'to', 'hospice', 'for', 'we', 'that', 'can']"
50,49,19,49_incontinence_pouch_pad_stomadome,"['incontinence', 'pouch', 'pad', 'stomadome', 'pads', 'stoma', 'ostomy', 'labinni', 'rectangular', 'colostomy']"
51,50,18,50_drug_drugs_pharmaceutical_of,"['drug', 'drugs', 'pharmaceutical', 'of', 'the', 'information', 'and', 'manufacturing', 'for', 'anesthesia']"
52,51,17,51_flea_fleas_cats_ticks,"['flea', 'fleas', 'cats', 'ticks', 'tick', 'dogs', 'kills', 'weeks', 'pet', 'for']"
53,52,17,52_plastic_surgery_kutty_dr,"['plastic', 'surgery', 'kutty', 'dr', 'cosmetic', 'breast', 'surgeon', 'stile', 'he', 'you']"
54,53,17,53_virus_infections_sanitation_infection,"['virus', 'infections', 'sanitation', 'infection', 'nosocomial', 'fever', 'the', 'of', 'diseases', 'water']"
55,54,17,54_diaper_rash_snoring_cream,"['diaper', 'rash', 'snoring', 'cream', 'babys', 'skin', 'baby', 'your', 'relief', 'ointment']"
56,55,16,55_magnesium_ormus_salt_sea,"['magnesium', 'ormus', 'salt', 'sea', 'minerals', 'mag', 'and', 'is', 'from', 'sleep']"
57,56,16,56_smile_teeth_dentistry_dental,"['smile', 'teeth', 'dentistry', 'dental', 'veneers', 'cosmetic', 'tooling', 'soprolife', 'tooth', 'says']"
58,57,16,57_her_of_the_and,"['her', 'of', 'the', 'and', 'his', 'in', 'book', 'is', 'to', 'that']"
59,58,16,58_nose_rhinoplasty_surgery_procedure,"['nose', 'rhinoplasty', 'surgery', 'procedure', 'plastic', 'facial', 'neck', 'dr', 'the', 'surgical']"
60,59,16,59_joint_pain_joints_rescue,"['joint', 'pain', 'joints', 'rescue', 'cartilage', 'carnival', 'relief', 'jamaica', 'formula', 'the']"
61,60,15,60_hypnotherapy_hypnosis_session_you,"['hypnotherapy', 'hypnosis', 'session', 'you', 'mind', 'subconscious', 'to', 'course', 'nlp', 'in']"
62,61,14,61_hcg_weight_drops_plan,"['hcg', 'weight', 'drops', 'plan', 'reduction', 'kendall', 'triumph', 'escanaba', 'danielson', 'brainerd']"
63,62,13,62_brain_cognitive_of_supplement,"['brain', 'cognitive', 'of', 'supplement', 'prenatal', 'geniux', 'the', 'and', 'to', 'that']"
