,Topic,Count,Name,Representation
0,-1,8346,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'for', 'with', 'that', 'on']"
1,0,361,0_insurance_coverage_policy_auto,"['insurance', 'coverage', 'policy', 'auto', 'health', 'cover', 'your', 'you', 'life', 'to']"
2,1,338,1_essay_writing_paper_writers,"['essay', 'writing', 'paper', 'writers', 'essays', 'papers', 'assignment', 'academic', 'dissertation', 'custom']"
3,2,323,2_loans_loan_cash_payday,"['loans', 'loan', 'cash', 'payday', 'credit', 'lenders', 'advance', 'personal', 'money', 'bank']"
4,3,313,3_estate_real_home_homes,"['estate', 'real', 'home', 'homes', 'sale', 'property', 'listings', 'agents', 'selling', 'market']"
5,4,241,4_god_church_bible_jesus,"['god', 'church', 'bible', 'jesus', 'belief', 'ebook', 'christian', 'of', 'his', 'book']"
6,5,231,5_apartment_apartments_bedroom_room,"['apartment', 'apartments', 'bedroom', 'room', 'in', 'the', 'this', 'is', 'and', 'rent']"
7,6,223,6_seo_search_engine_optimization,"['seo', 'search', 'engine', 'optimization', 'website', 'google', 'marketing', 'optimisation', 'engines', 'site']"
8,7,194,7_students_school_learning_education,"['students', 'school', 'learning', 'education', 'teachers', 'children', 'educational', 'classroom', 'teaching', 'and']"
9,8,177,8_tax_accounting_business_financial,"['tax', 'accounting', 'business', 'financial', 'accountants', 'bookkeeping', 'your', 'clients', 'we', 'our']"
10,9,170,9_charitable_gift_p450_dili,"['charitable', 'gift', 'p450', 'dili', 'donation', 'community', 'drugs', 'donate', 'fund', 'donations']"
11,10,163,10_language_english_spanish_students,"['language', 'english', 'spanish', 'students', 'french', 'teaching', 'learning', 'courses', 'lessons', 'german']"
12,11,152,11_tickets_ticket_concert_seats,"['tickets', 'ticket', 'concert', 'seats', 'event', 'events', 'upcoming', 'purchase', 'musicolympus', 'incredimail']"
13,12,151,12_beach_villa_resort_pool,"['beach', 'villa', 'resort', 'pool', 'located', 'vacation', 'the', 'room', 'and', 'hotel']"
14,13,142,13_this_is_podcast_that,"['this', 'is', 'podcast', 'that', 'to', 'and', 'fashion', 'her', 'of', 'glasses']"
15,14,140,14_design_website_web_site,"['design', 'website', 'web', 'site', 'websites', 'designers', 'your', 'business', 'we', 'development']"
16,15,137,15_escorts_escort_girls_call,"['escorts', 'escort', 'girls', 'call', 'you', 'nagar', 'they', 'ladies', 'are', 'girl']"
17,16,136,16_vashikaran_love_magic_astrology,"['vashikaran', 'love', 'magic', 'astrology', 'specialist', 'problems', 'marriage', 'astrologer', 'black', 'mantra']"
18,17,133,17_crm_management_customer_dynamics,"['crm', 'management', 'customer', 'dynamics', 'odbc', 'data', 'business', 'microsoft', 'sales', 'software']"
19,18,129,18_phone_voip_call_calls,"['phone', 'voip', 'call', 'calls', 'number', 'service', 'your', 'calling', 'business', 'voice']"
20,19,127,19_shipping_order_item_delivery,"['shipping', 'order', 'item', 'delivery', 'please', 'orders', 'items', 'or', 'days', 'shipped']"
21,20,124,20_hosting_server_vps_web,"['hosting', 'server', 'vps', 'web', 'servers', 'dedicated', 'website', 'domain', 'control', 'panel']"
22,21,121,21_injury_accident_personal_lawyers,"['injury', 'accident', 'personal', 'lawyers', 'law', 'accidents', 'injuries', 'lawyer', 'attorney', 'compensation']"
23,22,118,22_exam_certification_questions_test,"['exam', 'certification', 'questions', 'test', 'dumps', 'pdf', 'pass', 'preparation', 'microsoft', 'answers']"
24,23,112,23_wedding_ceremony_cuban_weddings,"['wedding', 'ceremony', 'cuban', 'weddings', 'event', 'cookie', 'day', 'your', 'americans', 'guests']"
25,24,106,24_affiliate_money_builderall_marketing,"['affiliate', 'money', 'builderall', 'marketing', 'you', 'make', 'online', 'paid', 'get', 'bath']"
26,25,104,25_translation_portuguese_english_brazilian,"['translation', 'portuguese', 'english', 'brazilian', 'document', 'looking', 'notarized', 'certificate', 'translators', 'translations']"
27,26,103,26_coupon_codes_coupons_discount,"['coupon', 'codes', 'coupons', 'discount', 'code', 'promo', 'deals', 'discounts', 'shopping', 'save']"
28,27,103,27_leadership_coaching_leaders_coach,"['leadership', 'coaching', 'leaders', 'coach', 'team', 'pests', 'they', 'leader', 'and', 'insects']"
29,28,101,28_criminal_defense_attorney_law,"['criminal', 'defense', 'attorney', 'law', 'dui', 'lawyer', 'county', 'charges', 'attorneys', 'description']"
30,29,98,29_email_marketing_emails_your,"['email', 'marketing', 'emails', 'your', 'list', 'send', 'campaign', 'campaigns', 'mail', 'automation']"
31,30,94,30_forex_trading_traders_trade,"['forex', 'trading', 'traders', 'trade', 'market', 'trader', 'signals', 'bonus', 'account', 'deposit']"
32,31,94,31_video_videos_youtube_proxy,"['video', 'videos', 'youtube', 'proxy', 'to', 'cae', 'the', 'production', 'and', 'we']"
33,32,91,32_tour_hotel_kerala_india,"['tour', 'hotel', 'kerala', 'india', 'tours', 'travel', 'city', 'aviles', 'bangkok', 'the']"
34,33,91,33_airport_limousine_limo_taxi,"['airport', 'limousine', 'limo', 'taxi', 'service', 'transportation', 'bus', 'car', 'limousines', 'tn']"
35,34,89,34_dating_singles_site_meet,"['dating', 'singles', 'site', 'meet', 'online', 'women', 'datememe', 'free', 'single', 'find']"
36,35,89,35_property_management_rental_tenant,"['property', 'management', 'rental', 'tenant', 'properties', 'tenants', 'estate', 'real', 'our', 'we']"
37,36,88,36_logo_brand_design_logos,"['logo', 'brand', 'design', 'logos', 'branding', 'your', 'business', 'create', 'creative', 'marketing']"
38,37,86,37_therapy_anxiety_counseling_therapist,"['therapy', 'anxiety', 'counseling', 'therapist', 'and', 'stress', 'download', 'couples', 'health', 'with']"
39,38,84,38_app_mobile_apps_android,"['app', 'mobile', 'apps', 'android', 'development', 'ios', 'iphone', 'sherri', 'developers', 'users']"
40,39,83,39_social_shall_media_asbestos,"['social', 'shall', 'media', 'asbestos', 'facebook', 'employer', 'paragraph', 'followers', 'twitter', 'viagra']"
41,40,82,40_economic_economics_book_financial,"['economic', 'economics', 'book', 'financial', 'economy', 'of', 'monetary', 'the', 'and', 'in']"
