,Topic,Count,Name,Representation
0,-1,254,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'for', 'with', 'that', 'on']"
1,0,142,0_of_the_and_to,"['of', 'the', 'and', 'to', 'in', 'is', 'for', 'this', 'that', 'on']"
2,1,109,1_the_and_to_is,"['the', 'and', 'to', 'is', 'for', 'with', 'of', 'you', 'it', 'in']"
3,2,78,2_the_and_soil_to,"['the', 'and', 'soil', 'to', 'of', 'is', 'plants', 'in', 'for', 'with']"
4,3,63,3_flowers_and_to_the,"['flowers', 'and', 'to', 'the', 'in', 'of', 'with', 'is', 'plant', 'for']"
5,4,62,4_and_the_to_of,"['and', 'the', 'to', 'of', 'for', 'in', 'birds', 'are', 'is', 'with']"
6,5,62,5_the_and_control_to,"['the', 'and', 'control', 'to', 'of', 'pest', 'in', 'is', 'your', 'are']"
7,6,59,6_the_to_and_water,"['the', 'to', 'and', 'water', 'filter', 'for', 'of', 'is', 'in', 'fish']"
8,7,58,7_fishing_the_and_of,"['fishing', 'the', 'and', 'of', 'to', 'in', 'on', 'for', 'you', 'is']"
9,8,37,8_and_to_is_the,"['and', 'to', 'is', 'the', 'for', 'with', 'of', 'are', 'have', 'her']"
10,9,34,9_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'lawn', 'for', 'was', 'that', 'your']"
11,10,32,10_seeds_trichocereus_and_plant,"['seeds', 'trichocereus', 'and', 'plant', 'pollinated', 'the', 'plants', 'of', 'in', 'to']"
12,11,21,11_ranch_and_the_acres,"['ranch', 'and', 'the', 'acres', 'of', 'boys', 'for', 'in', 'located', 'farm']"
13,12,21,12_hunting_and_the_for,"['hunting', 'and', 'the', 'for', 'to', 'deer', 'in', 'duck', 'of', 'hunts']"
14,13,21,13_the_and_milking_of,"['the', 'and', 'milking', 'of', 'to', 'for', 'is', 'in', 'herd', 'cow']"
15,14,19,14_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'fish', 'is', 'that', 'for', 'on']"
16,15,14,15_tree_trees_ca_to,"['tree', 'trees', 'ca', 'to', 'and', 'the', 'you', 'care', 'are', 'pruning']"
17,16,14,16_succulents_plants_your_they,"['succulents', 'plants', 'your', 'they', 'to', 'can', 'and', 'you', 'wedding', 'in']"
18,17,12,17_of_the_and_book,"['of', 'the', 'and', 'book', 'in', 'to', 'is', 'ant', 'genetics', 'beetles']"
