,Topic,Count,Name,Representation
0,-1,241,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'it', 'with', 'that']"
1,0,33,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'it', 'is', 'with', 'for']"
2,1,26,1_the_and_to_of,"['the', 'and', 'to', 'of', 'was', 'in', 'for', 'it', 'with', 'is']"
3,2,21,2_the_to_and_it,"['the', 'to', 'and', 'it', 'of', 'was', 'for', 'my', 'that', 'with']"
4,3,21,3_the_cake_and_to,"['the', 'cake', 'and', 'to', 'it', 'of', 'you', 'for', 'in', 'so']"
5,4,19,4_the_and_of_to,"['the', 'and', 'of', 'to', 'is', 'in', 'it', 'that', 'with', 'wine']"
6,5,18,5_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'is', 'as', 'it', 'for']"
7,6,17,6_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'for', 'it', 'is', 'with', 'on']"
8,7,16,7_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'for', 'we', 'peppers', 'is', 'that']"
9,8,15,8_coffee_fulltime_per_the,"['coffee', 'fulltime', 'per', 'the', 'year', 'of', 'instate', 'outofstate', 'and', 'to']"
