,Topic,Count,Name,Representation
0,-1,9294,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'that', 'with', 'on']"
1,0,426,0_the_it_to_and,"['the', 'it', 'to', 'and', 'you', 'for', 'with', 'that', 'of', 'is']"
2,1,310,1_mining_gold_mine_of,"['mining', 'gold', 'mine', 'of', 'in', 'the', 'and', 'to', 'is', 'for']"
3,2,255,2_water_the_that_to,"['water', 'the', 'that', 'to', 'of', 'and', 'is', 'in', 'for', 'we']"
4,3,237,3_radio_audio_to_and,"['radio', 'audio', 'to', 'and', 'the', 'it', 'that', 'for', 'with', 'of']"
5,4,181,4_safety_vehicles_drivers_vehicle,"['safety', 'vehicles', 'drivers', 'vehicle', 'to', 'the', 'in', 'autonomous', 'of', 'selfdriving']"
6,5,173,5_battery_electric_charging_batteries,"['battery', 'electric', 'charging', 'batteries', 'vehicles', 'ev', 'vehicle', 'car', 'cars', 'in']"
7,6,158,6_solar_energy_power_pv,"['solar', 'energy', 'power', 'pv', 'in', 'panels', 'of', 'to', 'the', 'and']"
8,7,156,7_space_launch_nasa_rocket,"['space', 'launch', 'nasa', 'rocket', 'mission', 'orbit', 'mars', 'spacecraft', 'the', 'will']"
9,8,152,8_quarter_million_earnings_of,"['quarter', 'million', 'earnings', 'of', 'net', 'in', 'share', 'adjusted', 'company', 'our']"
10,9,143,9_nuclear_reactor_power_uranium,"['nuclear', 'reactor', 'power', 'uranium', 'reactors', 'iran', 'the', 'safety', 'fukushima', 'of']"
11,10,140,10_maritime_port_vessels_shipping,"['maritime', 'port', 'vessels', 'shipping', 'ships', 'of', 'the', 'ship', 'and', 'for']"
12,11,139,11_students_engineering_research_and,"['students', 'engineering', 'research', 'and', 'in', 'you', 'education', 'to', 'college', 'university']"
13,12,138,12_airlines_msn_aircraft_airbus,"['airlines', 'msn', 'aircraft', 'airbus', 'boeing', 'leased', 'airline', 'aviation', 'air', 'airways']"
14,13,134,13_air_force_aircraft_missile,"['air', 'force', 'aircraft', 'missile', 'fighter', 'military', 'the', 'defense', 'f35', 'russian']"
15,14,132,14_wireless_5g_network_wifi,"['wireless', '5g', 'network', 'wifi', 'mobile', 'lte', '4g', 'to', 'networks', 'and']"
16,15,122,15_race_racing_his_speedway,"['race', 'racing', 'his', 'speedway', 'series', 'lap', 'win', 'season', 'track', 'was']"
17,16,122,16_gun_rifle_the_was,"['gun', 'rifle', 'the', 'was', 'to', 'with', 'and', 'in', 'that', 'it']"
18,17,115,17_train_railway_line_was,"['train', 'railway', 'line', 'was', 'trains', 'tfl', 'the', 'locomotive', 'station', 'on']"
19,18,115,18_graphene_hydrogen_reaction_materials,"['graphene', 'hydrogen', 'reaction', 'materials', 'of', 'molecules', 'researchers', 'the', 'in', 'nanoparticles']"
20,19,110,19_fire_safety_county_to,"['fire', 'safety', 'county', 'to', 'the', 'you', 'and', 'on', 'of', 'your']"
21,20,108,20_lighting_god_led_light,"['lighting', 'god', 'led', 'light', 'christ', 'page', 'death', 'shall', 'of', 'assembly']"
22,21,103,21_aircraft_guilliman_was_the,"['aircraft', 'guilliman', 'was', 'the', 'his', 'were', 'of', 'had', 'air', 'war']"
23,22,102,22_intel_amd_graphics_memory,"['intel', 'amd', 'graphics', 'memory', 'nvidia', 'to', 'is', 'with', 'its', 'and']"
24,23,100,23_road_highway_traffic_bridge,"['road', 'highway', 'traffic', 'bridge', 'interstate', 'lanes', 'lane', 'will', 'route', 'construction']"
25,24,100,24_wind_turbines_turbine_farm,"['wind', 'turbines', 'turbine', 'farm', 'energy', 'project', 'offshore', 'power', 'the', 'of']"
26,25,99,25_uss_ship_moored_naval,"['uss', 'ship', 'moored', 'naval', 'navy', 'commenced', 'submarine', 'was', 'harbor', 'pearl']"
27,26,92,26_drone_drones_faa_the,"['drone', 'drones', 'faa', 'the', 'dji', 'to', 'and', 'is', 'of', 'unmanned']"
28,27,84,27_br_and_has_as,"['br', 'and', 'has', 'as', 'of', 'his', 'board', 'president', 'business', 'executive']"
29,28,84,28_audi_subaru_new_suv,"['audi', 'subaru', 'new', 'suv', 'the', 'with', 'model', 'engine', 'is', 'concept']"
30,29,80,29_recycling_waste_plastic_recycled,"['recycling', 'waste', 'plastic', 'recycled', 'of', 'and', 'in', 'to', 'the', 'plastics']"
31,30,79,30_3d_printing_printer_printed,"['3d', 'printing', 'printer', 'printed', 'manufacturing', 'additive', '2014', 'printers', 'and', 'print']"
32,31,77,31_and_event_for_the,"['and', 'event', 'for', 'the', 'of', 'vectorworks', 'in', 'exhibitors', 'with', 'to']"
33,32,76,32_monocytogenes_asthma_rhinitis_cs,"['monocytogenes', 'asthma', 'rhinitis', 'cs', 'and', 'of', 'with', 'wc', 'in', 'composites']"
34,33,72,33_season_prix_f1_his,"['season', 'prix', 'f1', 'his', 'race', 'formula', 'raikkonen', 'the', 'team', 'was']"
35,34,69,34_broadband_fibre_network_fredonia,"['broadband', 'fibre', 'network', 'fredonia', 'fiber', 'to', 'cable', 'networks', 'the', 'that']"
36,35,67,35_tractor_tractors_and_with,"['tractor', 'tractors', 'and', 'with', 'for', 'deere', 'to', 'the', 'parts', 'blinds']"
37,36,67,36_oil_crude_bpd_us,"['oil', 'crude', 'bpd', 'us', 'prices', 'barrels', 'production', 'investigator', 'to', 'suffolk']"
38,37,66,37_oil_spill_gulf_drilling,"['oil', 'spill', 'gulf', 'drilling', 'bp', 'abiotic', 'wells', 'deepwater', 'the', 'hydrocarbons']"
39,38,66,38_recall_vehicles_flavor_recalled,"['recall', 'vehicles', 'flavor', 'recalled', 'gm', 'bullying', 'is', 'takata', 'the', 'that']"
40,39,65,39_rv_shall_truck_gp,"['rv', 'shall', 'truck', 'gp', 'and', 'the', 'trucking', 'for', 'freight', 'apartment']"
41,40,65,40_sbir_telescope_government_the,"['sbir', 'telescope', 'government', 'the', 'technology', 'for', 'satellite', 'of', 'research', 'to']"
42,41,63,41_cloud_hat_vmware_data,"['cloud', 'hat', 'vmware', 'data', 'software', 'our', 'virtualization', 'customers', 'emc', 'infrastructure']"
43,42,62,42_printing_print_printer_printers,"['printing', 'print', 'printer', 'printers', 'my', 'and', 'ink', 'press', 'digital', 'to']"
44,43,61,43_energy_efficiency_water_heating,"['energy', 'efficiency', 'water', 'heating', 'heaters', 'heat', 'geothermal', 'homes', 'to', 'the']"
45,44,58,44_storage_orthodox_drives_that,"['storage', 'orthodox', 'drives', 'that', 'data', 'ssd', 'church', 'to', 'tb', 'so']"
46,45,57,45_yacht_boat_yachts_superyacht,"['yacht', 'boat', 'yachts', 'superyacht', 'boats', 'sailing', 'superyachts', 'reviews', 'the', 'hull']"
47,46,53,46_sailing_race_boats_cup,"['sailing', 'race', 'boats', 'cup', 'team', 'yacht', 'boat', 'the', 'club', 'sailors']"
48,47,50,47_lens_camera_cameras_lenses,"['lens', 'camera', 'cameras', 'lenses', 'film', 'leica', 'shzon', 'harp', 'photography', 'he']"
49,48,49,48_robotics_robots_robot_of,"['robotics', 'robots', 'robot', 'of', 'technology', 'to', 'convocation', 'the', 'and', 'in']"
50,49,49,49_pipeline_oil_pipelines_gas,"['pipeline', 'oil', 'pipelines', 'gas', 'keystone', 'transcanada', 'ferc', 'to', 'natural', 'the']"
51,50,48,50_motorcycle_bike_yamaha_suzuki,"['motorcycle', 'bike', 'yamaha', 'suzuki', 'indian', 'bikes', 'motorcycles', 'cx500', 'piaggio', 'thunderbird']"
52,51,47,51_mobile_android_devices_phone,"['mobile', 'android', 'devices', 'phone', 'arbitration', 'device', 'smartphone', 'smartphones', 'market', 'phones']"
53,52,47,52_race_racing_car_championship,"['race', 'racing', 'car', 'championship', 'season', 'will', 'the', 'team', 'cars', 'gtm']"
54,53,41,53_erosioncorrosion_and_you_our,"['erosioncorrosion', 'and', 'you', 'our', 'seawater', 'the', 'for', 'flow', 'with', 'my']"
55,54,41,54_vr_3d_glasses_581,"['vr', '3d', 'glasses', '581', 'reality', 'str', 'ar', 'imax', 'to', 'ruoli']"
56,55,40,55_formaldehyde_employer_shall_laser,"['formaldehyde', 'employer', 'shall', 'laser', 'employee', 'photonics', 'exposure', 'optical', 'or', 'of']"
57,56,40,56_power_electricity_rs_mw,"['power', 'electricity', 'rs', 'mw', 'india', 'sector', 'crore', 'government', 'energy', 'coal']"
58,57,39,57_engine_ford_348_car,"['engine', 'ford', '348', 'car', 'was', '409', 'v8', 'hughesnet', 'mustang', 'were']"
