,Topic,Count,Name,Representation
0,-1,2223,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'that', 'with', 'on']"
1,0,176,0_care_and_the_hospital,"['care', 'and', 'the', 'hospital', 'in', 'of', 'nursing', 'to', 'dumpster', 'health']"
2,1,170,1_company_of_the_and,"['company', 'of', 'the', 'and', 'in', 'for', 'to', 'its', 'on', 'million']"
3,2,149,2_breast_cancer_my_you,"['breast', 'cancer', 'my', 'you', 'to', 'was', 'and', 'me', 'that', 'it']"
4,3,133,3_the_of_opioid_to,"['the', 'of', 'opioid', 'to', 'and', 'lancaster', 'convention', 'that', 'county', 'in']"
5,4,130,4_my_was_me_baby,"['my', 'was', 'me', 'baby', 'it', 'to', 'and', 'we', 'you', 'her']"
6,5,125,5_dental_teeth_the_was,"['dental', 'teeth', 'the', 'was', 'and', 'to', 'of', 'my', 'in', 'it']"
7,6,121,6_cancer_cells_patients_of,"['cancer', 'cells', 'patients', 'of', 'the', 'in', 'tumor', 'to', 'and', 'that']"
8,7,119,7_flu_influenza_virus_the,"['flu', 'influenza', 'virus', 'the', 'of', 'in', 'vaccine', 'and', 'to', 'is']"
9,8,107,8_my_the_and_of,"['my', 'the', 'and', 'of', 'it', 'to', 'was', 'that', 'me', 'for']"
10,9,86,9_alzheimers_dementia_disease_brain,"['alzheimers', 'dementia', 'disease', 'brain', 'in', 'of', 'the', 'that', 'and', 'to']"
11,10,80,10_eye_vision_glaucoma_the,"['eye', 'vision', 'glaucoma', 'the', 'of', 'in', 'to', 'is', 'and', 'for']"
12,11,76,11_marijuana_cannabis_cbd_medical,"['marijuana', 'cannabis', 'cbd', 'medical', 'of', 'the', 'and', 'in', 'is', 'to']"
13,12,71,12_diabetes_insulin_to_type,"['diabetes', 'insulin', 'to', 'type', 'and', 'with', 'the', 'of', 'in', 'that']"
14,13,70,13_imaging_the_and_of,"['imaging', 'the', 'and', 'of', 'to', 'with', 'in', 'is', 'for', 'ct']"
15,14,66,14_blood_transplant_my_and,"['blood', 'transplant', 'my', 'and', 'kidney', 'to', 'was', 'the', 'of', 'donor']"
16,15,65,15_of_in_the_and,"['of', 'in', 'the', 'and', 'mental', 'to', 'that', 'depression', 'brain', 'is']"
17,16,62,16_women_testosterone_menopause_of,"['women', 'testosterone', 'menopause', 'of', 'cancer', 'breast', 'risk', 'the', 'that', 'to']"
18,17,58,17_heavenly_gala_metropolitan_imagination,"['heavenly', 'gala', 'metropolitan', 'imagination', 'costume', 'museum', 'attends', 'catholic', 'fashion', 'the']"
19,18,55,18_stem_cells_cell_the,"['stem', 'cells', 'cell', 'the', 'p53', 'of', 'in', 'and', 'research', 'to']"
20,19,51,19_birth_health_to_and,"['birth', 'health', 'to', 'and', 'the', 'mothers', 'of', 'in', 'for', 'women']"
21,20,47,20_sleep_of_the_or,"['sleep', 'of', 'the', 'or', 'to', 'your', 'in', 'and', 'is', 'study']"
22,21,47,21_hiv_aids_the_in,"['hiv', 'aids', 'the', 'in', 'and', 'to', 'of', 'hivaids', 'he', 'that']"
23,22,44,22_my_me_was_it,"['my', 'me', 'was', 'it', 'you', 'to', 'and', 'so', 'that', 'but']"
24,23,44,23_autism_children_and_with,"['autism', 'children', 'and', 'with', 'of', 'to', 'is', 'that', 'are', 'in']"
25,24,43,24_her_she_we_he,"['her', 'she', 'we', 'he', 'to', 'so', 'his', 'and', 'is', 'was']"
26,25,39,25_my_you_me_it,"['my', 'you', 'me', 'it', 'to', 'that', 'not', 'and', 'have', 'was']"
27,26,37,26_ebola_virus_outbreak_liberia,"['ebola', 'virus', 'outbreak', 'liberia', 'the', 'cholera', 'sierra', 'in', 'leone', 'guinea']"
28,27,36,27_court_plaintiffs_drug_actos,"['court', 'plaintiffs', 'drug', 'actos', 'the', 'district', 'in', 'of', 'filed', 'takeda']"
29,28,35,28_abortion_nd_wilton_abortions,"['abortion', 'nd', 'wilton', 'abortions', 'distance', 'women', 'to', 'from', 'that', 'the']"
30,29,35,29_health_to_data_the,"['health', 'to', 'data', 'the', 'is', 'and', 'patients', 'in', 'of', 'that']"
31,30,35,30_vaccine_vaccines_the_that,"['vaccine', 'vaccines', 'the', 'that', 'of', 'to', 'court', 'in', 'autism', 'children']"
32,31,35,31_nhs_trust_popart_to,"['nhs', 'trust', 'popart', 'to', 'the', 'services', 'and', 'of', 'in', 'hospital']"
33,32,34,32_zika_virus_mosquitoes_mosquito,"['zika', 'virus', 'mosquitoes', 'mosquito', 'microcephaly', 'the', 'in', 'pregnant', 'of', 'depression']"
34,33,34,33_asthma_allergy_allergies_and,"['asthma', 'allergy', 'allergies', 'and', 'to', 'of', 'the', 'anaphylaxis', 'that', 'food']"
35,34,33,34_heart_and_ashp_the,"['heart', 'and', 'ashp', 'the', 'to', 'of', 'at', 'is', 'for', 'education']"
36,35,32,35_the_stent_in_of,"['the', 'stent', 'in', 'of', 'patients', 'and', 'to', 'with', 'by', 'for']"
37,36,32,36_hpv_cervical_gardasil_vaccine,"['hpv', 'cervical', 'gardasil', 'vaccine', 'the', 'cancer', 'of', 'to', 'and', 'pap']"
38,37,32,37_infections_antibiotics_infection_resistance,"['infections', 'antibiotics', 'infection', 'resistance', 'and', 'in', 'the', 'bearing', 'of', 'bacteria']"
39,38,32,38_3d_printing_tweezers_of,"['3d', 'printing', 'tweezers', 'of', 'the', 'in', 'for', 'to', 'is', 'and']"
40,39,32,39_hiv_and_the_to,"['hiv', 'and', 'the', 'to', 'is', 'of', 'in', 'yang', 'that', 'hivpositive']"
41,40,30,40_carbon_drugs_drug_biomass,"['carbon', 'drugs', 'drug', 'biomass', 'the', 'in', 'forests', 'of', 'to', 'and']"
42,41,30,41_dsrip_of_care_the,"['dsrip', 'of', 'care', 'the', 'to', 'health', 'that', 'in', 'and', 'for']"
43,42,30,42_ivf_the_egg_enron,"['ivf', 'the', 'egg', 'enron', 'to', 'eggs', 'of', 'sperm', 'is', 'be']"
44,43,29,43_pet_dog_animal_dogs,"['pet', 'dog', 'animal', 'dogs', 'animals', 'the', 'to', 'you', 'of', 'for']"
45,44,28,44_microbiome_gut_bacteria_the,"['microbiome', 'gut', 'bacteria', 'the', 'of', 'in', 'and', 'intestinal', 'that', 'sap']"
46,45,28,45_her_was_the_suit,"['her', 'was', 'the', 'suit', 'she', 'patient', 'to', 'of', 'medical', 'abortion']"
47,46,27,46_skin_my_acne_so,"['skin', 'my', 'acne', 'so', 'it', 'face', 'and', 'products', 'you', 'to']"
48,47,27,47_dance_smoking_learn_to,"['dance', 'smoking', 'learn', 'to', 'viagra', 'smoke', 'step', 'smokers', 'for', 'the']"
49,48,27,48_my_it_you_to,"['my', 'it', 'you', 'to', 'that', 'and', 'me', 'is', 'this', 'the']"
50,49,26,49_heart_patients_risk_of,"['heart', 'patients', 'risk', 'of', 'the', 'cardiovascular', 'with', 'to', 'in', 'failure']"
51,50,26,50_bariatric_eating_surgery_weight,"['bariatric', 'eating', 'surgery', 'weight', 'the', 'disorders', 'of', 'puppy', 'obese', 'and']"
