,Topic,Count,Name,Representation
0,-1,496,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'on', 'with', 'that']"
1,0,18211,0_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'is', 'for', 'on', 'with']"
2,1,292,1_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'for', 'is', 'with', 'that', 'on']"
3,2,173,2_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'for', 'is', 'with', 'he', 'on']"
4,3,141,3_the_and_to_in,"['the', 'and', 'to', 'in', 'of', 'for', 'is', 'game', 'that', 'on']"
5,4,97,4_the_in_to_of,"['the', 'in', 'to', 'of', 'and', 'he', 'cricket', 'for', 'is', 'was']"
6,5,97,5_the_in_to_and,"['the', 'in', 'to', 'and', 'of', 'is', 'for', 'baseball', 'that', 'he']"
7,6,96,6_the_and_to_in,"['the', 'and', 'to', 'in', 'of', 'on', 'is', 'for', 'that', 'with']"
8,7,94,7_the_casino_and_to,"['the', 'casino', 'and', 'to', 'of', 'in', 'poker', 'for', 'is', 'on']"
9,8,69,8_the_of_in_and,"['the', 'of', 'in', 'and', 'to', 'retrieved', 'obama', 'for', 'on', 'that']"
10,9,62,9_the_in_to_game,"['the', 'in', 'to', 'game', 'and', 'of', 'lightning', 'for', 'with', 'as']"
11,10,39,10_to_the_and_you,"['to', 'the', 'and', 'you', 'fight', 'in', 'of', 'that', 'is', 'for']"
12,11,26,11_the_in_he_to,"['the', 'in', 'he', 'to', 'tennis', 'of', 'and', 'his', 'was', 'for']"
13,12,25,12_the_and_in_to,"['the', 'and', 'in', 'to', 'of', 'for', 'rugby', 'on', 'is', 'be']"
14,13,23,13_football_betting_predictions_tips,"['football', 'betting', 'predictions', 'tips', 'soccer', 'picks', 'week', 'prediction', 'the', 'for']"
15,14,21,14_the_of_in_to,"['the', 'of', 'in', 'to', 'and', 'fifa', 'world', 'is', 'cup', 'you']"
16,15,13,15_the_wwe_to_and,"['the', 'wwe', 'to', 'and', 'of', 'in', 'for', 'he', 'on', 'his']"
17,16,13,16_jerseys_nfl_the_to,"['jerseys', 'nfl', 'the', 'to', 'cheap', 'and', 'of', 'for', 'jersey', 'your']"
18,17,12,17_the_nfl_to_stores,"['the', 'nfl', 'to', 'stores', 'and', 'in', 'that', 'of', 'is', 'anthem']"
