,Topic,Count,Name,Representation
0,-1,1219,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'that', 'for', 'you', 'on']"
1,0,337,0_dating_and_online_for,"['dating', 'and', 'online', 'for', 'the', 'in', 'to', 'of', 'is', 'you']"
2,1,156,1_the_of_in_and,"['the', 'of', 'in', 'and', 'to', 'that', 'is', 'be', 'it', 'for']"
3,2,144,2_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'you', 'for', 'that', 'with']"
4,3,105,3_ks_homeowners_website_to,"['ks', 'homeowners', 'website', 'to', 'and', 'for', 'you', 'have', 'need', 'the']"
5,4,88,4_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'was', 'church', 'as', 'by', 'is']"
6,5,82,5_and_to_the_of,"['and', 'to', 'the', 'of', 'you', 'in', 'is', 'this', 'my', 'for']"
7,6,66,6_loan_to_the_you,"['loan', 'to', 'the', 'you', 'and', 'of', 'in', 'for', 'loans', 'your']"
8,7,63,7_betting_football_the_and,"['betting', 'football', 'the', 'and', 'to', 'of', 'in', 'on', 'you', 'odds']"
9,8,56,8_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'with', 'home', 'we', 'on']"
10,9,54,9_the_of_christians_in,"['the', 'of', 'christians', 'in', 'and', 'to', 'christian', 'that', 'is', 'by']"
11,10,45,10_you_and_to_hack,"['you', 'and', 'to', 'hack', 'vpn', 'the', 'your', 'clash', 'is', 'on']"
12,11,44,11_the_to_of_that,"['the', 'to', 'of', 'that', 'and', 'in', 'is', 'not', 'be', 'for']"
13,12,43,12_insurance_car_you_your,"['insurance', 'car', 'you', 'your', 'to', 'the', 'auto', 'coverage', 'that', 'is']"
14,13,40,13_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'on', 'he', 'that']"
15,14,35,14_to_the_and_that,"['to', 'the', 'and', 'that', 'it', 'is', 'for', 'of', 'with', 'on']"
16,15,30,15_you_your_to_traffic,"['you', 'your', 'to', 'traffic', 'search', 'the', 'google', 'that', 'is', 'on']"
17,16,30,16_letter_cover_resume_write,"['letter', 'cover', 'resume', 'write', 'job', 'for', 'how', 'to', 'teaching', 'the']"
18,17,27,17_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'it', 'on', 'that', 'for', 'is']"
19,18,27,18_the_and_in_is,"['the', 'and', 'in', 'is', 'to', 'of', 'for', 'skin', 'with', 'you']"
20,19,26,19_forex_trading_binary_to,"['forex', 'trading', 'binary', 'to', 'the', 'fx4u', 'is', 'options', 'and', 'in']"
21,20,26,20_your_you_and_to,"['your', 'you', 'and', 'to', 'that', 'the', 'of', 'is', 'it', 'in']"
22,21,22,21_to_my_ost_the,"['to', 'my', 'ost', 'the', 'you', 'of', 'and', 'in', 'is', 'me']"
23,22,21,22_rewriter_spin_article_you,"['rewriter', 'spin', 'article', 'you', 'content', 'tool', 'to', 'your', 'spinner', 'it']"
24,23,20,23_and_the_to_her,"['and', 'the', 'to', 'her', 'of', 'in', 'she', 'for', 'women', 'as']"
25,24,17,24_the_to_of_and,"['the', 'to', 'of', 'and', 'was', 'that', 'in', 'had', 'he', 'is']"
26,25,17,25_to_the_of_and,"['to', 'the', 'of', 'and', 'social', 'that', 'your', 'is', 'you', 'in']"
27,26,16,26_the_to_of_be,"['the', 'to', 'of', 'be', 'cr2', 'that', 'is', 'at', 'and', 'crossrail']"
28,27,15,27_quotes_the_to_hope,"['quotes', 'the', 'to', 'hope', 'was', 'and', 'of', 'in', 'love', 'is']"
29,28,15,28_revival_the_of_and,"['revival', 'the', 'of', 'and', 'in', 'to', 'reading', 'goods', 'smoke', 'or']"
30,29,13,29_spam_your_yahoo_firewall,"['spam', 'your', 'yahoo', 'firewall', 'can', 'blog', 'email', 'to', 'emails', 'it']"
31,30,13,30_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'is', 'for', 'steam', 'you', 'elephants']"
32,31,13,31_bollywood_quantum_movies_india,"['bollywood', 'quantum', 'movies', 'india', 'entanglement', 'hindi', 'top', 'of', 'funeral', 'the']"
33,32,12,32_students_teacher_amps_and,"['students', 'teacher', 'amps', 'and', 'the', 'to', 'charter', 'allege', 'in', 'of']"
34,33,12,33_airline_tickets_flights_stockholm,"['airline', 'tickets', 'flights', 'stockholm', 'to', 'flight', 'ticket', 'the', 'and', 'cheap']"
35,34,12,34_bitcoin_gold_is_the,"['bitcoin', 'gold', 'is', 'the', 'of', 'to', 'week', 'in', 'gives', 'you']"
36,35,11,35_poker_she_to_her,"['poker', 'she', 'to', 'her', 'and', 'that', 'you', 'bf', 'for', 'the']"
37,36,10,36_the_and_of_travel,"['the', 'and', 'of', 'travel', 'to', 'you', 'our', 'in', 'your', 'disney']"
