,Topic,Count,Name,Representation
0,-1,975,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'that', 'for', 'you', 'it']"
1,0,254,0_skin_and_the_it,"['skin', 'and', 'the', 'it', 'to', 'of', 'is', 'for', 'your', 'you']"
2,1,68,1_pregnancy_and_the_to,"['pregnancy', 'and', 'the', 'to', 'you', 'your', 'of', 'in', 'baby', 'birth']"
3,2,61,2_sleep_you_apnea_your,"['sleep', 'you', 'apnea', 'your', 'to', 'and', 'the', 'can', 'of', 'is']"
4,3,55,3_and_the_to_of,"['and', 'the', 'to', 'of', 'in', 'my', 'is', 'for', 'that', 'with']"
5,4,54,4_was_and_the_to,"['was', 'and', 'the', 'to', 'my', 'of', 'at', 'in', 'with', 'very']"
6,5,49,5_back_your_pain_you,"['back', 'your', 'pain', 'you', 'to', 'the', 'and', 'can', 'of', 'in']"
7,6,49,6_the_of_to_in,"['the', 'of', 'to', 'in', 'and', 'that', 'drug', 'is', 'for', 'addiction']"
8,7,48,7_the_is_testosterone_of,"['the', 'is', 'testosterone', 'of', 'to', 'that', 'and', 'in', 'penis', 'it']"
9,8,47,8_you_the_your_to,"['you', 'the', 'your', 'to', 'as', 'and', 'of', 'asthma', 'can', 'with']"
10,9,41,9_depression_in_of_the,"['depression', 'in', 'of', 'the', 'to', 'and', 'is', 'that', 'are', 'be']"
11,10,40,10_buy_cost_viagra_online,"['buy', 'cost', 'viagra', 'online', 'violence', 'counter', 'and', 'of', 'the', 'to']"
12,11,38,11_her_to_and_she,"['her', 'to', 'and', 'she', 'the', 'that', 'of', 'child', 'it', 'in']"
13,12,35,12_hair_scalp_loss_your,"['hair', 'scalp', 'loss', 'your', 'thinning', 'to', 'you', 'of', 'oil', 'is']"
14,13,35,13_the_of_to_in,"['the', 'of', 'to', 'in', 'that', 'and', 'is', 'on', 'for', 'it']"
15,14,34,14_weight_diet_loss_to,"['weight', 'diet', 'loss', 'to', 'the', 'and', 'fat', 'you', 'of', 'is']"
16,15,34,15_stress_you_your_to,"['stress', 'you', 'your', 'to', 'the', 'and', 'of', 'is', 'can', 'it']"
17,16,34,16_000000_patient_since_mdt,"['000000', 'patient', 'since', 'mdt', 'dental', 'staff', 'dr', 'my', 'was', 'very']"
18,17,33,17_and_the_to_of,"['and', 'the', 'to', 'of', 'weight', 'in', 'my', 'is', 'that', 'eating']"
