,Topic,Count,Name,Representation
0,-1,10219,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'is', 'it', 'for', 'you']"
1,0,590,0_trump_the_president_of,"['trump', 'the', 'president', 'of', 'he', 'was', 'his', 'that', 'in', 'to']"
2,1,358,1_hotel_travel_you_your,"['hotel', 'travel', 'you', 'your', 'and', 'trip', 'for', 'with', 'room', 'to']"
3,2,343,2_church_our_in_the,"['church', 'our', 'in', 'the', 'switch', 'of', 'ministry', 'and', 'we', 'message']"
4,3,197,3_students_school_learning_teachers,"['students', 'school', 'learning', 'teachers', 'education', 'schools', 'teacher', 'classroom', 'to', 'and']"
5,4,193,4_money_financial_retirement_your,"['money', 'financial', 'retirement', 'your', 'you', 'savings', 'to', 'can', 'for', 'save']"
6,5,166,5_blog_content_your_you,"['blog', 'content', 'your', 'you', 'blogging', 'blogs', 'site', 'readers', 'to', 'post']"
7,6,160,6_website_widder_your_site,"['website', 'widder', 'your', 'site', 'web', 'marketing', 'dr', 'you', 'business', 'design']"
8,7,159,7_essay_writing_essays_paper,"['essay', 'writing', 'essays', 'paper', 'you', 'your', 'writers', 'papers', 'composing', 'to']"
9,8,147,8_players_team_game_he,"['players', 'team', 'game', 'he', 'his', 'player', 'the', 'but', 'season', 'on']"
10,9,144,9_property_estate_home_real,"['property', 'estate', 'home', 'real', 'agent', 'you', 'your', 'house', 'buyers', 'buyer']"
11,10,140,10_film_movie_films_movies,"['film', 'movie', 'films', 'movies', 'the', 'of', 'in', 'it', 'was', 'and']"
12,11,137,11_climate_energy_change_the,"['climate', 'energy', 'change', 'the', 'of', 'global', 'warming', 'environmental', 'water', 'in']"
13,12,127,12_government_the_of_sudan,"['government', 'the', 'of', 'sudan', 'in', 'by', 'and', 'country', 'to', 'was']"
14,13,122,13_gay_homosexuality_marriage_lgbt,"['gay', 'homosexuality', 'marriage', 'lgbt', 'lesbian', 'that', 'is', 'people', 'homosexual', 'not']"
15,14,121,14_social_media_facebook_your,"['social', 'media', 'facebook', 'your', 'twitter', 'content', 'marketing', 'you', 'posts', 'business']"
16,15,119,15_fashion_dress_wear_you,"['fashion', 'dress', 'wear', 'you', 'your', 'and', 'her', 'for', 'to', 'are']"
17,16,114,16_art_artists_artist_arts,"['art', 'artists', 'artist', 'arts', 'of', 'the', 'and', 'in', 'as', 'is']"
18,17,113,17_you_your_time_goals,"['you', 'your', 'time', 'goals', 'work', 'do', 'to', 'my', 'get', 'can']"
19,18,113,18_leadership_team_leader_leaders,"['leadership', 'team', 'leader', 'leaders', 'your', 'you', 'business', 'to', 'and', 'can']"
20,19,108,19_he_israel_shall_his,"['he', 'israel', 'shall', 'his', 'god', 'king', 'of', 'the', 'was', 'him']"
21,20,107,20_lawyer_attorney_lawyers_legal,"['lawyer', 'attorney', 'lawyers', 'legal', 'law', 'you', 'case', 'attorneys', 'criminal', 'your']"
22,21,106,21_women_men_gender_male,"['women', 'men', 'gender', 'male', 'and', 'female', 'to', 'that', 'are', 'in']"
