,Topic,Count,Name,Representation
0,-1,713,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'you', 'it', 'is', 'was']"
1,0,450,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'it', 'is', 'for', 'we']"
2,1,150,1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'that', 'it', 'for', 'was']"
3,2,128,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'that', 'art', 'it', 'for']"
4,3,127,3_the_to_and_in,"['the', 'to', 'and', 'in', 'that', 'you', 'of', 'it', 'was', 'for']"
5,4,92,4_the_and_to_of,"['the', 'and', 'to', 'of', 'was', 'it', 'in', 'that', 'you', 'film']"
6,5,72,5_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'with', 'that', 'are']"
7,6,55,6_the_game_to_of,"['the', 'game', 'to', 'of', 'and', 'that', 'in', 'games', 'you', 'is']"
8,7,40,7_you_is_the_to,"['you', 'is', 'the', 'to', 'of', 'and', 'that', 'it', 'in', 'this']"
9,8,39,8_the_in_to_and,"['the', 'in', 'to', 'and', 'of', 'is', 'was', 'for', 'my', 'with']"
10,9,34,9_and_to_the_of,"['and', 'to', 'the', 'of', 'that', 'in', 'my', 'is', 'with', 'was']"
11,10,27,10_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'poems', 'my', 'poetry', 'that', 'poem']"
12,11,21,11_and_to_the_that,"['and', 'to', 'the', 'that', 'of', 'in', 'you', 'we', 'so', 'for']"
13,12,21,12_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'that', 'you', 'uh', 'or', 'is']"
14,13,19,13_the_you_that_and,"['the', 'you', 'that', 'and', 'to', 'in', 'was', 'of', 'he', 'it']"
15,14,17,14_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'that', 'you', 'it', 'on']"
16,15,16,15_divorce_to_you_and,"['divorce', 'to', 'you', 'and', 'the', 'your', 'in', 'of', 'for', 'is']"
17,16,15,16_the_and_her_to,"['the', 'and', 'her', 'to', 'of', 'in', 'she', 'with', 'that', 'for']"
18,17,13,17_dance_the_and_to,"['dance', 'the', 'and', 'to', 'of', 'movement', 'in', 'with', 'at', 'it']"
19,18,11,18_the_and_to_in,"['the', 'and', 'to', 'in', 'of', 'that', 'theater', 'was', 'for', 'it']"
