,Topic,Count,Name,Representation
0,-1,147,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'is', 'you', 'it', 'for']"
1,0,81,0_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'that', 'you', 'is', 'for', 'it']"
2,1,39,1_fashion_magazine_the_to,"['fashion', 'magazine', 'the', 'to', 'and', 'of', 'that', 'in', 'is', 'for']"
3,2,28,2_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'my', 'it', 'for', 'that']"
4,3,26,3_the_and_of_to,"['the', 'and', 'of', 'to', 'is', 'in', 'that', 'with', 'you', 'as']"
5,4,24,4_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'design', 'that', 'with', 'for']"
6,5,17,5_the_to_and_of,"['the', 'to', 'and', 'of', 'is', 'in', 'that', 'you', 'it', 'be']"
7,6,17,6_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'is', 'you', 'in', 'clipart', 'for']"
8,7,14,7_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'is', 'you', 'it', 'we']"
9,8,14,8_the_to_that_you,"['the', 'to', 'that', 'you', 'and', 'of', 'it', 'is', 'in', 'so']"
10,9,11,9_the_and_to_coffee,"['the', 'and', 'to', 'coffee', 'of', 'in', 'been', 'is', 'for', 'that']"
