,Topic,Count,Name,Representation
0,-1,577,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'is', 'you', 'for', 'it']"
1,0,165,0_and_to_you_the,"['and', 'to', 'you', 'the', 'of', 'that', 'in', 'is', 'it', 'for']"
2,1,92,1_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'that', 'is', 'it', 'we', 'this']"
3,2,60,2_the_of_to_that,"['the', 'of', 'to', 'that', 'in', 'is', 'be', 'and', 'for', 'it']"
4,3,57,3_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'we', 'that', 'are', 'for']"
5,4,54,4_and_to_the_of,"['and', 'to', 'the', 'of', 'in', 'you', 'is', 'that', 'for', 'my']"
6,5,45,5_the_and_to_in,"['the', 'and', 'to', 'in', 'of', 'league', 'is', 'was', 'for', 'with']"
7,6,34,6_the_to_and_that,"['the', 'to', 'and', 'that', 'you', 'he', 'of', 'in', 'was', 'it']"
8,7,33,7_and_to_the_of,"['and', 'to', 'the', 'of', 'in', 'you', 'that', 'for', 'school', 'is']"
9,8,24,8_and_the_to_we,"['and', 'the', 'to', 'we', 'of', 'in', 'that', 'is', 'our', 'for']"
10,9,24,9_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'for', 'china', 'is', 'that', 'on']"
11,10,22,10_the_of_that_to,"['the', 'of', 'that', 'to', 'you', 'and', 'in', 'or', 'is', 'not']"
12,11,21,11_and_the_to_of,"['and', 'the', 'to', 'of', 'in', 'for', 'that', 'is', 'we', 'president']"
13,12,20,12_film_the_and_in,"['film', 'the', 'and', 'in', 'of', 'to', 'was', 'is', 'it', 'that']"
14,13,19,13_church_the_and_of,"['church', 'the', 'and', 'of', 'in', 'to', 'was', 'that', 'is', 'it']"
15,14,19,14_the_to_of_and,"['the', 'to', 'of', 'and', 'that', 'in', 'ontario', 'is', 'this', 'government']"
16,15,18,15_the_to_and_of,"['the', 'to', 'and', 'of', 'in', 'is', 'that', 'for', 'you', 'it']"
17,16,16,16_the_that_to_and,"['the', 'that', 'to', 'and', 'of', 'is', 'you', 'this', 'in', 'it']"
18,17,16,17_and_to_the_of,"['and', 'to', 'the', 'of', 'that', 'in', 'drug', 'is', 'are', 'for']"
19,18,15,18_the_and_of_is,"['the', 'and', 'of', 'is', 'to', 'in', 'we', 'are', 'that', 'government']"
20,19,14,19_the_he_and_to,"['the', 'he', 'and', 'to', 'that', 'was', 'in', 'of', 'you', 'this']"
21,20,13,20_and_to_the_you,"['and', 'to', 'the', 'you', 'of', 'that', 'in', 'have', 'it', 'is']"
22,21,12,21_the_to_and_is,"['the', 'to', 'and', 'is', 'of', 'that', 'you', 'security', 'it', 'this']"
