,Topic,Count,Name,Representation
0,-1,159,-1_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'you', 'is', 'your', 'that', 'for']"
1,0,107,0_skin_the_and_to,"['skin', 'the', 'and', 'to', 'of', 'your', 'in', 'you', 'is', 'for']"
2,1,60,1_the_to_your_and,"['the', 'to', 'your', 'and', 'of', 'you', 'in', 'is', 'that', 'back']"
3,2,49,2_the_to_and_you,"['the', 'to', 'and', 'you', 'of', 'that', 'is', 'in', 'for', 'be']"
4,3,47,3_sleep_you_to_your,"['sleep', 'you', 'to', 'your', 'the', 'and', 'apnea', 'of', 'is', 'in']"
5,4,46,4_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'that', 'you', 'it', 'for']"
6,5,38,5_teeth_dentist_to_you,"['teeth', 'dentist', 'to', 'you', 'dental', 'the', 'your', 'and', 'that', 'is']"
7,6,35,6_buy_cost_of_to,"['buy', 'cost', 'of', 'to', 'the', 'viagra', 'online', 'and', 'in', 'counter']"
8,7,27,7_to_the_and_child,"['to', 'the', 'and', 'child', 'of', 'in', 'is', 'for', 'you', 'that']"
9,8,24,8_stress_you_to_the,"['stress', 'you', 'to', 'the', 'and', 'your', 'of', 'is', 'it', 'for']"
10,9,23,9_teeth_child_the_dental,"['teeth', 'child', 'the', 'dental', 'to', 'your', 'and', 'of', 'is', 'for']"
11,10,20,10_you_smoking_to_the,"['you', 'smoking', 'to', 'the', 'and', 'your', 'in', 'of', 'asthma', 'that']"
12,11,18,11_to_and_loved_care,"['to', 'and', 'loved', 'care', 'the', 'you', 'of', 'for', 'that', 'is']"
13,12,17,12_the_and_of_in,"['the', 'and', 'of', 'in', 'to', 'that', 'is', 'it', 'you', 'are']"
14,13,16,13_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'that', 'it', 'you', 'with']"
15,14,15,14_the_to_and_you,"['the', 'to', 'and', 'you', 'of', 'flu', 'your', 'is', 'poetry', 'are']"
16,15,14,15_depression_to_you_and,"['depression', 'to', 'you', 'and', 'the', 'is', 'of', 'in', 'are', 'that']"
17,16,13,16_diabetes_your_to_and,"['diabetes', 'your', 'to', 'and', 'of', 'can', 'blood', 'you', 'sugar', 'the']"
18,17,13,17_surgery_you_cosmetic_surgeon,"['surgery', 'you', 'cosmetic', 'surgeon', 'to', 'the', 'that', 'procedure', 'are', 'of']"
19,18,12,18_hair_your_to_scalp,"['hair', 'your', 'to', 'scalp', 'loss', 'thinning', 'of', 'and', 'you', 'is']"
20,19,10,19_cancer_the_to_you,"['cancer', 'the', 'to', 'you', 'and', 'that', 'of', 'be', 'with', 'is']"
