,Topic,Count,Name,Representation
0,-1,897,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'you', 'in', 'that', 'is', 'your', 'for']"
1,0,161,0_weight_you_to_and,"['weight', 'you', 'to', 'and', 'the', 'of', 'that', 'your', 'is', 'in']"
2,1,153,1_dog_pet_dogs_to,"['dog', 'pet', 'dogs', 'to', 'the', 'your', 'and', 'is', 'of', 'you']"
3,2,145,2_and_to_the_you,"['and', 'to', 'the', 'you', 'of', 'in', 'it', 'is', 'we', 'your']"
4,3,111,3_the_and_you_to,"['the', 'and', 'you', 'to', 'of', 'for', 'in', 'is', 'that', 'are']"
5,4,106,4_hair_facebook_the_and,"['hair', 'facebook', 'the', 'and', 'to', 'your', 'of', 'in', 'for', 'you']"
6,5,102,5_room_the_to_you,"['room', 'the', 'to', 'you', 'and', 'of', 'your', 'home', 'in', 'space']"
7,6,100,6_to_you_the_your,"['to', 'you', 'the', 'your', 'fitness', 'and', 'of', 'exercise', 'workout', 'in']"
8,7,99,7_skin_makeup_your_and,"['skin', 'makeup', 'your', 'and', 'to', 'the', 'you', 'of', 'is', 'for']"
9,8,84,8_home_the_house_of,"['home', 'the', 'house', 'of', 'to', 'in', 'buyers', 'and', 'estate', 'your']"
10,9,82,9_the_to_of_and,"['the', 'to', 'of', 'and', 'that', 'in', 'is', 'your', 'for', 'business']"
11,10,76,10_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'you', 'that', 'for', 'sleep']"
12,11,65,11_furniture_the_you_to,"['furniture', 'the', 'you', 'to', 'of', 'and', 'for', 'room', 'be', 'is']"
13,12,60,12_wedding_the_to_you,"['wedding', 'the', 'to', 'you', 'and', 'of', 'your', 'for', 'flowers', 'are']"
14,13,51,13_jewelry_ring_you_the,"['jewelry', 'ring', 'you', 'the', 'diamond', 'to', 'of', 'is', 'your', 'are']"
15,14,51,14_mrs_and_the_of,"['mrs', 'and', 'the', 'of', 'to', 'mr', 'with', 'at', 'kindschi', 'new']"
16,15,47,15_the_you_of_to,"['the', 'you', 'of', 'to', 'in', 'and', 'that', 'your', 'for', 'photography']"
17,16,45,16_muscle_your_protein_body,"['muscle', 'your', 'protein', 'body', 'you', 'muscles', 'to', 'exercises', 'and', 'the']"
18,17,43,17_running_run_race_and,"['running', 'run', 'race', 'and', 'web', 'training', 'marathon', 'to', 'the', 'your']"
19,18,35,18_and_the_in_to,"['and', 'the', 'in', 'to', 'of', 'winter', 'summer', 'you', 'is', 'or']"
20,19,34,19_golf_the_you_to,"['golf', 'the', 'you', 'to', 'game', 'ball', 'in', 'your', 'and', 'is']"
21,20,34,20_the_you_of_camping,"['the', 'you', 'of', 'camping', 'to', 'and', 'in', 'are', 'is', 'your']"
22,21,33,21_sex_cloud_and_the,"['sex', 'cloud', 'and', 'the', 'to', 'of', 'it', 'is', 'with', 'you']"
23,22,33,22_moving_move_you_to,"['moving', 'move', 'you', 'to', 'your', 'the', 'and', 'boxes', 'on', 'new']"
24,23,31,23_contractor_the_remodeling_you,"['contractor', 'the', 'remodeling', 'you', 'to', 'dating', 'of', 'and', 'home', 'is']"
25,24,30,24_bathroom_butner_in_you,"['bathroom', 'butner', 'in', 'you', 'and', 'the', 'to', 'of', 'your', 'is']"
26,25,29,25_cleaning_to_the_and,"['cleaning', 'to', 'the', 'and', 'of', 'your', 'it', 'in', 'you', 'is']"
27,26,28,26_strings_the_casino_to,"['strings', 'the', 'casino', 'to', 'for', 'you', 'and', 'of', 'solidtrustpay', 'gut']"
28,27,27,27_insurance_coverage_car_you,"['insurance', 'coverage', 'car', 'you', 'auto', 'premiums', 'policy', 'that', 'can', 'companies']"
29,28,27,28_the_you_to_of,"['the', 'you', 'to', 'of', 'and', 'in', 'for', 'save', 'money', 'your']"
30,29,25,29_catering_caterer_service_event,"['catering', 'caterer', 'service', 'event', 'you', 'food', 'elk', 'to', 'grove', 'services']"
31,30,24,30_baby_diapers_clothes_and,"['baby', 'diapers', 'clothes', 'and', 'you', 'for', 'are', 'to', 'the', 'can']"
32,31,23,31_kitchen_the_to_of,"['kitchen', 'the', 'to', 'of', 'remodel', 'your', 'and', 'remodeling', 'you', 'cabinet']"
33,32,21,32_child_to_and_children,"['child', 'to', 'and', 'children', 'kids', 'the', 'they', 'is', 'in', 'of']"
34,33,20,33_you_to_the_it,"['you', 'to', 'the', 'it', 'homework', 'what', 'my', 'your', 'of', 'and']"
35,34,19,34_dating_bulimia_lugansk_online,"['dating', 'bulimia', 'lugansk', 'online', 'sites', 'free', 'singles', 'agency', 'site', 'and']"
36,35,18,35_dental_the_to_and,"['dental', 'the', 'to', 'and', 'thyroxine', 'that', 'you', 'dentist', 'of', 'your']"
37,36,18,36_to_your_you_blog,"['to', 'your', 'you', 'blog', 'and', 'the', 'windshield', 'are', 'in', 'read']"
38,37,17,37_pregnancy_baby_to_pinterest,"['pregnancy', 'baby', 'to', 'pinterest', 'and', 'your', 'you', 'my', 'that', 'is']"
39,38,15,38_wine_his_or_dating,"['wine', 'his', 'or', 'dating', 'and', 'of', 'the', 'drinking', 'shoulder', 'your']"
40,39,15,39_smoking_quit_smoke_quitting,"['smoking', 'quit', 'smoke', 'quitting', 'habit', 'you', 'cigarette', 'cigarettes', 'to', 'your']"
41,40,15,40_garden_essay_plants_communication,"['garden', 'essay', 'plants', 'communication', 'the', 'of', 'effective', 'that', 'to', 'in']"
42,41,14,41_baby_to_and_the,"['baby', 'to', 'and', 'the', 'they', 'it', 'she', 'of', 'her', 'child']"
43,42,14,42_body_boobs_and_about,"['body', 'boobs', 'and', 'about', 'love', 'rutherford', 'to', 'of', 'you', 'that']"
44,43,13,43_care_living_the_as,"['care', 'living', 'the', 'as', 'assisted', 'senior', 'their', 'of', 'to', 'is']"
45,44,13,44_morbihan_the_food_of,"['morbihan', 'the', 'food', 'of', 'to', 'eat', 'and', 'for', 'my', 'with']"
46,45,12,45_you_to_the_speech,"['you', 'to', 'the', 'speech', 'your', 'singers', 'music', 'on', 'that', 'and']"
47,46,12,46_french_age_and_to,"['french', 'age', 'and', 'to', 'my', 'in', 'is', 'the', 'fitness', 'that']"
48,47,12,47_locksmith_you_keys_your,"['locksmith', 'you', 'keys', 'your', 'home', 'the', 'of', 'can', 'to', 'and']"
49,48,11,48_consulting_interior_design_decoration,"['consulting', 'interior', 'design', 'decoration', 'your', 'business', 'to', 'organisation', 'you', 'service']"
50,49,11,49_tender_the_flatcar_to,"['tender', 'the', 'flatcar', 'to', 'kids', 'room', 'flyer', 'and', 'signal', 'their']"
51,50,11,50_the_of_to_and,"['the', 'of', 'to', 'and', 'we', 'in', 'this', 'braunability', 'is', 'wheelchair']"
52,51,11,51_fat_belly_abs_and,"['fat', 'belly', 'abs', 'and', 'to', 'you', 'the', 'your', 'of', 'that']"
53,52,11,52_you_and_traveling_of,"['you', 'and', 'traveling', 'of', 'can', 'foods', 'for', 'in', 'to', 'food']"
54,53,10,53_piano_guitar_lessons_teacher,"['piano', 'guitar', 'lessons', 'teacher', 'guitars', 'child', 'you', 'the', 'and', 'to']"
