,Topic,Count,Name,Representation
0,-1,2500,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'you', 'in', 'is', 'that', 'your', 'for']"
1,0,300,0_dating_her_women_you,"['dating', 'her', 'women', 'you', 'online', 'to', 'she', 'the', 'date', 'and']"
2,1,140,1_wedding_your_you_the,"['wedding', 'your', 'you', 'the', 'guests', 'to', 'of', 'for', 'will', 'and']"
3,2,131,2_business_the_to_you,"['business', 'the', 'to', 'you', 'and', 'your', 'of', 'is', 'startup', 'in']"
4,3,115,3_time_to_and_of,"['time', 'to', 'and', 'of', 'that', 'the', 'we', 'it', 'you', 'in']"
5,4,103,4_social_media_your_content,"['social', 'media', 'your', 'content', 'marketing', 'twitter', 'to', 'on', 'you', 'and']"
6,5,102,5_child_children_parents_kids,"['child', 'children', 'parents', 'kids', 'they', 'their', 'them', 'my', 'and', 'to']"
7,6,100,6_credit_debt_card_pay,"['credit', 'debt', 'card', 'pay', 'interest', 'the', 'debts', 'you', 'loan', 'financial']"
8,7,82,7_marketing_your_site_to,"['marketing', 'your', 'site', 'to', 'website', 'internet', 'you', 'the', 'business', 'is']"
9,8,81,8_blog_your_content_readers,"['blog', 'your', 'content', 'readers', 'blogging', 'you', 'to', 'blogs', 'posts', 'will']"
10,9,75,9_essay_writing_paper_dissertation,"['essay', 'writing', 'paper', 'dissertation', 'essays', 'you', 'to', 'the', 'of', 'be']"
11,10,71,10_fashion_dress_clothing_wear,"['fashion', 'dress', 'clothing', 'wear', 'the', 'and', 'you', 'are', 'for', 'look']"
12,11,67,11_customer_customers_service_business,"['customer', 'customers', 'service', 'business', 'your', 'to', 'the', 'and', 'of', 'sales']"
13,12,64,12_brand_your_to_as,"['brand', 'your', 'to', 'as', 'you', 'that', 'and', 'the', 'of', 'is']"
14,13,63,13_we_our_and_of,"['we', 'our', 'and', 'of', 'the', 'energy', 'is', 'to', 'in', 'that']"
15,14,61,14_school_child_children_students,"['school', 'child', 'children', 'students', 'and', 'the', 'childs', 'in', 'to', 'for']"
16,15,61,15_leadership_leader_leaders_to,"['leadership', 'leader', 'leaders', 'to', 'the', 'and', 'is', 'of', 'in', 'you']"
17,16,61,16_outsourcing_business_the_to,"['outsourcing', 'business', 'the', 'to', 'that', 'and', 'in', 'of', 'it', 'you']"
18,17,58,17_sex_partner_sexual_and,"['sex', 'partner', 'sexual', 'and', 'the', 'to', 'it', 'is', 'your', 'have']"
19,18,57,18_resume_job_spm_the,"['resume', 'job', 'spm', 'the', 'yantra', 'letter', 'your', 'resumes', 'cv', 'of']"
20,19,57,19_goals_goal_year_we,"['goals', 'goal', 'year', 'we', 'you', 'and', 'to', 'the', 'of', 'your']"
21,20,56,20_life_you_and_is,"['life', 'you', 'and', 'is', 'born', 'to', 'what', 'we', 'your', 'that']"
22,21,54,21_family_christmas_kids_holiday,"['family', 'christmas', 'kids', 'holiday', 'holidays', 'the', 'and', 'for', 'to', 'time']"
23,22,52,22_bench_storage_modern_mudroom,"['bench', 'storage', 'modern', 'mudroom', 'benches', 'metal', 'dining', 'hotel', 'entryway', 'shoe']"
