,Topic,Count,Name,Representation
0,-1,407,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'are', 'with', 'you']"
1,0,222,0_with_and_served_of,"['with', 'and', 'served', 'of', 'sauce', 'to', 'the', 'cheese', 'chicken', 'in']"
2,1,69,1_and_the_for_nonstick,"['and', 'the', 'for', 'nonstick', 'with', 'to', 'pan', 'is', 'you', 'of']"
3,2,60,2_protein_of_the_is,"['protein', 'of', 'the', 'is', 'and', 'it', 'in', 'to', 'extract', 'as']"
4,3,57,3_coffee_the_of_to,"['coffee', 'the', 'of', 'to', 'and', 'in', 'is', 'it', 'for', 'that']"
5,4,57,4_the_and_for_to,"['the', 'and', 'for', 'to', 'with', 'of', 'in', 'is', 'blade', 'cutting']"
6,5,55,5_to_you_and_the,"['to', 'you', 'and', 'the', 'of', 'recipes', 'for', 'in', 'your', 'that']"
7,6,50,6_chocolate_the_of_and,"['chocolate', 'the', 'of', 'and', 'to', 'in', 'ice', 'cream', 'is', 'with']"
8,7,45,7_bowl_for_and_bowls,"['bowl', 'for', 'and', 'bowls', 'mixing', 'containers', 'the', 'to', 'mixer', 'of']"
9,8,42,8_tea_the_of_and,"['tea', 'the', 'of', 'and', 'is', 'to', 'in', 'for', 'that', 'this']"
10,9,40,9_the_oven_to_and,"['the', 'oven', 'to', 'and', 'cooking', 'it', 'is', 'you', 'of', 'this']"
11,10,34,10_wine_and_the_of,"['wine', 'and', 'the', 'of', 'to', 'is', 'with', 'for', 'in', 'cabernet']"
12,11,30,11_grill_the_and_to,"['grill', 'the', 'and', 'to', 'of', 'for', 'cooking', 'you', 'is', 'charcoal']"
13,12,27,12_of_and_the_our,"['of', 'and', 'the', 'our', 'is', 'in', 'we', 'products', 'are', 'to']"
14,13,23,13_cake_the_and_cakes,"['cake', 'the', 'and', 'cakes', 'in', 'of', 'is', 'to', 'for', 'with']"
15,14,20,14_oil_is_and_it,"['oil', 'is', 'and', 'it', 'to', 'the', 'skin', 'as', 'oils', 'for']"
16,15,20,15_blender_the_and_to,"['blender', 'the', 'and', 'to', 'for', 'rugs', 'your', 'with', 'you', 'of']"
17,16,18,16_candy_sugar_free_cinnamon,"['candy', 'sugar', 'free', 'cinnamon', 'favorite', 'flavors', 'from', 'caramel', 'sweet', 'these']"
18,17,18,17_oil_olive_the_virgin,"['oil', 'olive', 'the', 'virgin', 'of', 'and', 'extra', 'olives', 'in', 'to']"
19,18,16,18_income_child_the_ftb,"['income', 'child', 'the', 'ftb', 'subsection', 'of', 'to', 'act', 'rate', 'under']"
20,19,16,19_fruit_preserves_favorite_productsadd,"['fruit', 'preserves', 'favorite', 'productsadd', 'remove', 'with', 'from', 'the', 'bench', 'pineapple']"
21,20,12,20_pasta_the_and_in,"['pasta', 'the', 'and', 'in', 'gluten', 'to', 'free', 'of', 'is', 'wheat']"
22,21,12,21_and_products_are_gluten,"['and', 'products', 'are', 'gluten', 'our', 'the', 'with', 'for', 'you', 'of']"
23,22,11,22_these_are_and_with,"['these', 'are', 'and', 'with', 'the', 'gelato', 'it', 'my', 'made', 'delicious']"
24,23,11,23_grinder_mill_pepper_grinding,"['grinder', 'mill', 'pepper', 'grinding', 'salt', 'mills', 'spice', 'spices', 'fine', 'and']"
