,Topic,Count,Name,Representation
0,-1,8242,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'is', 'for', 'in', 'with', 'you', 'on']"
1,0,631,0_light_led_lamp_lighting,"['light', 'led', 'lamp', 'lighting', 'lights', 'lamps', 'bulb', 'bulbs', 'outdoor', 'floor']"
2,1,438,1_sound_audio_speaker_midi,"['sound', 'audio', 'speaker', 'midi', 'music', 'amplifier', 'speakers', 'bass', 'the', 'microphone']"
3,2,429,2_would_software_data_cloud,"['would', 'software', 'data', 'cloud', 'management', 'business', 'match', 'seconds', 'and', 'to']"
4,3,306,3_florida_voter_temperature_measurement,"['florida', 'voter', 'temperature', 'measurement', 'the', 'sensor', 'is', 'of', 'measuring', 'meter']"
5,4,252,4_boat_yacht_boats_yachts,"['boat', 'yacht', 'boats', 'yachts', 'grains', 'the', 'ad', 'in', 'of', 'and']"
6,5,201,5_our_we_packaging_products,"['our', 'we', 'packaging', 'products', 'market', 'company', 'of', 'quality', 'in', 'supply']"
7,6,198,6_insurance_furniture_car_office,"['insurance', 'furniture', 'car', 'office', 'auto', 'cabinet', 'policy', 'coverage', 'storage', 'modern']"
8,7,179,7_coating_paint_cellulose_sodium,"['coating', 'paint', 'cellulose', 'sodium', 'surface', 'sealant', 'haicel', 'cmc', 'product', 'film']"
9,8,157,8_camera_video_cameras_cctv,"['camera', 'video', 'cameras', 'cctv', 'hd', 'recording', 'security', 'surveillance', 'ip', 'digital']"
10,9,149,9_windows_doors_window_door,"['windows', 'doors', 'window', 'door', 'glazing', 'upvc', 'sash', 'double', 'glass', 'home']"
11,10,146,10_bearing_bearings_skf_nsk,"['bearing', 'bearings', 'skf', 'nsk', 'industrial', 'fag', 'ntn', 'roller', 'ball', 'coltd']"
12,11,132,11_locksmith_locks_lock_locksmiths,"['locksmith', 'locks', 'lock', 'locksmiths', 'security', 'key', 'keys', 'services', 'emergency', 'we']"
13,12,125,12_bike_motorcycle_bikes_yamaha,"['bike', 'motorcycle', 'bikes', 'yamaha', 'harleydavidson', 'motorcycles', 'shall', 'chapter', 'directors', 'ktm']"
14,13,116,13_pump_pumps_dating_dumpster,"['pump', 'pumps', 'dating', 'dumpster', 'hydraulic', 'water', 'series', 'pressure', 'vane', 'piston']"
15,14,115,14_auto_repair_car_service,"['auto', 'repair', 'car', 'service', 'vehicle', 'automotive', 'repairs', 'services', 'maintenance', 'we']"
16,15,113,15_roofing_roof_siding_furry,"['roofing', 'roof', 'siding', 'furry', 'roofs', 'fandom', 'commercial', 'that', 'arsenal', 'your']"
17,16,106,16_plumbing_fashion_drain_plumbers,"['plumbing', 'fashion', 'drain', 'plumbers', 'successful', 'water', 'plumber', 'emergency', 'heater', 'your']"
18,17,106,17_exam_ibm_questions_certification,"['exam', 'ibm', 'questions', 'certification', 'dumps', 'answers', 'exams', 'pass', 'study', 'cisco']"
19,18,106,18_rifle_barrel_ab_gun,"['rifle', 'barrel', 'ab', 'gun', 'test', 'pistol', 'receiver', 'significance', 'shotgun', 'shooting']"
20,19,105,19_flooring_floors_hardwood_floor,"['flooring', 'floors', 'hardwood', 'floor', 'laminate', 'carpet', 'wood', 'vinyl', 'epoxy', 'tile']"
