,Topic,Count,Name,Representation
0,-1,1225,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'for', 'with', 'that', 'you']"
1,0,335,0_skin_and_it_cream,"['skin', 'and', 'it', 'cream', 'the', 'is', 'oil', 'of', 'to', 'with']"
2,1,170,1_viagra_online_buy_cialis,"['viagra', 'online', 'buy', 'cialis', 'prices', 'erectile', 'dysfunction', 'the', 'to', 'you']"
3,2,121,2_cell_antibody_rna_of,"['cell', 'antibody', 'rna', 'of', 'and', 'the', 'cells', 'protein', 'for', 'in']"
4,3,101,3_massage_to_and_the,"['massage', 'to', 'and', 'the', 'jesus', 'of', 'we', 'that', 'is', 'for']"
5,4,86,4_dental_dentistry_our_we,"['dental', 'dentistry', 'our', 'we', 'and', 'to', 'dentist', 'the', 'you', 'in']"
6,5,79,5_chiropractic_pain_to_and,"['chiropractic', 'pain', 'to', 'and', 'you', 'our', 'your', 'chiropractor', 'dr', 'care']"
7,6,76,6_fertility_to_and_you,"['fertility', 'to', 'and', 'you', 'the', 'pregnancy', 'your', 'of', 'for', 'baby']"
8,7,62,7_weight_fat_loss_diet,"['weight', 'fat', 'loss', 'diet', 'garcinia', 'keto', 'supplement', 'you', 'body', 'cambogia']"
9,8,55,8_course_read_morethis_of,"['course', 'read', 'morethis', 'of', 'and', 'the', 'examines', 'by', 'book', 'cancer']"
10,9,52,9_eye_vision_lenses_lens,"['eye', 'vision', 'lenses', 'lens', 'laser', 'to', 'our', 'the', 'and', 'of']"
11,10,48,10_filler_lines_dermal_skin,"['filler', 'lines', 'dermal', 'skin', 'fillers', 'the', 'wrinkles', 'lip', 'treatment', 'of']"
12,11,47,11_male_enhancement_sexual_vigrx,"['male', 'enhancement', 'sexual', 'vigrx', 'plus', 'that', 'to', 'the', 'you', 'of']"
13,12,46,12_iowa_testosterone_hormone_hgh,"['iowa', 'testosterone', 'hormone', 'hgh', 'of', 'the', 'in', 'and', 'to', 'is']"
14,13,46,13_consulting_you_accreditation_your,"['consulting', 'you', 'accreditation', 'your', 'and', 'to', 'for', 'insurance', 'medical', 'with']"
15,14,43,14_the_of_and_download,"['the', 'of', 'and', 'download', 'in', 'to', 'with', 'you', 'for', 'that']"
16,15,42,15_probiotic_digestive_bacteria_the,"['probiotic', 'digestive', 'bacteria', 'the', 'of', 'probiotics', 'in', 'and', 'to', 'milk']"
17,16,41,16_weight_and_loss_nutrition,"['weight', 'and', 'loss', 'nutrition', 'daisy', 'to', 'you', 'of', 'your', 'health']"
18,17,40,17_to_and_healing_the,"['to', 'and', 'healing', 'the', 'of', 'health', 'in', 'is', 'her', 'our']"
