,Topic,Count,Name,Representation
0,-1,8318,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'for', 'is', 'with', 'you', 'on']"
1,0,523,0_skin_oil_lip_lips,"['skin', 'oil', 'lip', 'lips', 'oils', 'it', 'natural', 'this', 'fragrance', 'and']"
2,1,427,1_room_home_kitchen_floor,"['room', 'home', 'kitchen', 'floor', 'bedroom', 'living', 'bath', 'master', 'bedrooms', 'large']"
3,2,346,2_jewelry_silver_gold_diamond,"['jewelry', 'silver', 'gold', 'diamond', 'ring', 'rings', 'of', 'the', 'diamonds', 'in']"
4,3,298,3_landing_car_cars_page,"['landing', 'car', 'cars', 'page', 'used', 'sell', 'vehicle', 'loss', 'pdf', '2018']"
5,4,292,4_shipping_order_items_orders,"['shipping', 'order', 'items', 'orders', 'item', 'return', 'delivery', 'will', 'days', 'we']"
6,5,246,5_shoes_shoe_nike_boots,"['shoes', 'shoe', 'nike', 'boots', 'boot', 'heel', 'feet', 'socks', 'comfort', 'leather']"
7,6,233,6_null_pgid_pricelists_animaltype,"['null', 'pgid', 'pricelists', 'animaltype', 'categorytype', 'subcategories', 'shortdescription', 'beach', 'url', 'false']"
8,7,215,7_fitness_training_workout_exercise,"['fitness', 'training', 'workout', 'exercise', 'gym', 'body', 'trainer', 'personal', 'workouts', 'strength']"
9,8,195,8_coupon_coupons_codes_code,"['coupon', 'coupons', 'codes', 'code', 'promo', 'checkout', 'discount', 'free', 'supplies', 'off']"
10,9,191,9_furniture_furnishings_internet_chair,"['furniture', 'furnishings', 'internet', 'chair', 'chairs', 'sofa', 'outdoor', 'patio', 'he', 'stool']"
11,10,177,10_acres_property_land_lot,"['acres', 'property', 'land', 'lot', 'home', 'acre', 'road', 'lake', 'tract', 'bedrooms']"
12,11,166,11_wine_wines_tour_vineyard,"['wine', 'wines', 'tour', 'vineyard', 'vineyards', 'winery', 'fruit', 'mornington', 'grapes', 'aromas']"
13,12,161,12_bag_bags_backpack_pockets,"['bag', 'bags', 'backpack', 'pockets', 'pocket', 'shoulder', 'laptop', 'compartment', 'luggage', 'pack']"
14,13,159,13_locksmith_lock_locks_locksmiths,"['locksmith', 'lock', 'locks', 'locksmiths', 'security', 'services', 'keys', 'emergency', 'our', 'key']"
15,14,148,14_weight_diet_loss_fat,"['weight', 'diet', 'loss', 'fat', 'you', 'paleo', 'body', 'nutrisystem', 'healthy', 'lose']"
16,15,146,15_flowers_flower_florist_delivery,"['flowers', 'flower', 'florist', 'delivery', 'plants', 'roses', 'plant', 'floral', 'bouquet', 'florists']"
17,16,138,16_headphones_earbuds_wireless_bluetooth,"['headphones', 'earbuds', 'wireless', 'bluetooth', 'sound', 'ear', 'earphones', 'microphone', 'headset', 'inear']"
18,17,136,17_food_catering_restaurant_our,"['food', 'catering', 'restaurant', 'our', 'menu', 'bbq', 'and', 'dishes', 'we', 'event']"
19,18,132,18_cm_banners_wall_print,"['cm', 'banners', 'wall', 'print', 'signs', 'measurements', 'graphics', 'canvas', 'banner', 'turntables']"
20,19,127,19_lamp_light_lighting_lights,"['lamp', 'light', 'lighting', 'lights', 'feiss', 'led', 'wall', 'ceiling', 'glass', 'lamps']"
21,20,124,20_estate_dubai_real_property,"['estate', 'dubai', 'real', 'property', 'spa', 'home', 'commercial', 'downtown', 'properties', 'in']"
22,21,124,21_bathroom_hcg_sink_vanity,"['bathroom', 'hcg', 'sink', 'vanity', 'mirror', 'order', 'faucet', 'mirrors', 'kitchen', 'wall']"
