,Topic,Count,Name,Representation
0,-1,132,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'with', 'it', 'this']"
1,0,224,0_the_and_of_to,"['the', 'and', 'of', 'to', 'fishing', 'for', 'in', 'is', 'with', 'you']"
2,1,161,1_the_and_to_of,"['the', 'and', 'to', 'of', 'is', 'in', 'for', 'are', 'that', 'with']"
3,2,149,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'for', 'this', 'that', 'on']"
4,3,86,3_and_the_to_in,"['and', 'the', 'to', 'in', 'of', 'flowers', 'with', 'is', 'plant', 'for']"
5,4,74,4_the_and_soil_to,"['the', 'and', 'soil', 'to', 'of', 'is', 'plants', 'in', 'for', 'plant']"
6,5,47,5_the_to_and_filter,"['the', 'to', 'and', 'filter', 'for', 'water', 'of', 'is', 'with', 'in']"
7,6,42,6_the_and_of_in,"['the', 'and', 'of', 'in', 'to', 'for', 'is', 'that', 'on', 'with']"
8,7,37,7_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'lawn', 'is', 'your', 'was']"
9,8,32,8_and_control_the_to,"['and', 'control', 'the', 'to', 'pest', 'in', 'of', 'flies', 'trap', 'are']"
10,9,19,9_the_of_and_bees,"['the', 'of', 'and', 'bees', 'to', 'honey', 'for', 'in', 'is', 'bee']"
11,10,14,10_and_plant_the_of,"['and', 'plant', 'the', 'of', 'book', 'plants', 'to', 'in', 'this', 'for']"
12,11,14,11_succulents_plants_your_they,"['succulents', 'plants', 'your', 'they', 'to', 'and', 'can', 'you', 'in', 'wedding']"
