,Topic,Count,Name,Representation
0,-1,213,-1_and_the_of_in,"['and', 'the', 'of', 'in', 'to', 'is', 'for', 'are', 'with', 'it']"
1,0,49,0_the_and_wine_of,"['the', 'and', 'wine', 'of', 'to', 'in', 'with', 'for', 'is', 'wines']"
2,1,44,1_and_the_is_to,"['and', 'the', 'is', 'to', 'in', 'of', 'it', 'for', 'as', 'are']"
3,2,44,2_coffee_the_to_of,"['coffee', 'the', 'to', 'of', 'and', 'in', 'that', 'is', 'with', 'for']"
4,3,40,3_to_and_the_of,"['to', 'and', 'the', 'of', 'you', 'chocolate', 'in', 'for', 'is', 'foods']"
5,4,30,4_the_and_to_for,"['the', 'and', 'to', 'for', 'cooking', 'with', 'oven', 'in', 'is', 'of']"
6,5,29,5_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'is', 'with', 'chiropractic', 'that', 'as']"
7,6,29,6_and_the_to_of,"['and', 'the', 'to', 'of', 'beef', 'in', 'are', 'our', 'is', 'with']"
8,7,24,7_cheese_the_of_and,"['cheese', 'the', 'of', 'and', 'ice', 'in', 'to', 'cream', 'for', 'frozen']"
9,8,18,8_the_flour_and_wheat,"['the', 'flour', 'and', 'wheat', 'to', 'of', 'in', 'for', 'is', 'bread']"
10,9,17,9_oil_the_is_to,"['oil', 'the', 'is', 'to', 'and', 'of', 'it', 'oils', 'for', 'in']"
11,10,13,10_tea_the_of_to,"['tea', 'the', 'of', 'to', 'and', 'teas', 'in', 'is', 'are', 'that']"
12,11,13,11_organic_and_farm_we,"['organic', 'and', 'farm', 'we', 'the', 'to', 'our', 'of', 'in', 'csa']"
13,12,13,12_pizza_the_of_and,"['pizza', 'the', 'of', 'and', 'with', 'in', 'is', 'to', 'pizzas', 'on']"
14,13,12,13_is_extract_protein_used,"['is', 'extract', 'protein', 'used', 'product', 'milk', 'as', 'and', 'powder', 'commonly']"
15,14,12,14_and_the_of_we,"['and', 'the', 'of', 'we', 'to', 'for', 'food', 'our', 'in', 'products']"
16,15,12,15_olive_oil_the_to,"['olive', 'oil', 'the', 'to', 'of', 'and', 'in', 'is', 'that', 'it']"
