,Topic,Count,Name,Representation
0,-1,10542,-1_and_of_the_to,"['and', 'of', 'the', 'to', 'in', 'for', 'is', 'with', 'on', 'as']"
1,0,307,0_bike_bikes_motorcycle_tire,"['bike', 'bikes', 'motorcycle', 'tire', 'rear', 'honda', 'ride', 'motorcycles', 'the', 'tires']"
2,1,274,1_lighting_light_led_lights,"['lighting', 'light', 'led', 'lights', 'lamps', 'leds', 'lamp', 'fixture', 'with', 'illumination']"
3,2,254,2_plunketts_blackwater_almanac_pdf,"['plunketts', 'blackwater', 'almanac', 'pdf', 'construction', 'food', 'rise', 'building', 'project', '2015']"
4,3,229,3_intel_memory_processor_laptop,"['intel', 'memory', 'processor', 'laptop', 'cpu', 'usb', 'performance', 'graphics', 'processors', 'sata']"
5,4,181,4_printing_print_printer_printers,"['printing', 'print', 'printer', 'printers', 'ink', 'audit', 'labels', 'paper', 'software', 'label']"
6,5,162,5_grille_waag_glass_guard,"['grille', 'waag', 'glass', 'guard', 'guards', 'window', 'doors', 'door', 'windows', 'glazing']"
7,6,148,6_temperature_sensor_measurement_water,"['temperature', 'sensor', 'measurement', 'water', 'gas', 'measuring', 'flow', 'meter', 'sensors', 'measure']"
8,7,136,7_rifle_gun_barrel_sight,"['rifle', 'gun', 'barrel', 'sight', 'shooting', 'trigger', 'recoil', 'rifles', 'bolt', 'pistol']"
9,8,130,8_yacht_boat_sailing_yachts,"['yacht', 'boat', 'sailing', 'yachts', 'boats', 'hull', 'sail', 'charter', 'her', 'the']"
10,9,128,9_crusher_crushing_mill_crushers,"['crusher', 'crushing', 'mill', 'crushers', 'jaw', 'grinding', 'mining', 'stone', 'quarry', 'ball']"
11,10,125,10_cleaning_carpet_carpets_clean,"['cleaning', 'carpet', 'carpets', 'clean', 'washing', 'we', 'services', 'your', 'wash', 'cleaners']"
12,11,119,11_waste_recycling_battery_batteries,"['waste', 'recycling', 'battery', 'batteries', 'polarization', 'or', 'download', 'the', 'of', 'to']"
13,12,111,12_aviation_airport_aircraft_flight,"['aviation', 'airport', 'aircraft', 'flight', 'air', 'faa', 'airlines', 'airports', 'pilot', 'training']"
14,13,103,13_helmet_bag_york_lightweight,"['helmet', 'bag', 'york', 'lightweight', 'cpr', 'case', 'joinery', 'gear', 'your', 'craftsmen']"
15,14,103,14_water_treatment_septic_ozone,"['water', 'treatment', 'septic', 'ozone', 'wastewater', 'tanks', 'drinking', 'pure', 'tank', 'waste']"
16,15,101,15_toyota_subaru_infiniti_nissan,"['toyota', 'subaru', 'infiniti', 'nissan', 'mazda', 'engine', '2019', 'car', 'new', '2020']"
17,16,100,16_flooring_wood_floor_decking,"['flooring', 'wood', 'floor', 'decking', 'composite', 'carpet', 'carpets', 'plastic', 'vinyl', 'laminate']"
18,17,98,17_aircraft_was_squadron_were,"['aircraft', 'was', 'squadron', 'were', 'hal', 'he', 'air', 'had', 'at', 'the']"
19,18,93,18_pump_pumps_dating_hydraulic,"['pump', 'pumps', 'dating', 'hydraulic', 'piston', 'pronouns', 'cream', 'pressure', 'fluid', 'pumping']"
20,19,92,19_plumbing_drain_sewer_plumbers,"['plumbing', 'drain', 'sewer', 'plumbers', 'drains', 'water', 'trading', 'plumber', 'we', 'bromley']"
21,20,86,20_auto_repair_car_service,"['auto', 'repair', 'car', 'service', 'vehicle', 'repairs', 'ford', 'we', 'our', 'your']"
22,21,86,21_sound_speaker_amplifier_nitrate,"['sound', 'speaker', 'amplifier', 'nitrate', 'output', 'audio', 'native', 'power', 'vox', 'ancestry']"
23,22,84,22_bearing_bearings_angular_ball,"['bearing', 'bearings', 'angular', 'ball', 'axial', 'skf', 'roller', 'contact', 'fag', 'axle']"
24,23,84,23_strand_environmental_green_shall,"['strand', 'environmental', 'green', 'shall', 'diffusion', 'replication', 'of', 'nerc', 'the', 'agza']"
25,24,83,24_china_machine_brick_production,"['china', 'machine', 'brick', 'production', 'winch', 'products', 'co', 'ltd', 'quality', 'company']"
26,25,83,25_electrical_electricians_electric_nsw,"['electrical', 'electricians', 'electric', 'nsw', 'lighting', 'services', 'electrician', 'home', 'pages', 'we']"
27,26,82,26_movers_packers_logistics_freight,"['movers', 'packers', 'logistics', 'freight', 'forwarding', 'transportation', 'services', 'shipping', 'cargo', 'fedex']"
28,27,82,27_railroad_railway_rail_depot,"['railroad', 'railway', 'rail', 'depot', 'locomotive', 'trains', 'line', 'was', 'train', 'caboose']"
29,28,81,28_fabric_fabrics_packaging_garment,"['fabric', 'fabrics', 'packaging', 'garment', 'cotton', 'sewing', 'textile', 'garments', 'apparel', 'woven']"
30,29,80,29_fire_s8_galaxy_emergency,"['fire', 's8', 'galaxy', 'emergency', 'building', 'safety', 'code', 'systems', 'protection', 'risk']"
31,30,79,30_safety_health_risk_tax,"['safety', 'health', 'risk', 'tax', 'management', 'league', 'occupational', 'junior', 'northern', 'employees']"
32,31,75,31_solar_energy_pv_photovoltaic,"['solar', 'energy', 'pv', 'photovoltaic', 'power', 'renewable', 'dating', 'god', 'systems', 'his']"
33,32,74,32_hvac_conditioning_air_heating,"['hvac', 'conditioning', 'air', 'heating', 'cooling', 'service', 'we', 'our', 'your', 'commercial']"
34,33,73,33_locksmith_locks_lock_locksmiths,"['locksmith', 'locks', 'lock', 'locksmiths', 'keys', 'key', 'security', 'services', 'houston', 'we']"
35,34,71,34_water_stormwater_groundwater_suds,"['water', 'stormwater', 'groundwater', 'suds', 'rain', 'erosion', 'management', 'permit', 'nandura', 'and']"
