,Topic,Count,Name,Representation
0,-1,5592,-1_the_and_of_in,"['the', 'and', 'of', 'in', 'to', 'for', 'is', 'with', 'that', 'on']"
1,0,391,0_eye_vision_lenses_lens,"['eye', 'vision', 'lenses', 'lens', 'vega', 'eyes', 'the', 'lasik', 'glaucoma', 'of']"
2,1,308,1_dental_dentistry_dentist_dr,"['dental', 'dentistry', 'dentist', 'dr', 'we', 'his', 'our', 'you', 'to', 'insurance']"
3,2,255,2_care_you_your_hospital,"['care', 'you', 'your', 'hospital', 'we', 'please', 'will', 'to', 'be', 'are']"
4,3,246,3_chiropractic_chiropractor_pain_coast,"['chiropractic', 'chiropractor', 'pain', 'coast', 'gold', 'back', 'chiropractors', 'spinal', 'spine', 'care']"
5,4,220,4_physical_therapy_physiotherapy_and,"['physical', 'therapy', 'physiotherapy', 'and', 'the', 'rehabilitation', 'had', 'to', 'in', 'exercise']"
6,5,200,5_cancer_breast_and_to,"['cancer', 'breast', 'and', 'to', 'the', 'of', 'oncology', 'in', 'with', 'research']"
7,6,169,6_pet_veterinary_animal_pets,"['pet', 'veterinary', 'animal', 'pets', 'euthanasia', 'dogs', 'owners', 'puppy', 'death', 'dog']"
8,7,160,7_massage_body_deep_therapy,"['massage', 'body', 'deep', 'therapy', 'tissue', 'muscles', 'and', 'muscle', 'to', 'your']"
9,8,156,8_testosterone_hormone_hgh_iowa,"['testosterone', 'hormone', 'hgh', 'iowa', 'anabolic', 'steroid', 'steroids', 'it', 'is', 'estrogen']"
10,9,153,9_heart_cardiac_coronary_artery,"['heart', 'cardiac', 'coronary', 'artery', 'blood', 'failure', 'valve', 'aortic', 'disease', 'left']"
11,10,137,10_shoulder_knee_orthopaedic_joint,"['shoulder', 'knee', 'orthopaedic', 'joint', 'surgery', 'orthopedic', 'sports', 'replacement', 'elbow', 'hip']"
12,11,130,11_skin_oil_cream_hair,"['skin', 'oil', 'cream', 'hair', 'shampoo', 'natural', 'it', 'product', 'products', 'ingredients']"
13,12,127,12_addiction_alcohol_substance_abuse,"['addiction', 'alcohol', 'substance', 'abuse', 'drug', 'recovery', 'treatment', 'rehab', 'detox', 'you']"
14,13,125,13_dentures_implants_teeth_implant,"['dentures', 'implants', 'teeth', 'implant', 'dental', 'denture', 'bone', 'tooth', 'missing', 'cosmetic']"
15,14,117,14_acupuncture_chinese_medicine_traditional,"['acupuncture', 'chinese', 'medicine', 'traditional', 'oriental', 'tcm', 'qi', 'needles', 'china', 'herbal']"
16,15,114,15_data_health_patient_information,"['data', 'health', 'patient', 'information', 'healthcare', 'and', 'medical', 'sirve', 'the', 'cialis']"
17,16,111,16_vitamin_vitamins_calcium_biotin,"['vitamin', 'vitamins', 'calcium', 'biotin', 'supplements', 'supplement', 'b12', 'magnesium', 'body', 'deficiency']"
18,17,103,17_nursing_nurse_college_cna,"['nursing', 'nurse', 'college', 'cna', 'degree', 'program', 'courses', 'programs', 'nurses', 'education']"
19,18,97,18_hair_counselling_laser_psychotherapy,"['hair', 'counselling', 'laser', 'psychotherapy', 'removal', 'depression', 'therapy', 'and', 'cbt', 'with']"
20,19,92,19_foot_ankle_toe_tendon,"['foot', 'ankle', 'toe', 'tendon', 'heel', 'plantar', 'feet', 'achilles', 'arch', 'the']"
21,20,92,20_ultrasound_imaging_celandine_mri,"['ultrasound', 'imaging', 'celandine', 'mri', 'warts', 'images', 'the', 'of', 'ct', 'is']"
22,21,91,21_zolmitriptan_mg_tablets_effects,"['zolmitriptan', 'mg', 'tablets', 'effects', 'dose', 'drug', 'used', 'side', 'xanax', 'medication']"
