,Topic,Count,Name,Representation
0,-1,10403,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'for', 'is', 'on', 'with', 'that']"
1,0,490,0_art_artists_film_arts,"['art', 'artists', 'film', 'arts', 'the', 'of', 'and', 'in', 'as', 'to']"
2,1,433,1_candidates_exam_2018_men,"['candidates', 'exam', '2018', 'men', 'women', 'india', 'recruitment', 'of', 'for', 'the']"
3,2,344,2_church_ministry_school_god,"['church', 'ministry', 'school', 'god', 'worship', 'our', 'christian', 'christ', 'and', 'we']"
4,3,315,3_school_schools_children_students,"['school', 'schools', 'children', 'students', 'learning', 'education', 'our', 'pierced', 'to', 'and']"
5,4,268,4_bedroom_furniture_estate_real,"['bedroom', 'furniture', 'estate', 'real', 'property', 'kumbakonam', 'sale', 'chic', 'homes', 'home']"
6,5,222,5_temple_is_india_tour,"['temple', 'is', 'india', 'tour', 'the', 'of', 'visit', 'lord', 'from', 'in']"
7,6,211,6_tax_accounting_business_accountants,"['tax', 'accounting', 'business', 'accountants', 'financial', 'audit', 'vat', 'chartered', 'and', 'services']"
8,7,208,7_beach_the_city_hotel,"['beach', 'the', 'city', 'hotel', 'you', 'is', 'de', 'with', 'and', 'of']"
9,8,193,8_volunteers_volunteer_community_our,"['volunteers', 'volunteer', 'community', 'our', 'to', 'foundation', 'for', 'and', 'with', 'or']"
10,9,187,9_law_legal_lawyers_litigation,"['law', 'legal', 'lawyers', 'litigation', 'attorneys', 'attorney', 'clients', 'firm', 'lawyer', 'firms']"
11,10,164,10_language_english_writing_students,"['language', 'english', 'writing', 'students', 'french', 'course', 'spanish', 'teaching', 'creative', 'immersion']"
12,11,162,11_media_marketing_asbestos_shall,"['media', 'marketing', 'asbestos', 'shall', 'social', 'brand', 'paragraph', 'employer', 'communications', 'work']"
13,12,145,12_women_womens_gender_lgbt,"['women', 'womens', 'gender', 'lgbt', 'lgbtq', 'emirates', 'dhabi', 'and', 'arab', 'sap']"
14,13,144,13_insurance_coverage_policy_your,"['insurance', 'coverage', 'policy', 'your', 'liability', 'life', 'you', 'insured', 'cover', 'auto']"
15,14,139,14_his_he_players_coach,"['his', 'he', 'players', 'coach', 'coaches', 'team', 'soccer', 'basketball', 'sports', 'game']"
16,15,133,15_parking_hotel_space_and,"['parking', 'hotel', 'space', 'and', 'the', 'is', 'with', 'or', 'located', 'street']"
17,16,110,16_therapy_counseling_mental_with,"['therapy', 'counseling', 'mental', 'with', 'and', 'clinical', 'you', 'to', 'is', 'health']"
18,17,109,17_casino_poker_games_players,"['casino', 'poker', 'games', 'players', 'bonus', 'online', 'gambling', 'casinos', 'game', 'gaming']"
19,18,105,18_born_died_abt_indicating,"['born', 'died', 'abt', 'indicating', 'was', 'married', 'death', 'master', 'lewis', 'file']"
20,19,94,19_data_information_personal_privacy,"['data', 'information', 'personal', 'privacy', 'cookies', 'we', 'processing', 'use', 'protection', 'or']"
21,20,93,20_dumpster_vietnam_bangkok_you,"['dumpster', 'vietnam', 'bangkok', 'you', 'cambodia', 'thailand', 'or', 'the', 'holidays', 'beach']"
22,21,92,21_degree_students_programme_degrees,"['degree', 'students', 'programme', 'degrees', 'colleges', 'tuition', 'examination', 'student', 'programs', 'article']"
23,22,86,22_learning_technology_students_course,"['learning', 'technology', 'students', 'course', 'to', 'school', 'online', 'will', 'and', 'you']"
24,23,82,23_web_design_website_wordpress,"['web', 'design', 'website', 'wordpress', 'we', 'your', 'site', 'our', 'you', 'websites']"
25,24,77,24_injury_accident_personal_accidents,"['injury', 'accident', 'personal', 'accidents', 'injuries', 'law', 'attorney', 'lawyer', 'lawyers', 'compensation']"
26,25,76,25_bitcoin_cryptocurrency_blockchain_cryptocurrencies,"['bitcoin', 'cryptocurrency', 'blockchain', 'cryptocurrencies', 'wallet', 'ethereum', 'crypto', 'bitcoins', 'currency', 'digital']"
27,26,75,26_mba_business_management_course,"['mba', 'business', 'management', 'course', 'students', 'program', 'you', 'courses', 'your', 'an']"
28,27,72,27_cloud_backup_data_veeam,"['cloud', 'backup', 'data', 'veeam', 'your', 'service', 'azure', 'services', 'business', 'backups']"
29,28,71,28_durshet_war_her_his,"['durshet', 'war', 'her', 'his', 'hurston', 'zuko', 'aang', 'american', 'he', 'history']"
30,29,71,29_leadership_interactions_coaching_coach,"['leadership', 'interactions', 'coaching', 'coach', 'team', 'variables', 'interaction', 'business', 'to', 'and']"
31,30,71,30_chacon_ihi_his_yakuza,"['chacon', 'ihi', 'his', 'yakuza', 'fbi', 'was', 'story', 'the', 'sa', 'of']"
32,31,68,31_medicare_health_coverage_insurance,"['medicare', 'health', 'coverage', 'insurance', 'medicaid', 'employees', 'care', 'geologic', 'ftd', 'leave']"
33,32,66,32_aid_student_students_scholarship,"['aid', 'student', 'students', 'scholarship', 'financial', 'scholarships', 'college', 'academic', 'federal', 'must']"
34,33,66,33_security_auction_vietnam_bidders,"['security', 'auction', 'vietnam', 'bidders', 'bidder', 'cyber', 'bid', 'sealedbid', 'seller', 'the']"
35,34,66,34_forex_trading_options_binary,"['forex', 'trading', 'options', 'binary', 'market', 'account', 'trade', 'traders', 'broker', 'brokers']"
36,35,65,35_city_council_election_county,"['city', 'council', 'election', 'county', 'census', 'our', 'voters', 'green', 'denver', 'voter']"
37,36,65,36_translation_language_transcription_translators,"['translation', 'language', 'transcription', 'translators', 'arabic', 'translations', 'languages', 'translate', 'spanish', 'english']"
38,37,63,37_child_children_adoption_families,"['child', 'children', 'adoption', 'families', 'family', 'foster', 'support', 'parents', 'youth', 'services']"
39,38,62,38_news_media_video_content,"['news', 'media', 'video', 'content', 'wwe', 'our', 'and', '2k15', 'alvey', 'we']"
40,39,57,39_county_zip_property_population,"['county', 'zip', 'property', 'population', 'tax', 'code', 'average', 'median', 'crewdson', 'area']"
41,40,57,40_guitar_guitars_city_the,"['guitar', 'guitars', 'city', 'the', 'of', 'electric', 'dubrovnik', 'you', 'tour', 'in']"
42,41,54,41_iphone_android_gitlab_apps,"['iphone', 'android', 'gitlab', 'apps', 'app', 'mobile', 'ios', 'apple', 'minnesota', 'can']"
43,42,54,42_chinese_china_hong_kong,"['chinese', 'china', 'hong', 'kong', 'wall', 'km', 'hangzhou', 'beijing', 'is', 'sq']"
44,43,53,43_dui_defense_criminal_attorney,"['dui', 'defense', 'criminal', 'attorney', 'gasner', 'or', 'crime', 'law', 'hutch', 'charged']"
45,44,52,44_travel_subscribers_hotels_hotel,"['travel', 'subscribers', 'hotels', 'hotel', 'you', 'or', 'our', 'any', 'ants', 'churches']"
46,45,50,45_assisted_living_filter_oil,"['assisted', 'living', 'filter', 'oil', 'care', 'senior', 'seniors', 'nursing', 'older', 'impala']"
47,46,50,46_martial_lop_instructors_arts,"['martial', 'lop', 'instructors', 'arts', 'aikido', 'sensei', 'belt', 'taekwondo', 'judo', 'dojo']"
48,47,49,47_yoga_body_yog_meditation,"['yoga', 'body', 'yog', 'meditation', 'eyes', 'practice', 'breath', 'mind', 'the', 'is']"
49,48,49,48_africa_kenya_uganda_country,"['africa', 'kenya', 'uganda', 'country', 'capital', 'tanzania', 'saami', 'safari', 'african', 'saamis']"
