,Topic,Count,Name,Representation
0,-1,593,-1_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'is', 'that', 'was', 'he', 'with']"
1,0,158,0_the_and_in_of,"['the', 'and', 'in', 'of', 'to', 'on', 'was', 'album', 'for', 'with']"
2,1,77,1_her_the_to_and,"['her', 'the', 'to', 'and', 'she', 'in', '2015', 'on', 'with', 'archived']"
3,2,71,2_to_the_her_and,"['to', 'the', 'her', 'and', 'she', 'of', 'in', 'is', 'his', 'that']"
4,3,59,3_author_authors_homonymous_distinct,"['author', 'authors', 'homonymous', 'distinct', 'ahead', 'split', 'currently', 'works', 'considered', 'single']"
5,4,59,4_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'on', 'for', 'with', 'as']"
6,5,57,5_2018_episode_00_2003,"['2018', 'episode', '00', '2003', 'northwest', '2017', '2016', 'tuesday', 'may', '2015']"
7,6,44,6_the_in_and_film,"['the', 'in', 'and', 'film', 'of', 'to', 'on', '2014', 'was', 'as']"
8,7,41,7_sonic_the_game_and,"['sonic', 'the', 'game', 'and', 'to', 'in', 'of', 'fantasy', 'is', 'final']"
9,8,36,8_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'is', 'music', 'for', 'danish', 'that']"
10,9,35,9_married_was_and_my,"['married', 'was', 'and', 'my', 'on', 'at', 'of', 'born', 'in', 'john']"
11,10,33,10_in_the_of_and,"['in', 'the', 'of', 'and', 'is', 'music', 'counterpoint', 'by', 'pentatonic', 'to']"
12,11,27,11_the_of_and_to,"['the', 'of', 'and', 'to', 'was', 'in', 'horse', 'as', 'lakota', 'giants']"
13,12,25,12_suraj_mal_of_the,"['suraj', 'mal', 'of', 'the', 'and', 'his', 'in', 'singh', 'to', 'he']"
14,13,23,13_from_or_to_latin,"['from', 'or', 'to', 'latin', 'of', 'in', 'the', 'and', 'english', 'is']"
15,14,22,14_line_ind_or_of,"['line', 'ind', 'or', 'of', 'in', 'to', 'the', 'satellite', 'from', 'cable']"
16,15,21,15_the_of_and_to,"['the', 'of', 'and', 'to', 'dragons', 'is', 'in', 'law', 'as', 'targaryen']"
17,16,20,16_belgium_archives_state_of,"['belgium', 'archives', 'state', 'of', 'the', 'luxembourg', 'provence', 'in', 'and', 'is']"
18,17,19,17_the_in_of_and,"['the', 'in', 'of', 'and', 'fisk', 'to', 'protein', 'his', 'was', 'structure']"
19,18,17,18_the_of_in_and,"['the', 'of', 'in', 'and', 'to', 'party', 'was', 'on', 'is', 'by']"
20,19,17,19_the_of_to_chinese,"['the', 'of', 'to', 'chinese', 'in', 'duke', 'and', 'triplane', 'empire', 'aircraft']"
21,20,11,20_to_the_and_was,"['to', 'the', 'and', 'was', 'of', 'in', 'his', 'booster', 'for', 'he']"
22,21,11,21_the_of_in_and,"['the', 'of', 'in', 'and', 'cobra', 'is', 'to', 'as', 'university', 'was']"
23,22,11,22_the_to_jaffa_and,"['the', 'to', 'jaffa', 'and', 'of', 'goauld', 'jedi', 'in', 'wars', 'as']"
24,23,10,23_manhood_piss_pizza_of,"['manhood', 'piss', 'pizza', 'of', 'the', 'to', 'or', 'in', 'is', 'with']"
