,Topic,Count,Name,Representation
0,-1,306,-1_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'was', 'for', 'as', 'is', 'by']"
1,0,75,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'on', 'as', 'that']"
2,1,72,1_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'was', 'is', 'as', 'for', 'by']"
3,2,62,2_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'was', 'as', 'is', 'by', 'his']"
4,3,51,3_of_the_to_and,"['of', 'the', 'to', 'and', 'in', 'is', 'that', 'as', 'or', 'for']"
5,4,37,4_the_of_to_in,"['the', 'of', 'to', 'in', 'and', 'is', 'or', 'that', 'for', 'this']"
6,5,25,5_of_to_and_in,"['of', 'to', 'and', 'in', 'the', 'was', 'daughter', 'he', 'on', 'married']"
7,6,19,6_the_in_of_and,"['the', 'in', 'of', 'and', 'olympic', 'to', 'games', 'on', 'for', 'from']"
8,7,18,7_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'kashmir', 'was', 'is', 'by', 'as']"
9,8,18,8_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'is', 'as', 'was', 'for', 'that']"
10,9,17,9_the_of_his_and,"['the', 'of', 'his', 'and', 'to', 'in', 'on', 'at', 'by', 'that']"
11,10,16,10_the_of_in_and,"['the', 'of', 'in', 'and', 'to', 'with', 'is', 'was', 'for', 'as']"
12,11,15,11_the_to_and_in,"['the', 'to', 'and', 'in', 'of', 'for', 'is', 'be', 'your', 'are']"
13,12,14,12_the_and_of_art,"['the', 'and', 'of', 'art', 'museum', 'to', 'collection', 'in', 'is', 'by']"
14,13,14,13_vnqdd_the_and_bambara,"['vnqdd', 'the', 'and', 'bambara', 'is', 'of', 'in', 'to', 'for', 'was']"
15,14,12,14_the_osu_to_in,"['the', 'osu', 'to', 'in', 'game', 'win', 'and', 'bucks', 'ohio', 'at']"
