,Topic,Count,Name,Representation
0,-1,442,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'you', 'is', 'it', 'for']"
1,0,430,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'it', 'is', 'with', 'we']"
2,1,224,1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'is', 'it', 'for', 'was']"
3,2,132,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'that', 'art', 'you', 'it']"
4,3,114,3_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'it', 'that', 'was', 'you', 'is']"
5,4,92,4_the_to_and_in,"['the', 'to', 'and', 'in', 'you', 'that', 'of', 'it', 'was', 'for']"
6,5,64,5_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'with', 'that', 'are']"
7,6,64,6_and_to_the_you,"['and', 'to', 'the', 'you', 'of', 'that', 'in', 'it', 'is', 'we']"
8,7,54,7_the_game_to_of,"['the', 'game', 'to', 'of', 'and', 'that', 'in', 'you', 'games', 'is']"
9,8,37,8_the_in_to_and,"['the', 'in', 'to', 'and', 'of', 'is', 'for', 'with', 'that', 'are']"
10,9,20,9_the_her_to_and,"['the', 'her', 'to', 'and', 'she', 'that', 'you', 'of', 'with', 'is']"
11,10,19,10_the_and_to_you,"['the', 'and', 'to', 'you', 'in', 'was', 'that', 'of', 'it', 'is']"
12,11,18,11_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'you', 'it', 'he', 'was']"
13,12,17,12_to_and_the_my,"['to', 'and', 'the', 'my', 'of', 'was', 'with', 'it', 'in', 'for']"
14,13,16,13_of_the_to_and,"['of', 'the', 'to', 'and', 'is', 'that', 'fear', 'you', 'it', 'in']"
15,14,16,14_was_and_had_the,"['was', 'and', 'had', 'the', 'we', 'to', 'that', 'in', 'of', 'you']"
16,15,15,15_the_of_in_to,"['the', 'of', 'in', 'to', 'and', 'music', 'dance', 'is', 'movement', 'for']"
17,16,15,16_to_and_the_we,"['to', 'and', 'the', 'we', 'in', 'of', 'you', 'my', 'for', 'that']"
18,17,13,17_and_like_the_nj,"['and', 'like', 'the', 'nj', 'to', 'it', 'of', 'its', 'in', 'you']"
