,Topic,Count,Name,Representation
0,-1,377,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'is', 'you', 'for', 'it']"
1,0,142,0_to_and_the_you,"['to', 'and', 'the', 'you', 'of', 'that', 'is', 'in', 'it', 'for']"
2,1,96,1_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'is', 'you', 'we', 'for']"
3,2,69,2_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'that', 'is', 'we', 'on', 'for']"
4,3,47,3_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'is', 'that', 'for', 'are', 'we']"
5,4,36,4_the_and_to_in,"['the', 'and', 'to', 'in', 'of', 'is', 'for', 'that', 'with', 'it']"
6,5,33,5_and_to_the_of,"['and', 'to', 'the', 'of', 'in', 'that', 'is', 'my', 'for', 'you']"
7,6,26,6_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'was', 'is', 'as', 'for']"
8,7,22,7_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'for', 'with', 'is', 'her']"
9,8,22,8_the_of_to_that,"['the', 'of', 'to', 'that', 'in', 'is', 'and', 'be', 'for', 'it']"
10,9,21,9_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'film', 'is', 'that', 'was', 'it']"
11,10,16,10_the_that_to_of,"['the', 'that', 'to', 'of', 'and', 'you', 'in', 'it', 'is', 'not']"
12,11,16,11_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'was', 'you', 'it', 'is']"
13,12,15,12_the_to_of_and,"['the', 'to', 'of', 'and', 'is', 'that', 'it', 'in', 'you', 'this']"
14,13,14,13_the_and_of_church,"['the', 'and', 'of', 'church', 'to', 'in', 'was', 'that', 'is', 'it']"
15,14,10,14_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'is', 'beauty', 'my', 'with']"
