,Topic,Count,Name,Representation
0,-1,687,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'for', 'is', 'that', 'it', 'with']"
1,0,88,0_the_to_of_and,"['the', 'to', 'of', 'and', 'is', 'in', 'that', 'it', 'for', 'this']"
2,1,66,1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'for', 'that', 'we', 'with']"
3,2,60,2_the_and_to_car,"['the', 'and', 'to', 'car', 'of', 'it', 'in', 'was', 'that', 'for']"
4,3,58,3_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'on', 'it', 'with', 'is', 'bike']"
5,4,55,4_to_and_the_of,"['to', 'and', 'the', 'of', 'in', 'that', 'is', 'you', 'for', 'it']"
6,5,53,5_to_the_and_of,"['to', 'the', 'and', 'of', 'that', 'it', 'in', 'is', 'for', 'have']"
7,6,44,6_the_and_to_of,"['the', 'and', 'to', 'of', 'we', 'in', 'is', 'for', 'it', 'on']"
8,7,39,7_the_and_to_of,"['the', 'and', 'to', 'of', 'it', 'light', 'is', 'in', 'with', 'for']"
9,8,37,8_the_and_to_we,"['the', 'and', 'to', 'we', 'of', 'in', 'for', 'is', 'on', 'boat']"
10,9,34,9_the_to_and_we,"['the', 'to', 'and', 'we', 'of', 'on', 'at', 'in', 'is', 'for']"
11,10,28,10_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'is', 'mill', 'for', 'from', 'with']"
12,11,28,11_the_and_to_that,"['the', 'and', 'to', 'that', 'of', 'is', 'you', 'he', 'in', 'it']"
13,12,25,12_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'boat', 'it', 'is', 'on', 'for']"
14,13,23,13_lighting_the_and_to,"['lighting', 'the', 'and', 'to', 'in', 'of', 'is', 'for', 'that', 'with']"
15,14,19,14_the_and_to_of,"['the', 'and', 'to', 'of', 'is', 'it', 'in', 'that', 'you', 'with']"
16,15,19,15_the_to_it_and,"['the', 'to', 'it', 'and', 'that', 'in', 'of', 'was', 'is', 'my']"
17,16,19,16_the_to_of_and,"['the', 'to', 'of', 'and', 'is', 'in', 'my', 'for', 'as', 'it']"
18,17,13,17_the_to_and_was,"['the', 'to', 'and', 'was', 'my', 'flight', 'we', 'for', 'of', 'on']"
19,18,11,18_was_the_to_and,"['was', 'the', 'to', 'and', 'my', 'it', 'in', 'had', 'race', 'of']"
20,19,10,19_cbr_pdf_files_file,"['cbr', 'pdf', 'files', 'file', 'comic', 'cbz', 'convert', 'format', 'to', 'is']"
