,Topic,Count,Name,Representation
0,-1,10064,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'that', 'for', 'it', 'is', 'was']"
1,0,885,0_card_the_this_you,"['card', 'the', 'this', 'you', 'with', 'for', 'and', 'is', 'love', 'challenge']"
2,1,621,1_book_of_the_books,"['book', 'of', 'the', 'books', 'to', 'and', 'in', 'is', 'that', 'read']"
3,2,619,2_my_that_to_me,"['my', 'that', 'to', 'me', 'and', 'in', 'you', 'of', 'is', 'it']"
4,3,527,3_nike_shoes_and_dress,"['nike', 'shoes', 'and', 'dress', 'the', 'to', 'for', 'of', 'my', 'in']"
5,4,514,4_the_of_and_to,"['the', 'of', 'and', 'to', 'music', 'in', 'it', 'that', 'on', 'is']"
6,5,433,5_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'is', 'it', 'snow', 'that', 'this']"
7,6,375,6_painting_art_of_the,"['painting', 'art', 'of', 'the', 'to', 'and', 'in', 'is', 'this', 'it']"
8,7,366,7_wedding_and_their_the,"['wedding', 'and', 'their', 'the', 'we', 'to', 'for', 'was', 'of', 'day']"
9,8,360,8_the_we_of_and,"['the', 'we', 'of', 'and', 'trail', 'to', 'was', 'in', 'on', 'it']"
10,9,330,9_blog_to_that_you,"['blog', 'to', 'that', 'you', 'and', 'is', 'of', 'my', 'the', 'it']"
11,10,298,10_dog_he_she_cat,"['dog', 'he', 'she', 'cat', 'and', 'her', 'to', 'the', 'is', 'dogs']"
12,11,256,11_the_room_of_and,"['the', 'room', 'of', 'and', 'it', 'in', 'is', 'to', 'for', 'that']"
13,12,205,12_christmas_and_to_the,"['christmas', 'and', 'to', 'the', 'of', 'for', 'with', 'my', 'we', 'it']"
14,13,197,13_her_family_she_and,"['her', 'family', 'she', 'and', 'to', 'baby', 'so', 'the', 'we', 'was']"
15,14,183,14_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'it', 'is', 'my', 'that', 'on']"
16,15,168,15_game_games_the_to,"['game', 'games', 'the', 'to', 'of', 'and', 'it', 'that', 'in', 'on']"
17,16,139,16_the_and_that_of,"['the', 'and', 'that', 'of', 'to', 'in', 'was', 'is', 'it', 'movie']"
18,17,138,17_we_the_to_boat,"['we', 'the', 'to', 'boat', 'and', 'was', 'on', 'of', 'our', 'in']"
19,18,135,18_yarn_knitting_knit_pattern,"['yarn', 'knitting', 'knit', 'pattern', 'socks', 'sock', 'and', 'the', 'to', 'is']"
20,19,123,19_fair_spokane_cuir_interstate,"['fair', 'spokane', 'cuir', 'interstate', 'you', 'blog', 'your', 'to', 'for', 'of']"
21,20,122,20_quilt_quilting_quilts_fabric,"['quilt', 'quilting', 'quilts', 'fabric', 'you', 'and', 'blocks', 'to', 'will', 'the']"
22,21,113,21_jewelry_beads_you_the,"['jewelry', 'beads', 'you', 'the', 'of', 'to', 'and', 'my', 'for', 'it']"
23,22,111,22_comic_comics_the_of,"['comic', 'comics', 'the', 'of', 'for', 'to', 'and', 'this', 'on', 'in']"
24,23,106,23_the_of_in_and,"['the', 'of', 'in', 'and', 'to', 'is', 'on', 'london', 'for', 'you']"
25,24,94,24_italy_in_the_of,"['italy', 'in', 'the', 'of', 'and', 'to', 'you', 'is', 'rome', 'we']"
26,25,92,25_to_and_that_my,"['to', 'and', 'that', 'my', 'of', 'the', 'in', 'is', 'it', 'for']"
27,26,84,26_race_was_running_the,"['race', 'was', 'running', 'the', 'and', 'to', 'on', 'it', 'run', 'my']"
28,27,80,27_piezojunction_download_effect_silicon,"['piezojunction', 'download', 'effect', 'silicon', 'poetry', 'poems', 'integrated', 'poem', 'circuits', 'in']"
29,28,79,28_beer_the_of_and,"['beer', 'the', 'of', 'and', 'coffee', 'in', 'to', 'for', 'was', 'wine']"
30,29,78,29_bird_the_birds_and,"['bird', 'the', 'birds', 'and', 'of', 'to', 'it', 'in', 'they', 'was']"
31,30,60,30_nail_nails_polish_glitter,"['nail', 'nails', 'polish', 'glitter', 'polishes', 'tea', 'my', 'it', 'so', 'and']"
32,31,57,31_makeup_you_and_the,"['makeup', 'you', 'and', 'the', 'this', 'to', 'of', 'is', 'my', 'in']"
33,32,56,32_birthday_you_pho_your,"['birthday', 'you', 'pho', 'your', 'to', 'for', 'the', 'and', 'of', 'coins']"
34,33,53,33_was_the_to_and,"['was', 'the', 'to', 'and', 'in', 'that', 'of', 'it', 'he', 'at']"
35,34,50,34_paris_the_chocolate_of,"['paris', 'the', 'chocolate', 'of', 'to', 'in', 'and', 'french', 'with', 'for']"
36,35,50,35_beach_island_belize_the,"['beach', 'island', 'belize', 'the', 'in', 'and', 'we', 'was', 'of', 'is']"
37,36,47,36_dumpster_zoo_waste_the,"['dumpster', 'zoo', 'waste', 'the', 'of', 'and', 'darma', 'in', 'animals', 'to']"
38,37,47,37_and_that_to_the,"['and', 'that', 'to', 'the', 'my', 'desk', 'in', 'we', 'of', 'is']"
39,38,47,38_barcelona_the_and_spain,"['barcelona', 'the', 'and', 'spain', 'we', 'of', 'in', 'to', 'city', 'de']"
40,39,46,39_church_we_god_to,"['church', 'we', 'god', 'to', 'that', 'her', 'and', 'of', 'in', 'she']"
41,40,45,40_my_fd_sex_and,"['my', 'fd', 'sex', 'and', 'to', 'of', 'in', 'bone', 'porn', 'me']"
42,41,44,41_japan_tokyo_japanese_kyoto,"['japan', 'tokyo', 'japanese', 'kyoto', 'csr', 'in', 'social', 'of', 'the', 'and']"
43,42,44,42_he_his_had_the,"['he', 'his', 'had', 'the', 'to', 'was', 'and', 'her', 'my', 'in']"
44,43,43,43_levitra_50mg_thankful_online,"['levitra', '50mg', 'thankful', 'online', 'to', 'for', 'you', 'and', 'be', 'that']"
45,44,43,44_hiv1_students_telomere_cells,"['hiv1', 'students', 'telomere', 'cells', 'nac', 'u373', 'oxidative', 'to', 'school', 'the']"
46,45,41,45_easter_to_and_the,"['easter', 'to', 'and', 'the', 'pumpkin', 'his', 'my', 'that', 'halloween', 'he']"
47,46,41,46_cake_poker_party_birthday,"['cake', 'poker', 'party', 'birthday', 'stacked', 'for', 'the', 'to', 'you', 'and']"
48,47,38,47_irish_ireland_dublin_we,"['irish', 'ireland', 'dublin', 'we', 'and', 'the', 'to', 'in', 'of', 'is']"
49,48,38,48_and_to_that_we,"['and', 'to', 'that', 'we', 'child', 'the', 'our', 'my', 'they', 'me']"
50,49,37,49_school_that_was_of,"['school', 'that', 'was', 'of', 'to', 'my', 'the', 'and', 'in', 'it']"
51,50,36,50_you_thank_so_your,"['you', 'thank', 'so', 'your', 'mooz', 'blog', 'goals', 'sakinah', 'we', 'and']"
